molecule_id,cyp_target,experimental_pic50,predicted_pic50,selection_reason,recurrence_lag_5000,late_motion_5000,late_amplitude_5000,recurrence_distance_5000,spectral_entropy_5000,spectral_concentration_5000,finite_time_local_divergence,extended_screening_classification
OCNT-2314004,CYP1A2,4.995842308,5.27506160736084,high_entropy,12,1.7884950509552408e-07,7.727923730271868e-06,0.0,0.1245438214356644,0.8033542037010193,-0.1709059048972257,stable_period_12_candidate
OCNT-2395470,CYP3A4,4.95156472,4.739855766296387,persistent,8,1.4696310402042548e-07,7.843374078220222e-06,0.0,0.130141421055723,0.7972169518470764,,stable_period_8_candidate
OCNT-2314118,CYP2D6,4.492107222,4.628026485443115,recurrent,8,1.4584662821972566e-07,7.543011633970309e-06,0.0,0.1243945765788328,0.8036606311798096,,stable_period_8_candidate
OCNT-2315468,CYP2D6,5.581530458,5.1464433670043945,persistent;complex_signature,6,1.525842786572972e-07,7.972955245350022e-06,0.0,0.1211259087594475,0.806729257106781,,stable_period_6_candidate
OCNT-2314859,CYP1A2,2.042327302,5.092944145202637,periodic_signature,6,1.497194556118408e-07,7.63533989811549e-06,0.0,0.1192769177412808,0.8085319399833679,,stable_period_6_candidate
OCNT-1965886,CYP3A4,1.921832463,3.583730697631836,periodic_signature,4,1.936283960954021e-07,8.323931069753598e-06,0.0,0.1264104329452825,0.799223005771637,-0.1854041017214171,stable_period_4_candidate
OCNT-2328985,CYP2C9,4.69347433,2.999691963195801,persistent;recurrent;complex_signature;periodic_signature,4,1.8197309359448965e-07,8.222144970204681e-06,0.0,0.1195136377125489,0.8080362677574158,-0.1465504470709884,stable_period_4_candidate
OCNT-2310871,CYP2C9,3.845818565,3.9919586181640625,periodic_signature;persistent,4,1.6838373639940224e-07,8.221269126806874e-06,0.0,0.1215588223558244,0.8056991696357727,-0.1471181417341315,stable_period_4_candidate
OCNT-0494638,CYP2C9,4.125769155,4.052630424499512,recurrent;periodic_signature;persistent;complex_signature,4,1.8928398148956297e-07,8.216255082516e-06,0.0,0.1194906220728473,0.8080609440803528,-0.1710618063740426,stable_period_4_candidate
OCNT-2318602,CYP3A4,4.009477295,2.9812347888946533,periodic_signature,4,1.76715318934395e-07,8.209388397517614e-06,0.0,0.1188519635569302,0.8087269067764282,-0.1389215951605383,stable_period_4_candidate
OCNT-2328803,CYP2D6,5.129553383,4.836146354675293,periodic_signature,2,1.5379723195065856e-07,8.521542440576013e-06,0.0,0.1167415823111064,0.8105694651603699,,stable_period_2_candidate
OCNT-2328597,CYP2D6,5.05545025,3.429762363433838,periodic_signature,2,1.589013730604271e-07,8.313948455906939e-06,0.0,0.1167415823111064,0.8105694651603699,,stable_period_2_candidate
OCNT-2316345,CYP2D6,5.78596358,4.787793159484863,high_entropy,2,1.5297571665042745e-07,8.253239684563596e-06,0.0,0.1167415901528917,0.8105695247650146,,stable_period_2_candidate
OCNT-2314865,CYP2D6,5.136309263,4.637881278991699,recurrent,2,1.620965274237384e-07,8.219252777053043e-06,0.0,0.1167415823111064,0.8105696439743042,,stable_period_2_candidate
OCNT-0018684,CYP1A2,5.783014945,5.077314376831055,periodic_signature,2,1.67195225776151e-07,8.15985731605906e-06,0.0,0.1167415901528917,0.8105695247650146,,stable_period_2_candidate
