visual_rank,object,transition_rule,molecule_id,cyp_target,smiles,training_index,selection_reason,screening_classification,late_motion,recurrence_ratio,recurrence_lag,spectral_entropy,activity_scale_low,activity_scale_high,generations,frames,pdb_file
1,traj_01_gated_residual_CYP1A2,gated_residual,OCNT-2328519,CYP1A2,CCCCCCOC(=O)CCC(=O)CN,4238,persistent,recurrent_period_8_candidate,5.108515500307138e-09,0.0,8,0.2697304643568031,1.2910675811767578,1.9895217418670654,1000,1001,structures/01_gated-residual_OCNT-2328519_CYP1A2.pdb
2,traj_02_gated_residual_CYP2D6,gated_residual,OCNT-2318673,CYP2D6,COC1=CC=CC=C1C(=O)NC1=CC=C(OC2=NC=NC=C2C2=CC=CC=C2)C=C1,4165,persistent,recurrent_period_10_candidate,2.842695524218814e-09,0.0,10,0.1572952216573203,1.533410564661026,2.2295565605163574,1000,1001,structures/02_gated-residual_OCNT-2318673_CYP2D6.pdb
3,traj_03_delayed_memory_CYP2C9,delayed_memory,OCNT-0494638,CYP2C9,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,95,persistent,extended_transient_or_unresolved,3.734155325319035e-05,0.4079714162515394,128,0.480942294984928,0.8389229315519332,1.6044021844863892,1000,1001,structures/03_delayed-memory_OCNT-0494638_CYP2C9.pdb
4,traj_04_delayed_memory_CYP2D6,delayed_memory,OCNT-2312208,CYP2D6,CN1C=CN=C1CN1C=C(C2=CC=C3C=NC=CC3=C2)N=N1,1677,persistent,extended_transient_or_unresolved,6.553131594041694e-07,0.3718761788533,128,0.4955938164363379,1.0740227234363555,1.8619834184646606,1000,1001,structures/04_delayed-memory_OCNT-2312208_CYP2D6.pdb
5,traj_05_inertial_reaction_diffusion_CYP1A2,inertial_reaction_diffusion,OCNT-2312382,CYP1A2,O=C(NC1=CNN=C1C1=CC=CC=N1)C1=NNC2=CC=CC=C21,1741,persistent,extended_transient_or_unresolved,9.058687283059e-05,0.8675102699345623,128,0.2913709313359434,0.23972637444734574,0.48536268055438986,1000,1001,structures/05_inertial-reaction-diffusion_OCNT-2312382_CYP1A2.pdb
6,traj_06_inertial_reaction_diffusion_CYP2D6,inertial_reaction_diffusion,OCNT-2315030,CYP2D6,O=C1NC(C2=CC=CC=N2)=CC=C1C(=O)NC1=CC=CC2=CC=CN=C21,2754,persistent,extended_transient_or_unresolved,4.859632099496549e-05,0.6785410001539914,128,0.3752825668760381,0.3108277842402458,0.4875323176383972,1000,1001,structures/06_inertial-reaction-diffusion_OCNT-2315030_CYP2D6.pdb
7,traj_07_kuramoto_sakaguchi_CYP2C9,kuramoto_sakaguchi,OCNT-0494110,CYP2C9,CC/C(=C(/CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,86,persistent,recurrent_period_128_candidate,0.16024373471737,0.0389895379761988,128,0.5339734919028464,1.3279881477355957,2.9784904336929325,1000,1001,structures/07_kuramoto-sakaguchi_OCNT-0494110_CYP2C9.pdb
8,traj_08_kuramoto_sakaguchi_CYP1A2,kuramoto_sakaguchi,OCNT-2328784,CYP1A2,CNC(=O)OC1=CC=CC2=CC=CC=C21,4309,persistent,recurrent_period_128_candidate,0.1682823598384867,0.0413756139957377,128,0.5171094811759325,1.326840934753418,2.950701150894165,1000,1001,structures/08_kuramoto-sakaguchi_OCNT-2328784_CYP1A2.pdb
9,traj_09_fitzhugh_nagumo_CYP2D6,fitzhugh_nagumo,OCNT-2328824,CYP2D6,O=C(O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1C1=C2C=C(I)C(=O)C(I)=C2OC2=C(I)C(O)=C(I)C=C21,4324,persistent,extended_transient_or_unresolved,0.0001110082885144,0.5259590388880826,128,0.4105239437058359,0.7018179774284363,1.007865915298462,1000,1001,structures/09_fitzhugh-nagumo_OCNT-2328824_CYP2D6.pdb
10,traj_10_fitzhugh_nagumo_CYP3A4,fitzhugh_nagumo,OCNT-2309705,CYP3A4,CN1C=NN=C1CC1CCN(C2=NC=NC3=C2N=CS3)CC1,643,persistent,extended_transient_or_unresolved,7.203175482672988e-05,0.5838145553707426,128,0.3401749828741947,0.8602978968620301,1.0816544902324676,1000,1001,structures/10_fitzhugh-nagumo_OCNT-2309705_CYP3A4.pdb
