molecule_id,cyp_target,epsilon,fit_generations,finite_time_lyapunov,final_separation,maximum_separation
OCNT-2534832,CYP1A2,1e-05,1-30,-0.02391074754637525,0.0,1.0024963557953015e-05
OCNT-2534823,CYP1A2,1e-05,1-30,-0.05179414335426948,3.551356542175199e-07,9.991023944166955e-06
OCNT-2535689,CYP3A4,1e-05,1-30,-0.09543216646844738,0.0,9.994883839681279e-06
OCNT-0497785,CYP1A2,1e-05,1-30,-0.03787784282039349,1.3328003944934608e-07,1.0003233001043554e-05
OCNT-2534981,CYP1A2,1e-05,1-30,-0.06771449442037086,0.0,1.0009300240199082e-05
OCNT-2535747,CYP1A2,1e-05,1-30,-0.06680656159679933,4.814712610823335e-07,1.0013522114604712e-05
OCNT-2535321,CYP3A4,1e-05,1-30,-0.08003021763747473,0.0,1.0017777640314307e-05
OCNT-2535607,CYP1A2,1e-05,1-30,-0.029090685815911937,1.8611544305713323e-07,9.988732017518487e-06
OCNT-2535127,CYP1A2,1e-05,1-30,-0.03721829142268162,0.0,9.995977961807512e-06
OCNT-2535557,CYP1A2,1e-05,1-30,-0.07234147303096441,5.960464477539063e-08,1.0019110959547106e-05
OCNT-2535547,CYP3A4,1e-05,1-30,-0.09638181649670582,0.0,9.995803338824771e-06
OCNT-2535777,CYP1A2,1e-05,1-30,-0.05830225253330586,0.0,1.0010658115788829e-05
OCNT-2535541,CYP1A2,1e-05,1-30,-0.05821073427879239,0.0,9.986621989810374e-06
OCNT-2535673,CYP1A2,1e-05,1-30,-0.06173309095046409,1.163817913152343e-07,9.969021448341664e-06
OCNT-2534950,CYP3A4,1e-05,1-30,-0.05465774022299668,0.0,9.993297680921387e-06
OCNT-2535778,CYP1A2,1e-05,1-30,-0.01943673686734561,0.0,1.0001435839512851e-05
OCNT-2535433,CYP3A4,1e-05,1-30,-0.10257869834231585,0.0,1.000350221147528e-05
OCNT-2535567,CYP1A2,1e-05,1-30,-0.07526519004176799,1.794337407545754e-07,1.0007014680013526e-05
OCNT-2535172,CYP3A4,1e-05,1-30,-0.044910987727634105,0.0,1.0004520845541265e-05
OCNT-2535776,CYP1A2,1e-05,1-30,-0.03128024856492594,0.0,1.0004640898841899e-05
