case_id,visual_rank,transition_rule,molecule_id,cyp_target,atoms,channels,frames,burn_in,late_motion,late_amplitude,pca_variance_3d,correlation_dimension,rosenstein_slope,recurrence_recurrence_threshold,recurrence_recurrence_rate,recurrence_determinism,recurrence_laminarity,recurrence_longest_diagonal,recurrence_mean_diagonal,spectral_entropy,spectral_concentration,dominant_period,secondary_period,classification,direct_perturbation_slope,direct_perturbation_slope_std,direct_positive_fraction,direct_final_separation,direct_maximum_separation,perturbation_repeats,perturbation_epsilon,evidence_summary
01_gated_residual_OCNT-2328519_CYP1A2,1,gated_residual,OCNT-2328519,CYP1A2,15,16,5001,1000,2.143111611702142e-06,3.303798678640617e-06,0.9640730023384094,1.3386463378042326,0.0563771021026373,1.6224279403686523,0.0500005106678514,0.6136530762317183,0.0543345044529781,194,3.749625561657514,0.1948054549221368,0.6963598107895245,16.004,8.002,chaotic or complex-transient candidate,-0.0271530794591368,0.0472740876066724,0.5,9.268994795519347e-05,0.0001642388165237,8,1e-05,direction-dependent response
02_gated_residual_OCNT-2318673_CYP2D6,2,gated_residual,OCNT-2318673,CYP2D6,30,16,5001,1000,1.4541238562461218e-06,8.569287704280983e-07,0.8395223021507263,1.3108636830952711,0.0128762845110433,1.511233687400818,0.0500005106678514,0.672277146825721,0.0464090203447994,235,9.795238095238096,0.3274192626552794,0.3112302555650383,2.999250374812594,2.0005,quasiperiodic candidate,-0.0150428849002002,0.035815378452672,0.5,6.555167895605507e-05,0.000101415716017,8,1e-05,direction-dependent response
03_delayed_memory_OCNT-0494638_CYP2C9,3,delayed_memory,OCNT-0494638,CYP2C9,28,16,5001,1000,6.47570651365682e-07,1.886448466284671e-06,0.7273938655853271,2.549092094369042,0.0079136378492502,1.557467341423035,0.0500005106678514,0.7065528229430509,0.825639349620067,27,2.838037413849688,0.371763971716203,0.5731113737315667,266.7333333333333,71.44642857142857,quasiperiodic candidate,-0.0032855212799545,0.0014471648127568,0.0,3.627342266554479e-05,0.000137028089739,8,1e-05,replicated local contraction
04_delayed_memory_OCNT-2312208_CYP2D6,4,delayed_memory,OCNT-2312208,CYP2D6,22,16,5001,1000,3.2897274811077855e-07,4.272003595853648e-07,0.9171101450920104,2.737291742203133,0.0602752759830618,1.588475465774536,0.0500107240248797,0.6986071968304538,0.0034309520892047,749,5.9101589495507945,0.2318588521142602,0.5932319250871111,25.00625,2.749828178694158,quasiperiodic candidate,-0.018719210367624,0.005076165980069,0.0,4.646232731886357e-08,1.575131545905606e-05,8,1e-05,replicated local contraction
05_inertial_reaction_diffusion_OCNT-2312382_CYP1A2,5,inertial_reaction_diffusion,OCNT-2312382,CYP1A2,23,8,5001,1000,1.8629941457209244e-06,0.00129605978211,0.9987426400184632,1.093412903950732,-0.0004932415032958,0.4832654297351837,0.0500005106678514,1.0,0.9996731759130648,839,220.5225225225225,0.2888614673524916,0.452368246018193,4001.0,2000.5,periodic candidate,-0.0078315058413154,0.0008001688870535,0.0,3.7916851214347964e-08,9.999200642596406e-06,8,1e-05,replicated local contraction
06_inertial_reaction_diffusion_OCNT-2315030_CYP2D6,6,inertial_reaction_diffusion,OCNT-2315030,CYP2D6,26,8,5001,1000,7.209780526903032e-07,0.0006090041841336,0.9999909996986388,0.7198353489120524,-0.0002633025111822,0.5256652235984802,0.0500005106678514,0.999918293978266,0.998733556663126,553,108.78222222222222,0.299688068540806,0.3930709636737393,4001.0,2000.5,periodic candidate,-0.0094810923544129,0.0007956983873302,0.0,2.816949909445476e-09,9.996538210543804e-06,8,1e-05,replicated local contraction
07_kuramoto_sakaguchi_OCNT-0494110_CYP2C9,7,kuramoto_sakaguchi,OCNT-0494110,CYP2C9,20,16,5001,1000,0.0210215319419176,0.6862445168021547,0.1798354238271713,4.445599087140513,0.0095291365711021,2.002516746520996,0.0500005106678514,0.99828417354359,0.9968338916578152,116,16.20424403183024,0.4553389641643343,0.0715734560442826,166.70833333333334,181.8636363636364,quasiperiodic candidate,0.0136388100935059,0.000762712138047,1.0,10.176352858543396,11.35310447216034,8,1e-05,replicated finite-time sensitivity
08_kuramoto_sakaguchi_OCNT-2328784_CYP1A2,8,kuramoto_sakaguchi,OCNT-2328784,CYP1A2,15,16,5001,1000,0.0191737328880562,0.6893358534013858,0.1843046844005584,4.823524241067549,0.0164714374223334,2.034287691116333,0.0500005106678514,0.9955061688046408,0.996139390473078,92,8.909689213893968,0.4502924407961758,0.0757326806120488,266.7333333333333,181.8636363636364,quasiperiodic candidate,0.0079355872495442,0.0022971066364714,1.0,8.750920355319977,9.630842208862305,8,1e-05,replicated finite-time sensitivity
09_fitzhugh_nagumo_OCNT-2328824_CYP2D6,9,fitzhugh_nagumo,OCNT-2328824,CYP2D6,33,8,5001,1000,7.11570177492005e-07,1.4000311640245858e-05,0.9924720525741576,1.5835527498559372,0.0079376054869419,0.1120344549417495,0.0500005106678514,0.7472015687556173,0.0,118,3.4353869271224644,0.4406525634100296,0.1512761218942372,4001.0,2000.5,quasiperiodic candidate,0.0058422304030441,0.0044955427904068,0.875,5.18866859744449e-06,3.517624031701416e-05,8,1e-05,replicated finite-time sensitivity
10_fitzhugh_nagumo_OCNT-2309705_CYP3A4,10,fitzhugh_nagumo,OCNT-2309705,CYP3A4,22,8,5001,1000,1.0903990299101861e-07,2.3724637148609834e-05,0.999372661113739,1.114020963333515,-0.0033806128061334,0.1222081705927848,0.0503109967215123,0.9927324401136824,0.1340235485180674,246,7.143149284253579,0.45253749546225,0.1332514295826569,4001.0,2000.5,quasiperiodic candidate,-0.0211157138265631,0.0037190164755683,0.0,0.0,2.777468864678667e-05,8,1e-05,replicated local contraction
