molecule_id,cyp_target,interval,repeat,spectrum_index,lyapunov_exponent
OCNT-2328784,CYP1A2,5,1,1,0.011203186887384767
OCNT-2328784,CYP1A2,5,1,2,0.010841548353163798
OCNT-2328784,CYP1A2,5,1,3,0.008259037413470205
OCNT-2328784,CYP1A2,5,1,4,0.0075211007096491695
OCNT-2328784,CYP1A2,5,1,5,0.005430031450697714
OCNT-2328784,CYP1A2,5,1,6,0.004436855471048028
OCNT-2328784,CYP1A2,5,1,7,0.00410759151342289
OCNT-2328784,CYP1A2,5,1,8,0.004112370336365316
OCNT-2328784,CYP1A2,5,2,1,0.01155852612366934
OCNT-2328784,CYP1A2,5,2,2,0.010632198930623296
OCNT-2328784,CYP1A2,5,2,3,0.00784349937311554
OCNT-2328784,CYP1A2,5,2,4,0.006856279940525438
OCNT-2328784,CYP1A2,5,2,5,0.006155357696148571
OCNT-2328784,CYP1A2,5,2,6,0.004663296102018195
OCNT-2328784,CYP1A2,5,2,7,0.0050063622497251254
OCNT-2328784,CYP1A2,5,2,8,0.004371067011397861
OCNT-2328784,CYP1A2,10,1,1,0.012074808938612597
OCNT-2328784,CYP1A2,10,1,2,0.01076891759174939
OCNT-2328784,CYP1A2,10,1,3,0.007568112990126897
OCNT-2328784,CYP1A2,10,1,4,0.008016530222296012
OCNT-2328784,CYP1A2,10,1,5,0.00611986323078503
OCNT-2328784,CYP1A2,10,1,6,0.005033731073744304
OCNT-2328784,CYP1A2,10,1,7,0.004920959165759292
OCNT-2328784,CYP1A2,10,1,8,0.004399977373971201
OCNT-2328784,CYP1A2,10,2,1,0.011857735417384717
OCNT-2328784,CYP1A2,10,2,2,0.01096009994508896
OCNT-2328784,CYP1A2,10,2,3,0.007923021402952196
OCNT-2328784,CYP1A2,10,2,4,0.007608236122947413
OCNT-2328784,CYP1A2,10,2,5,0.005531267077393603
OCNT-2328784,CYP1A2,10,2,6,0.004724969540286762
OCNT-2328784,CYP1A2,10,2,7,0.004248430430288046
OCNT-2328784,CYP1A2,10,2,8,0.004461787332238177
OCNT-2328784,CYP1A2,20,1,1,0.011847016553814121
OCNT-2328784,CYP1A2,20,1,2,0.010855819692160778
OCNT-2328784,CYP1A2,20,1,3,0.00915671822764183
OCNT-2328784,CYP1A2,20,1,4,0.007474712031023104
OCNT-2328784,CYP1A2,20,1,5,0.004509474368127649
OCNT-2328784,CYP1A2,20,1,6,0.005017741945243864
OCNT-2328784,CYP1A2,20,1,7,0.004811437638796192
OCNT-2328784,CYP1A2,20,1,8,0.004234404668210485
OCNT-2328784,CYP1A2,20,2,1,0.012412941184429071
OCNT-2328784,CYP1A2,20,2,2,0.01065473651336851
OCNT-2328784,CYP1A2,20,2,3,0.008041758433167888
OCNT-2328784,CYP1A2,20,2,4,0.007198940070342041
OCNT-2328784,CYP1A2,20,2,5,0.006159163798696236
OCNT-2328784,CYP1A2,20,2,6,0.005046124152349796
OCNT-2328784,CYP1A2,20,2,7,0.004830337011094705
OCNT-2328784,CYP1A2,20,2,8,0.0039122749915617835
OCNT-0494110,CYP2C9,5,1,1,0.01180406982995778
OCNT-0494110,CYP2C9,5,1,2,0.010495599711351436
OCNT-0494110,CYP2C9,5,1,3,0.009101490163877159
OCNT-0494110,CYP2C9,5,1,4,0.008045274579549958
OCNT-0494110,CYP2C9,5,1,5,0.004931494358876431
OCNT-0494110,CYP2C9,5,1,6,0.003856827493803838
OCNT-0494110,CYP2C9,5,1,7,0.0038828898714054192
OCNT-0494110,CYP2C9,5,1,8,0.0037106062816946827
OCNT-0494110,CYP2C9,5,2,1,0.011778750575429138
OCNT-0494110,CYP2C9,5,2,2,0.010759963810267746
OCNT-0494110,CYP2C9,5,2,3,0.008154491181340538
OCNT-0494110,CYP2C9,5,2,4,0.008113086008161902
OCNT-0494110,CYP2C9,5,2,5,0.004851062001622789
OCNT-0494110,CYP2C9,5,2,6,0.003925577800646497
OCNT-0494110,CYP2C9,5,2,7,0.0043517537523425345
OCNT-0494110,CYP2C9,5,2,8,0.003799822525938463
OCNT-0494110,CYP2C9,10,1,1,0.011707306968229997
OCNT-0494110,CYP2C9,10,1,2,0.011064582748409636
OCNT-0494110,CYP2C9,10,1,3,0.008788365513747556
OCNT-0494110,CYP2C9,10,1,4,0.008062507863686919
OCNT-0494110,CYP2C9,10,1,5,0.004805331032507952
OCNT-0494110,CYP2C9,10,1,6,0.004560055012241904
OCNT-0494110,CYP2C9,10,1,7,0.0041836609576709006
OCNT-0494110,CYP2C9,10,1,8,0.004012030018855353
OCNT-0494110,CYP2C9,10,2,1,0.011603756708627016
OCNT-0494110,CYP2C9,10,2,2,0.010666433509764473
OCNT-0494110,CYP2C9,10,2,3,0.009101819848262707
OCNT-0494110,CYP2C9,10,2,4,0.008033788089776594
OCNT-0494110,CYP2C9,10,2,5,0.00566877338360904
OCNT-0494110,CYP2C9,10,2,6,0.0044081676150378845
OCNT-0494110,CYP2C9,10,2,7,0.00436123457863069
OCNT-0494110,CYP2C9,10,2,8,0.0042838512497526075
OCNT-0494110,CYP2C9,20,1,1,0.011297463273323772
OCNT-0494110,CYP2C9,20,1,2,0.01079643124196729
OCNT-0494110,CYP2C9,20,1,3,0.009312977055693766
OCNT-0494110,CYP2C9,20,1,4,0.008232409169683614
OCNT-0494110,CYP2C9,20,1,5,0.00516523942342558
OCNT-0494110,CYP2C9,20,1,6,0.004057239249632329
OCNT-0494110,CYP2C9,20,1,7,0.004034542780110913
OCNT-0494110,CYP2C9,20,1,8,0.003916417330145077
OCNT-0494110,CYP2C9,20,2,1,0.011226515369781618
OCNT-0494110,CYP2C9,20,2,2,0.010914882508918708
OCNT-0494110,CYP2C9,20,2,3,0.009459919280037431
OCNT-0494110,CYP2C9,20,2,4,0.008694813540830532
OCNT-0494110,CYP2C9,20,2,5,0.005204303231270616
OCNT-0494110,CYP2C9,20,2,6,0.004297004172733734
