molecule_id,cyp_target,training_index,epsilon,repeat,renormalized_lyapunov,positive_block_fraction,local_exponent_mean,local_exponent_std
OCNT-2328784,CYP1A2,4309,0.0001,1,0.015929006040096283,0.895,0.015929006040096283,0.05351419746875763
OCNT-2328784,CYP1A2,4309,0.0001,2,0.014999931678175926,0.94,0.014999931678175926,0.040607813745737076
OCNT-2328784,CYP1A2,4309,0.0001,3,0.01201840490102768,0.9475,0.01201840490102768,0.03038562647998333
OCNT-2328784,CYP1A2,4309,0.0001,4,0.016509979963302612,0.93,0.016509978100657463,0.04958710819482803
OCNT-2328784,CYP1A2,4309,0.0001,5,0.01681393012404442,0.92,0.01681393012404442,0.05358200892806053
OCNT-2328784,CYP1A2,4309,0.0001,6,0.016261249780654907,0.9275,0.016261247918009758,0.05007058009505272
OCNT-2328784,CYP1A2,4309,0.0001,7,0.017678139731287956,0.9325,0.017678139731287956,0.051202621310949326
OCNT-2328784,CYP1A2,4309,0.0001,8,0.017353594303131104,0.9375,0.017353594303131104,0.05210140347480774
OCNT-2328784,CYP1A2,4309,1e-05,1,0.021645722910761833,0.895,0.021645722910761833,0.058463096618652344
OCNT-2328784,CYP1A2,4309,1e-05,2,0.020055675879120827,0.875,0.020055675879120827,0.04722939059138298
OCNT-2328784,CYP1A2,4309,1e-05,3,0.020237278193235397,0.8925,0.020237278193235397,0.04137565195560455
OCNT-2328784,CYP1A2,4309,1e-05,4,0.017749743536114693,0.9075,0.017749741673469543,0.02029610425233841
OCNT-2328784,CYP1A2,4309,1e-05,5,0.018330855295062065,0.88,0.018330855295062065,0.021759172901511192
OCNT-2328784,CYP1A2,4309,1e-05,6,0.016996800899505615,0.895,0.016996800899505615,0.015334678813815117
OCNT-2328784,CYP1A2,4309,1e-05,7,0.017205454409122467,0.9,0.017205454409122467,0.015092599205672741
OCNT-2328784,CYP1A2,4309,1e-05,8,0.017184125259518623,0.885,0.017184125259518623,0.014789329841732979
OCNT-2328784,CYP1A2,4309,1e-06,1,0.029938656836748123,0.87,0.029938656836748123,0.04971349984407425
OCNT-2328784,CYP1A2,4309,1e-06,2,0.0299333818256855,0.84,0.02993338368833065,0.05122760310769081
OCNT-2328784,CYP1A2,4309,1e-06,3,0.030012162402272224,0.855,0.030012164264917374,0.04740608483552933
OCNT-2328784,CYP1A2,4309,1e-06,4,0.025837570428848267,0.8325,0.025837568566203117,0.04352296143770218
OCNT-2328784,CYP1A2,4309,1e-06,5,0.02451203390955925,0.84,0.02451203390955925,0.041936058551073074
OCNT-2328784,CYP1A2,4309,1e-06,6,0.027860473841428757,0.8425,0.027860473841428757,0.047194067388772964
OCNT-2328784,CYP1A2,4309,1e-06,7,0.028272900730371475,0.8575,0.028272900730371475,0.04657794535160065
OCNT-2328784,CYP1A2,4309,1e-06,8,0.025860391557216644,0.875,0.025860391557216644,0.044826798141002655
OCNT-0494110,CYP2C9,86,0.0001,1,0.01717281900346279,0.9425,0.01717281900346279,0.04928288236260414
OCNT-0494110,CYP2C9,86,0.0001,2,0.018208669498562813,0.925,0.018208667635917664,0.06071864068508148
OCNT-0494110,CYP2C9,86,0.0001,3,0.016768060624599457,0.9075,0.016768060624599457,0.05308976024389267
OCNT-0494110,CYP2C9,86,0.0001,4,0.018344340845942497,0.9275,0.018344340845942497,0.05602835491299629
OCNT-0494110,CYP2C9,86,0.0001,5,0.01745055988430977,0.965,0.01745055988430977,0.052210669964551926
OCNT-0494110,CYP2C9,86,0.0001,6,0.01566951721906662,0.965,0.01566951721906662,0.04594412446022034
OCNT-0494110,CYP2C9,86,0.0001,7,0.01618994027376175,0.9325,0.01618994027376175,0.049635812640190125
OCNT-0494110,CYP2C9,86,0.0001,8,0.012780713848769665,0.9675,0.012780713848769665,0.018713990226387978
OCNT-0494110,CYP2C9,86,1e-05,1,0.017547786235809326,0.835,0.017547786235809326,0.0170667115598917
OCNT-0494110,CYP2C9,86,1e-05,2,0.01601698063313961,0.8025,0.01601697877049446,0.018181290477514267
OCNT-0494110,CYP2C9,86,1e-05,3,0.015670983120799065,0.825,0.015670983120799065,0.015755385160446167
OCNT-0494110,CYP2C9,86,1e-05,4,0.016597116366028786,0.85,0.016597116366028786,0.016316384077072144
OCNT-0494110,CYP2C9,86,1e-05,5,0.016820469871163368,0.8225,0.01682046800851822,0.0228433758020401
OCNT-0494110,CYP2C9,86,1e-05,6,0.01859811320900917,0.79,0.01859811507165432,0.050119608640670776
OCNT-0494110,CYP2C9,86,1e-05,7,0.019167400896549225,0.8125,0.019167400896549225,0.05045228824019432
OCNT-0494110,CYP2C9,86,1e-05,8,0.017277978360652924,0.83,0.017277978360652924,0.022439539432525635
OCNT-0494110,CYP2C9,86,1e-06,1,0.02723078988492489,0.8,0.02723078988492489,0.048717666417360306
OCNT-0494110,CYP2C9,86,1e-06,2,0.02394009381532669,0.885,0.02394009567797184,0.040708478540182114
OCNT-0494110,CYP2C9,86,1e-06,3,0.025457054376602173,0.7925,0.025457056239247322,0.04632082208991051
OCNT-0494110,CYP2C9,86,1e-06,4,0.024706905707716942,0.8075,0.02470690757036209,0.047411222010850906
OCNT-0494110,CYP2C9,86,1e-06,5,0.02488192543387413,0.8175,0.02488192543387413,0.04648960754275322
OCNT-0494110,CYP2C9,86,1e-06,6,0.02559475786983967,0.8525,0.025594759732484818,0.04270368814468384
OCNT-0494110,CYP2C9,86,1e-06,7,0.0277349054813385,0.7925,0.02773490734398365,0.05613493174314499
OCNT-0494110,CYP2C9,86,1e-06,8,0.026566732674837112,0.8175,0.026566732674837112,0.047839175909757614
