stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d
stage1,1701,1.0210052728652954,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2
stage1,1701,1.0492184162139893,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15
stage1,1701,1.1209059953689575,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3
stage1,1701,1.0088238716125488,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15
stage1,1701,1.0336112976074219,500,8,0.001,0.01,1e-06,1.0,128,0.4,1.5,0.005,0.75,0.5,0.5,0.5,0.5,0.05
stage1,1701,1.0502055883407593,64,4,0.001,0.1,1e-06,2.0,64,0.4,1.0,0.005,0.85,0.5,0.2,0.8,0.5,0.15
stage1,1701,1.050344467163086,64,4,0.0003,0.01,1e-06,1.0,64,0.08,0.5,0.005,0.75,2.0,0.2,0.8,0.2,0.15
stage1,1701,1.043949842453003,500,16,0.0003,1.0,1e-06,2.0,128,0.25,0.5,0.01,0.6,2.0,0.8,0.2,0.8,0.05
stage1,1701,1.0461692810058594,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15
stage1,1701,1.042716145515442,250,8,0.0003,0.1,0.0001,2.0,64,0.4,0.5,0.005,0.85,0.5,0.2,0.2,0.2,0.3
stage1,1701,1.0708962678909302,32,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.0,0.75,2.0,0.5,0.8,0.5,0.05
stage1,1701,1.019608497619629,125,16,0.0003,0.1,0.0001,0.5,64,0.4,1.5,0.0,0.85,1.0,0.5,0.2,0.8,0.15
stage1,1701,1.052310585975647,16,4,0.001,1.0,1e-05,1.0,64,0.25,0.5,0.0,0.85,0.5,0.2,0.2,0.5,0.3
stage1,1701,1.0580974817276,250,4,0.003,0.01,1e-06,1.0,64,0.25,0.5,0.01,0.6,0.5,0.5,0.2,0.8,0.15
stage1,1701,1.1331902742385864,16,16,0.0003,0.1,0.0001,1.0,128,0.25,0.5,0.01,0.6,2.0,0.5,0.8,0.8,0.3
stage1,1701,1.0664714574813843,64,16,0.0003,0.1,1e-06,1.0,64,0.08,1.0,0.0,0.85,1.0,0.8,0.8,0.2,0.15
stage1,1701,1.0397611856460571,32,4,0.001,1.0,1e-05,0.5,128,0.15,1.0,0.005,0.6,2.0,0.5,0.8,0.8,0.3
stage1,1701,1.0272090435028076,250,4,0.003,0.1,1e-06,2.0,64,0.08,1.0,0.0,0.75,0.5,0.8,0.5,0.2,0.05
stage1,1701,1.063934564590454,125,4,0.003,0.1,1e-06,1.0,64,0.4,1.5,0.01,0.6,1.0,0.5,0.5,0.5,0.05
stage1,1701,0.995928168296814,32,8,0.0003,0.01,1e-05,1.0,64,0.08,1.0,0.0,0.85,2.0,0.2,0.5,0.2,0.3
stage1,1701,1.0280882120132446,64,8,0.0003,0.01,1e-06,2.0,128,0.4,0.5,0.01,0.85,2.0,0.5,0.2,0.5,0.3
stage1,1701,1.0214086771011353,250,8,0.001,0.1,1e-05,0.5,64,0.15,0.5,0.0,0.85,1.0,0.2,0.8,0.8,0.15
stage1,1701,1.037636637687683,250,8,0.0003,0.1,1e-06,2.0,128,0.08,1.0,0.0,0.75,2.0,0.8,0.8,0.8,0.3
stage1,1701,1.044677495956421,32,4,0.001,0.01,1e-06,2.0,64,0.4,1.5,0.005,0.75,1.0,0.2,0.2,0.5,0.05
stage1,1701,1.011873722076416,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
stage1,1701,1.0524117946624756,125,4,0.0003,0.1,0.0001,2.0,128,0.25,1.0,0.01,0.75,0.5,0.5,0.2,0.2,0.05
stage1,1701,1.0485152006149292,250,4,0.0003,0.01,1e-06,1.0,64,0.25,0.5,0.005,0.6,0.5,0.5,0.5,0.8,0.05
stage1,1701,1.0568199157714844,64,4,0.001,1.0,1e-05,0.5,128,0.25,0.5,0.0,0.85,0.5,0.5,0.8,0.5,0.3
stage1,1701,1.0440658330917358,32,4,0.003,0.1,1e-05,2.0,64,0.25,1.5,0.0,0.75,0.5,0.5,0.2,0.5,0.15
stage1,1701,1.0497336387634277,16,4,0.0003,0.1,1e-06,1.0,128,0.25,0.5,0.005,0.75,0.5,0.2,0.2,0.5,0.3
