stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile
stage1,1701,0,inf,inf,0.8734250068664551,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline
stage1,1701,0,1.0039721383288738,0.9911676437731867,0.875098466873169,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline
stage1,1701,0,0.9722807222270473,0.9561070206924338,0.8452515006065369,500,8,0.001,0.1,1e-05,2.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,valence_electronic
stage1,1701,0,1.0509504973600932,1.0339233524479827,0.9044296741485596,250,16,0.001,0.1,1e-06,2.0,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,ring_geometry
stage1,1701,0,1.0530711890175517,1.0399686633977399,0.9064694046974182,125,4,0.0003,0.1,1e-05,1.0,128,0.25,0.5,0.005,0.75,1.0,0.2,0.5,0.2,0.15,valence_electronic
stage1,1701,0,1.038976948373463,1.0194879353519755,0.8685930967330933,16,16,0.0003,0.1,1e-05,1.0,64,0.08,1.5,0.005,0.75,1.0,0.2,0.2,0.2,0.05,valence_electronic
stage1,1701,0,inf,inf,0.8775282502174377,16,4,0.0003,0.1,1e-05,2.0,64,0.08,1.0,0.01,0.85,0.5,0.8,0.2,0.8,0.15,ring_geometry
stage1,1701,0,0.945100850948374,0.9294140300822697,0.8243048191070557,32,16,0.0003,1.0,0.0001,0.5,64,0.08,0.5,0.0,0.75,0.5,0.5,0.8,0.8,0.05,electronic_local
stage1,1701,0,inf,inf,0.9101758599281311,64,8,0.001,1.0,1e-05,1.0,64,0.4,1.5,0.005,0.6,1.0,0.8,0.8,0.8,0.05,electronic_local
stage1,1701,0,0.9787048452192239,0.9677871865213529,0.8825182914733887,125,4,0.001,1.0,1e-06,0.5,64,0.15,1.5,0.0,0.85,1.0,0.2,0.8,0.2,0.15,periodic_electronic
stage1,1701,0,inf,inf,0.8918513655662537,125,4,0.001,1.0,1e-05,2.0,128,0.08,1.0,0.01,0.6,1.0,0.8,0.2,0.2,0.15,local_environment
stage1,1701,0,1.0030037574314026,0.9837395215674156,0.8622370362281799,32,16,0.001,0.1,1e-06,2.0,128,0.08,0.5,0.005,0.85,1.0,0.5,0.2,0.5,0.05,periodic
stage1,1701,0,1.047334943554306,1.0303678468857702,0.887302577495575,500,4,0.0003,0.01,1e-05,2.0,64,0.08,0.5,0.005,0.85,0.5,0.5,0.2,0.8,0.05,electronic
