stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile
stage1,1701,0.9834558963775635,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,baseline
stage1,1701,0.9554210901260376,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,periodic
stage1,1701,0.984891951084137,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,valence
stage1,1701,0.9386888742446899,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,electronic
stage1,1701,0.9613549113273621,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,ring_geometry
stage1,1701,0.9595043063163757,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,periodic_valence
stage1,1701,0.9483773112297058,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,periodic_electronic
stage1,1701,0.9702697992324829,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,valence_electronic
stage1,1701,1.0010087490081787,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,comprehensive
stage1,1701,inf,125,16,0.003,0.01,0.0001,1.0,128,0.15,1.0,0.0,0.85,2.0,0.8,0.5,0.2,0.15,comprehensive
stage1,1701,0.9551991820335388,125,8,0.0003,0.01,1e-05,0.5,128,0.15,1.0,0.0,0.6,1.0,0.2,0.8,0.2,0.3,periodic
stage1,1701,0.972867488861084,250,16,0.003,1.0,1e-05,1.0,64,0.4,0.5,0.0,0.75,1.0,0.5,0.8,0.8,0.15,periodic_electronic
stage1,1701,inf,125,16,0.003,0.3,1e-05,2.0,64,0.15,1.5,0.0,0.6,0.5,0.8,0.8,0.5,0.3,electronic
