stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile
stage1,1701,0,0.9919785044924453,0.9773085736030896,0.8905845880508423,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline
stage1,1701,0,1.0070634173609927,0.9915961738311887,0.8811447024345398,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline
stage1,1701,0,0.9444243953248288,0.9321053885078786,0.8567665815353394,500,8,0.001,0.1,1e-05,2.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,valence_electronic
stage1,1701,0,1.050178974318671,1.0336672278864651,0.906922459602356,250,16,0.001,0.1,1e-06,2.0,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,ring_geometry
stage1,1701,0,0.9959704128155634,0.983315710832775,0.8875148892402649,125,4,0.0003,0.1,1e-05,1.0,128,0.25,0.5,0.005,0.75,1.0,0.2,0.5,0.2,0.15,valence_electronic
stage1,1701,0,1.1001689949579636,1.0754262378536352,0.878452479839325,16,16,0.0003,0.1,1e-05,1.0,64,0.08,1.5,0.005,0.75,1.0,0.2,0.2,0.2,0.05,valence_electronic
stage1,1701,0,1.0737859568893506,1.06244024925939,0.9395416378974915,16,4,0.0003,0.1,1e-05,2.0,64,0.08,1.0,0.01,0.85,0.5,0.8,0.2,0.8,0.15,ring_geometry
stage1,1701,0,0.9310207977564119,0.9152688264274207,0.8283704519271851,32,16,0.0003,1.0,0.0001,0.5,64,0.08,0.5,0.0,0.75,0.5,0.5,0.8,0.8,0.05,electronic_local
stage1,1701,0,1.0164984713674774,1.000748602718085,0.88680499792099,64,8,0.001,1.0,1e-05,1.0,64,0.4,1.5,0.005,0.6,1.0,0.8,0.8,0.8,0.05,electronic_local
stage1,1701,0,0.9793780668718634,0.9655106949117976,0.8574830889701843,125,4,0.001,1.0,1e-06,0.5,64,0.15,1.5,0.0,0.85,1.0,0.2,0.8,0.2,0.15,periodic_electronic
stage1,1701,0,0.9999125816991481,0.9875369886117108,0.8874132037162781,125,4,0.001,1.0,1e-05,2.0,128,0.08,1.0,0.01,0.6,1.0,0.8,0.2,0.2,0.15,local_environment
stage1,1701,0,0.9586269076086409,0.9423837479448081,0.8390282392501831,32,16,0.001,0.1,1e-06,2.0,128,0.08,0.5,0.005,0.85,1.0,0.5,0.2,0.5,0.05,periodic
stage1,1701,0,1.0033902812489088,0.989217198846174,0.8774911761283875,500,4,0.0003,0.01,1e-05,2.0,64,0.08,0.5,0.005,0.85,0.5,0.5,0.2,0.8,0.05,electronic
stage1,1701,0,0.9489829315151685,0.9368697520515457,0.8669723272323608,64,4,0.003,0.1,1e-06,2.0,64,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.2,0.3,periodic_valence
stage1,1701,0,1.0315652526090597,1.0121904967286668,0.8746679425239563,250,16,0.003,0.1,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.5,0.2,0.8,0.15,local_environment
stage1,1701,0,1.047665206242329,1.0270258860245292,0.8994258046150208,16,8,0.0003,0.01,1e-05,2.0,128,0.08,1.5,0.005,0.85,0.5,0.5,0.5,0.2,0.3,valence_electronic
stage1,1701,0,1.0471127858627414,1.0281387316173032,0.8759670853614807,250,16,0.003,1.0,1e-06,2.0,128,0.15,1.5,0.0,0.85,0.5,0.5,0.2,0.5,0.05,comprehensive
stage1,1701,0,0.9550360660156613,0.942335005915991,0.8535796403884888,125,4,0.0003,0.1,1e-06,2.0,128,0.15,1.0,0.0,0.75,2.0,0.8,0.2,0.5,0.15,periodic_electronic
stage1,1701,0,0.9832867833501677,0.9704413390448192,0.8849246501922607,125,4,0.0003,0.1,1e-06,0.5,128,0.25,0.5,0.01,0.6,1.0,0.2,0.8,0.8,0.05,valence_electronic
stage1,1701,0,0.9431633416266715,0.9264028006539536,0.8277445435523987,32,16,0.001,0.1,1e-06,0.5,64,0.25,1.5,0.01,0.75,0.5,0.8,0.8,0.8,0.15,valence
stage1,1701,0,1.0049823921449248,0.990275430258768,0.875343382358551,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
stage1,1701,0,1.0448467104660335,1.030854098573653,0.9315948486328125,500,8,0.003,0.1,1e-06,1.0,64,0.25,0.5,0.005,0.6,1.0,0.8,0.8,0.8,0.3,comprehensive
stage1,1701,0,0.9785294130566999,0.9668815064203562,0.8935756087303162,32,4,0.001,0.01,1e-06,2.0,64,0.4,1.5,0.005,0.75,1.0,0.2,0.2,0.5,0.05,ring_geometry
stage1,1701,0,0.97734313679308,0.959326108446093,0.8481220602989197,125,16,0.0003,1.0,1e-05,1.0,128,0.08,1.0,0.0,0.6,2.0,0.5,0.2,0.5,0.05,electronic
stage1,1701,0,0.9346440217167858,0.9195052844070994,0.8209442496299744,64,16,0.003,0.1,0.0001,1.0,128,0.4,0.5,0.005,0.6,0.5,0.2,0.8,0.2,0.05,electronic
stage1,1701,0,0.9529963245788144,0.9387840624088966,0.8515422940254211,16,8,0.003,0.01,0.0001,1.0,64,0.25,0.5,0.0,0.75,1.0,0.8,0.2,0.5,0.05,valence_electronic
stage1,1701,0,0.922120816158889,0.9096072812813922,0.8490819334983826,250,8,0.0003,1.0,0.0001,2.0,128,0.25,0.5,0.0,0.85,0.5,0.5,0.8,0.5,0.3,valence
stage1,1701,0,1.0221893704223146,1.0051996022769687,0.8746320009231567,16,16,0.001,0.1,0.0001,0.5,128,0.08,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.05,electronic
stage1,1701,0,1.0196884121151981,1.0089716873294814,0.9157207012176514,125,4,0.001,0.1,0.0001,2.0,128,0.15,1.0,0.005,0.6,0.5,0.2,0.5,0.8,0.05,electronic_local
stage1,1701,0,1.0338083201353756,1.0209807976490965,0.8926394581794739,32,4,0.0003,1.0,0.0001,1.0,64,0.15,1.5,0.0,0.85,1.0,0.8,0.8,0.8,0.05,periodic
stage1,1701,0,0.9558755871494155,0.9405400998006959,0.8645521402359009,32,8,0.001,0.1,1e-05,2.0,64,0.15,1.5,0.005,0.85,0.5,0.2,0.2,0.2,0.15,valence_electronic
stage1,1701,0,0.9445591812564069,0.9302257723179661,0.8475732803344727,16,8,0.003,0.01,1e-06,0.5,128,0.15,0.5,0.0,0.85,2.0,0.2,0.8,0.8,0.3,baseline
stage1,1701,0,1.0256404689962744,1.0077329894455935,0.8664992451667786,125,8,0.001,0.01,1e-05,1.0,128,0.25,1.0,0.005,0.75,0.5,0.8,0.5,0.2,0.3,valence_electronic
stage1,1701,0,0.998304226808368,0.9854708267975623,0.8832797408103943,16,4,0.0003,0.01,1e-05,0.5,64,0.08,1.5,0.005,0.75,0.5,0.2,0.8,0.8,0.05,electronic_local
stage1,1701,0,0.9935991931915321,0.977444605098253,0.8711069822311401,16,16,0.001,0.1,1e-06,0.5,64,0.4,1.5,0.01,0.85,1.0,0.8,0.8,0.5,0.05,periodic_electronic
stage1,1701,0,0.9346614575635931,0.9188355432503407,0.8249041438102722,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment
stage1,1701,0,1.1021702755373286,1.0837760607673923,0.9259060025215149,32,16,0.0003,0.01,1e-06,0.5,64,0.15,1.5,0.005,0.75,2.0,0.8,0.2,0.5,0.15,ring_geometry
stage1,1701,0,0.9666822047807488,0.9509334611080208,0.860185980796814,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
stage1,1701,0,1.06178743849187,1.041259540256098,0.8810530304908752,250,16,0.0003,0.01,1e-06,0.5,64,0.4,1.0,0.0,0.75,0.5,0.5,0.5,0.8,0.05,electronic
stage1,1701,0,1.0324544683213035,1.0197577271741831,0.9153660535812378,250,8,0.0003,1.0,0.0001,1.0,64,0.25,0.5,0.0,0.6,2.0,0.5,0.2,0.5,0.05,electronic_local
stage1,1701,0,1.0144210012969312,0.9972114830383585,0.860981822013855,16,16,0.0003,1.0,0.0001,1.0,64,0.4,1.0,0.0,0.85,1.0,0.2,0.5,0.2,0.3,local_environment
stage1,1701,0,0.960073555043984,0.9456084355764138,0.8593356609344482,250,16,0.001,1.0,0.0001,0.5,128,0.4,0.5,0.0,0.85,2.0,0.8,0.5,0.8,0.15,periodic_electronic
stage1,1701,0,0.980296640928144,0.9650851842950771,0.866642951965332,16,16,0.003,1.0,0.0001,2.0,64,0.25,1.0,0.01,0.85,0.5,0.2,0.8,0.2,0.05,local_environment
stage1,1701,0,0.9620347971060771,0.9481649204102175,0.8449835181236267,64,8,0.003,1.0,0.0001,1.0,128,0.25,0.5,0.005,0.75,0.5,0.5,0.8,0.8,0.3,periodic_valence
stage1,1701,0,0.9727917876447922,0.9542719750856397,0.829334557056427,500,16,0.003,1.0,1e-05,0.5,64,0.15,1.0,0.0,0.75,2.0,0.2,0.5,0.5,0.3,periodic_valence
stage1,1701,0,0.9960657760437043,0.9793522421469658,0.8755489587783813,250,16,0.003,0.1,0.0001,2.0,64,0.08,0.5,0.0,0.85,1.0,0.2,0.5,0.8,0.15,periodic_electronic
stage1,1701,0,0.9894403704828789,0.9732851872734559,0.8685432076454163,125,4,0.003,0.1,0.0001,2.0,128,0.25,0.5,0.0,0.85,2.0,0.2,0.5,0.2,0.05,baseline
stage1,1701,0,0.9627024480474609,0.9442735104001787,0.8388676047325134,125,16,0.0003,1.0,1e-06,2.0,128,0.4,0.5,0.005,0.85,1.0,0.8,0.8,0.5,0.15,valence
stage1,1701,0,1.0009619117276534,0.9819540503837069,0.8649876713752747,32,8,0.003,0.01,1e-05,0.5,128,0.4,0.5,0.0,0.85,2.0,0.8,0.5,0.2,0.3,local_environment
stage1,1701,0,0.9984018471244739,0.983460112300545,0.8573362231254578,125,4,0.003,0.1,1e-05,2.0,128,0.08,0.5,0.005,0.85,2.0,0.2,0.5,0.8,0.15,periodic_electronic
stage1,1701,0,0.992149629775473,0.9786410445106257,0.8771916031837463,250,16,0.003,1.0,0.0001,2.0,64,0.4,1.0,0.005,0.75,1.0,0.2,0.8,0.8,0.15,ring_geometry
