stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d
stage1,1701,1.0190796852111816,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2
stage1,1701,1.0338979959487915,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15
stage1,1701,1.0559719800949097,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3
stage1,1701,1.0064499378204346,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15
stage1,1701,1.033642053604126,500,8,0.001,0.01,1e-06,1.0,128,0.4,1.5,0.005,0.75,0.5,0.5,0.5,0.5,0.05
stage1,1701,1.0281866788864136,64,4,0.001,0.1,1e-06,2.0,64,0.4,1.0,0.005,0.85,0.5,0.2,0.8,0.5,0.15
stage1,1701,1.0343008041381836,64,4,0.0003,0.01,1e-06,1.0,64,0.08,0.5,0.005,0.75,2.0,0.2,0.8,0.2,0.15
stage1,1701,1.00496244430542,500,16,0.0003,1.0,1e-06,2.0,128,0.25,0.5,0.01,0.6,2.0,0.8,0.2,0.8,0.05
stage1,1701,1.01436448097229,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15
stage1,1701,1.0587282180786133,250,8,0.0003,0.1,0.0001,2.0,64,0.4,0.5,0.005,0.85,0.5,0.2,0.2,0.2,0.3
stage1,1701,1.0578906536102295,32,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.0,0.75,2.0,0.5,0.8,0.5,0.05
stage1,1701,1.0419764518737793,125,16,0.0003,0.1,0.0001,0.5,64,0.4,1.5,0.0,0.85,1.0,0.5,0.2,0.8,0.15
stage1,1701,1.0457371473312378,16,4,0.001,1.0,1e-05,1.0,64,0.25,0.5,0.0,0.85,0.5,0.2,0.2,0.5,0.3
stage1,1701,1.0071721076965332,250,4,0.003,0.01,1e-06,1.0,64,0.25,0.5,0.01,0.6,0.5,0.5,0.2,0.8,0.15
stage1,1701,1.0414106845855713,16,16,0.0003,0.1,0.0001,1.0,128,0.25,0.5,0.01,0.6,2.0,0.5,0.8,0.8,0.3
stage1,1701,1.0191807746887207,64,16,0.0003,0.1,1e-06,1.0,64,0.08,1.0,0.0,0.85,1.0,0.8,0.8,0.2,0.15
stage1,1701,1.0389562845230103,32,4,0.001,1.0,1e-05,0.5,128,0.15,1.0,0.005,0.6,2.0,0.5,0.8,0.8,0.3
stage1,1701,1.0211403369903564,250,4,0.003,0.1,1e-06,2.0,64,0.08,1.0,0.0,0.75,0.5,0.8,0.5,0.2,0.05
stage1,1701,1.0212088823318481,125,4,0.003,0.1,1e-06,1.0,64,0.4,1.5,0.01,0.6,1.0,0.5,0.5,0.5,0.05
stage1,1701,0.9864253401756287,32,8,0.0003,0.01,1e-05,1.0,64,0.08,1.0,0.0,0.85,2.0,0.2,0.5,0.2,0.3
stage1,1701,1.0326895713806152,64,8,0.0003,0.01,1e-06,2.0,128,0.4,0.5,0.01,0.85,2.0,0.5,0.2,0.5,0.3
stage1,1701,0.9985373020172119,250,8,0.001,0.1,1e-05,0.5,64,0.15,0.5,0.0,0.85,1.0,0.2,0.8,0.8,0.15
stage1,1701,1.0030134916305542,250,8,0.0003,0.1,1e-06,2.0,128,0.08,1.0,0.0,0.75,2.0,0.8,0.8,0.8,0.3
