stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,loss_mode,interval_loss_beta,interval_temperature
stage1,1701,0,0.9328618311965913,0.9189966080953671,0.8407228589057922,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
stage1,1701,0,0.9809633767907253,0.966318814551768,0.8575334548950195,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline,hybrid_interval,0.75,0.05
stage1,1701,0,0.9939383231571745,0.9782670509942629,0.8837431073188782,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
stage1,1701,0,1.0471369659057395,1.0333236612316308,0.881697952747345,125,4,0.003,0.1,1e-05,2.0,128,0.08,1.0,0.005,0.6,2.0,0.5,0.8,0.5,0.15,electronic,mse,0.0,0.05
stage1,1701,0,0.9135020287373818,0.8989641553664376,0.8135856986045837,64,8,0.003,0.1,1e-05,0.5,128,0.4,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.3,electronic,hybrid_interval,0.75,0.05
stage1,1701,0,0.9961613423373151,0.9735453833585624,0.841937243938446,64,16,0.0003,0.01,0.0001,1.0,128,0.25,0.5,0.0,0.6,0.5,0.5,0.2,0.2,0.05,periodic_electronic,hybrid_interval,0.5,0.1
stage1,1701,0,1.0074189918658287,0.9880806802076871,0.8608506321907043,32,16,0.0003,0.1,0.0001,2.0,64,0.15,1.5,0.005,0.75,0.5,0.8,0.2,0.8,0.3,baseline,hybrid_interval,1.0,0.02
stage1,1701,0,0.9810428759978682,0.9655542220192255,0.8631085753440857,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,hybrid_interval,0.5,0.02
stage1,1701,0,0.9313278373971684,0.9147721221775196,0.8308441638946533,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
stage1,1701,0,0.985950172668656,0.9705106732460701,0.8628696799278259,16,8,0.001,0.1,1e-06,1.0,128,0.4,0.5,0.005,0.85,0.5,0.5,0.8,0.2,0.05,periodic_electronic,hybrid_interval,1.0,0.02
stage1,1701,0,0.9935161231128611,0.9771963832575392,0.8481783866882324,500,8,0.001,0.01,0.0001,1.0,64,0.15,1.0,0.01,0.75,1.0,0.2,0.5,0.2,0.05,periodic,mse,0.0,0.02
stage1,1701,0,1.010039727810715,0.9939006941268842,0.865122377872467,64,16,0.003,0.01,0.0001,0.5,64,0.25,1.5,0.0,0.75,0.5,0.8,0.2,0.2,0.15,baseline,hybrid_interval,0.5,0.02
stage1,1701,0,0.9989832576896627,0.9870201373276796,0.9043620228767395,500,4,0.001,1.0,1e-05,1.0,128,0.08,1.5,0.0,0.85,1.0,0.8,0.8,0.8,0.15,electronic_local,mse,0.0,0.05
stage1,1701,0,1.003430426395682,0.9845275769174131,0.8577214479446411,16,8,0.003,0.01,1e-06,1.0,64,0.25,1.5,0.01,0.6,1.0,0.2,0.2,0.5,0.3,valence_electronic,mse,0.0,0.1
stage1,1701,0,0.9847542176254697,0.9661904247426245,0.835760772228241,64,16,0.0003,0.1,1e-05,0.5,128,0.08,1.5,0.005,0.6,2.0,0.2,0.8,0.2,0.15,valence,hybrid_interval,0.75,0.02
stage1,1701,0,0.9586880360405874,0.9432526222547781,0.8525331616401672,500,8,0.0003,0.01,1e-05,0.5,128,0.15,1.0,0.0,0.75,2.0,0.8,0.2,0.5,0.15,periodic_electronic,hybrid_interval,0.75,0.02
stage1,1701,0,1.0754450316674364,1.0532969224833653,0.894731879234314,32,8,0.0003,0.01,1e-05,1.0,64,0.08,1.0,0.0,0.85,2.0,0.2,0.5,0.2,0.3,ring_geometry,hybrid_interval,0.75,0.02
stage1,1701,0,0.9820585356960231,0.9688388023997205,0.8686887621879578,32,4,0.003,0.1,0.0001,2.0,128,0.15,1.5,0.01,0.85,1.0,0.2,0.5,0.8,0.3,periodic_valence,hybrid_interval,0.5,0.05
stage1,1701,0,0.9951132187886503,0.9838320057541546,0.8765246272087097,125,4,0.0003,1.0,1e-06,0.5,64,0.4,0.5,0.01,0.85,1.0,0.8,0.5,0.2,0.15,periodic,hybrid_interval,1.0,0.1
stage1,1701,0,0.9804469806650724,0.9703162837823555,0.8826336860656738,64,4,0.001,0.01,1e-05,2.0,64,0.15,1.0,0.0,0.6,2.0,0.8,0.2,0.5,0.3,periodic_electronic,hybrid_interval,0.5,0.05
stage1,1701,0,1.0024036976667343,0.986867083564663,0.8740932941436768,16,4,0.001,0.01,1e-05,1.0,64,0.25,1.0,0.005,0.85,0.5,0.5,0.2,0.2,0.3,periodic_electronic,mse,0.0,0.05
stage1,1701,0,1.041844404903968,1.0270115923696739,0.8788743615150452,32,4,0.001,1.0,0.0001,1.0,128,0.4,1.5,0.005,0.6,1.0,0.2,0.2,0.2,0.3,periodic,mse,0.0,0.02
stage1,1701,0,0.9845093046606385,0.9669044061383373,0.8398820757865906,16,8,0.003,0.01,0.0001,1.0,64,0.25,0.5,0.0,0.75,1.0,0.8,0.2,0.5,0.05,valence_electronic,hybrid_interval,1.0,0.05
stage1,1701,0,0.9661904472619274,0.9496981881455264,0.8483783006668091,32,16,0.003,1.0,1e-05,1.0,64,0.08,1.5,0.0,0.75,2.0,0.5,0.8,0.2,0.05,local_environment,hybrid_interval,0.5,0.05
stage1,1701,0,1.0219702938528985,1.0134100816712261,0.9219019412994385,250,4,0.001,1.0,1e-06,1.0,64,0.4,0.5,0.005,0.75,0.5,0.2,0.2,0.5,0.05,ring_geometry,hybrid_interval,0.75,0.1
stage1,1701,0,0.9303065874330732,0.9177875034664151,0.8423570394515991,250,8,0.0003,0.1,1e-05,0.5,64,0.08,1.0,0.01,0.6,2.0,0.2,0.2,0.2,0.3,local_environment,hybrid_interval,0.5,0.02
stage1,1701,0,1.0482937737271782,1.03171021043192,0.8948343992233276,32,16,0.0003,1.0,1e-05,2.0,64,0.08,0.5,0.005,0.75,1.0,0.5,0.8,0.2,0.05,local_environment,hybrid_interval,0.5,0.1
stage1,1701,0,1.001347272405924,0.9890163361270011,0.9004920721054077,32,4,0.0003,0.01,1e-05,1.0,64,0.4,1.5,0.0,0.6,0.5,0.8,0.5,0.2,0.05,valence,hybrid_interval,1.0,0.02
stage1,1701,0,1.087533315118357,1.0680021532117547,0.9029061198234558,500,16,0.003,0.01,1e-05,1.0,128,0.15,1.0,0.005,0.75,1.0,0.5,0.5,0.5,0.05,comprehensive,hybrid_interval,0.75,0.02
stage1,1701,0,0.9728140006909266,0.9584752947050114,0.8560768961906433,250,8,0.0003,0.01,1e-06,0.5,128,0.08,1.5,0.01,0.6,0.5,0.8,0.5,0.5,0.05,baseline,hybrid_interval,1.0,0.1
stage1,1701,0,0.9685838194070076,0.9510765091288012,0.8356873393058777,16,16,0.0003,1.0,1e-05,1.0,64,0.08,0.5,0.005,0.85,2.0,0.8,0.5,0.8,0.3,periodic_valence,hybrid_interval,0.25,0.05
stage1,1701,0,0.9406606043999435,0.9250203250827898,0.830380380153656,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
stage1,1701,0,0.9865689989058969,0.9698452900040241,0.8567956686019897,16,4,0.0003,0.01,1e-06,2.0,64,0.25,1.0,0.01,0.85,0.5,0.5,0.5,0.8,0.15,valence_electronic,hybrid_interval,1.0,0.1
stage1,1701,0,0.9877982576294985,0.9734485600076189,0.8567776083946228,500,4,0.001,0.1,1e-05,0.5,64,0.25,1.5,0.005,0.75,0.5,0.8,0.5,0.8,0.3,periodic,mse,0.0,0.02
stage1,1701,0,1.020700810947091,1.004541731169058,0.8702036738395691,16,4,0.003,0.1,1e-05,0.5,128,0.15,1.0,0.005,0.85,0.5,0.2,0.8,0.5,0.05,local_environment,hybrid_interval,1.0,0.05
stage1,1701,0,0.9550258978970344,0.9377908654312805,0.8413118124008179,16,16,0.003,0.1,1e-06,0.5,64,0.4,0.5,0.005,0.6,2.0,0.8,0.5,0.8,0.3,valence,mse,0.0,0.05
stage1,1701,0,0.9709142090886133,0.9572074241571771,0.8824511170387268,250,4,0.001,0.1,0.0001,0.5,128,0.08,1.0,0.005,0.85,2.0,0.8,0.2,0.8,0.3,valence,hybrid_interval,0.5,0.02
stage1,1701,0,1.0159394625585791,0.9949085157419444,0.855350911617279,250,16,0.001,0.01,1e-05,2.0,128,0.25,1.5,0.005,0.6,2.0,0.8,0.8,0.8,0.3,electronic_local,hybrid_interval,0.5,0.02
stage1,1701,0,0.9908224922936927,0.9728972993651017,0.840775191783905,250,16,0.0003,1.0,0.0001,2.0,128,0.15,0.5,0.0,0.75,0.5,0.2,0.5,0.8,0.3,local_environment,hybrid_interval,0.75,0.05
stage1,1701,0,0.9615168328562084,0.9504289275568323,0.8856850266456604,125,4,0.0003,1.0,1e-05,2.0,64,0.08,1.0,0.01,0.6,0.5,0.5,0.5,0.5,0.15,valence,hybrid_interval,1.0,0.1
