stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,trajectory_pooling,ridge_mode
stage1,1701,0,0.9611414524580619,0.9461959707342755,0.844444751739502,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,multiscale,shared
stage1,1701,0,0.9593122228955633,0.9419852736094477,0.8281744718551636,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline,multiscale,per_endpoint
stage1,1701,0,0.9640171403892815,0.9480312233832082,0.8604514598846436,125,8,0.001,1.0,1e-06,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,multiscale,per_endpoint
stage1,1701,0,0.9879958021339119,0.972677898706194,0.855030357837677,125,4,0.003,0.1,1e-05,2.0,128,0.08,1.0,0.005,0.6,2.0,0.5,0.8,0.5,0.15,electronic,multiscale,shared
stage1,1701,0,0.9150876514816928,0.9027113733535319,0.8215211033821106,125,8,0.001,1.0,1e-05,1.0,64,0.4,1.0,0.005,0.6,1.0,0.2,0.5,0.5,0.05,local_environment,multiscale,shared
stage1,1701,0,0.9796378081292964,0.9612989930226,0.8631203770637512,125,8,0.001,1.0,1e-06,0.5,128,0.25,1.0,0.0,0.6,0.5,0.2,0.5,0.2,0.05,electronic,multiscale,per_endpoint
stage1,1701,0,0.9911824598327443,0.9735039542073767,0.8580233454704285,64,16,0.0003,1.0,1e-06,1.0,64,0.15,1.5,0.005,0.75,0.5,0.8,0.2,0.8,0.3,baseline,multiscale,shared
stage1,1701,0,0.9290220075319909,0.9135591920392971,0.8448700904846191,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,multiscale,per_endpoint
stage1,1701,0,0.9674407498426162,0.9509250341395674,0.8414394855499268,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
stage1,1701,0,1.0518888316783706,1.0351972321257052,0.8788286447525024,250,4,0.001,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.8,0.2,0.5,0.3,periodic,multiscale,shared
stage1,1701,0,0.9611097774186071,0.9457317122001909,0.8416836261749268,125,16,0.0003,1.0,1e-05,1.0,64,0.25,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.15,valence,multiscale,shared
stage1,1701,0,1.084902901427965,1.064543246273035,0.8925569653511047,500,4,0.0003,0.01,1e-05,2.0,64,0.08,0.5,0.005,0.85,0.5,0.5,0.2,0.8,0.05,electronic,multiscale,per_endpoint
stage1,1701,0,1.683574123289914,1.653672547169403,1.2523975372314453,16,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.005,0.6,2.0,0.2,0.8,0.5,0.3,comprehensive,multiscale,per_endpoint
stage1,1701,0,1.0805514239722187,1.062542146397097,0.8961526155471802,250,4,0.001,0.01,1e-05,2.0,64,0.08,1.0,0.0,0.85,1.0,0.8,0.8,0.2,0.15,valence,multiscale,shared
stage1,1701,0,2.038772774341624,2.0101648781151575,1.611526370048523,64,16,0.001,0.01,0.0001,1.0,64,0.4,1.0,0.0,0.85,1.0,0.8,0.8,0.8,0.3,baseline,multiscale,per_endpoint
stage1,1701,0,0.9758918937535136,0.9620069583296611,0.8646358847618103,32,16,0.0003,1.0,1e-06,1.0,64,0.4,0.5,0.01,0.75,0.5,0.2,0.5,0.2,0.3,ring_geometry,multiscale,shared
stage1,1701,0,1.0315309471060632,1.0205259694924058,0.9162214994430542,125,4,0.001,1.0,0.0001,0.5,128,0.25,1.0,0.005,0.6,0.5,0.5,0.2,0.2,0.15,ring_geometry,multiscale,shared
stage1,1701,0,0.9728683745463222,0.9576364071770276,0.8638017177581787,500,4,0.001,0.01,0.0001,2.0,64,0.4,0.5,0.01,0.75,1.0,0.2,0.2,0.2,0.3,ring_geometry,multiscale,per_endpoint
stage1,1701,0,0.9847224141010804,0.9646225152349718,0.8493161201477051,32,16,0.003,1.0,1e-05,0.5,128,0.25,1.0,0.005,0.75,0.5,0.2,0.8,0.2,0.05,baseline,multiscale,per_endpoint
stage1,1701,0,0.9468927004137767,0.9262601368820016,0.8204320669174194,32,16,0.003,0.1,0.0001,1.0,64,0.25,0.5,0.01,0.85,1.0,0.2,0.5,0.2,0.15,electronic_local,multiscale,shared
stage1,1701,0,1.2286094820922193,1.2032314736625294,1.0250393152236938,32,8,0.0003,0.01,0.0001,2.0,64,0.4,1.5,0.005,0.75,1.0,0.2,0.2,0.5,0.05,ring_geometry,multiscale,per_endpoint
stage1,1701,0,0.9672125127698613,0.9503459470178706,0.865541398525238,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
stage1,1701,0,0.939326382360182,0.9253794890066973,0.8424268364906311,500,8,0.001,1.0,1e-05,0.5,128,0.08,0.5,0.0,0.85,0.5,0.2,0.2,0.2,0.15,local_environment,multiscale,shared
stage1,1701,0,1.107873808098405,1.0876081744773038,0.9353460073471069,250,8,0.0003,0.1,1e-06,0.5,128,0.4,1.5,0.0,0.75,0.5,0.5,0.8,0.5,0.05,comprehensive,multiscale,per_endpoint
stage1,1701,0,1.047241595468222,1.033282928742093,1.0846810340881348,64,4,0.0003,1.0,1e-06,1.0,128,0.15,0.5,0.01,0.75,1.0,0.8,0.2,0.5,0.3,baseline,multiscale,per_endpoint
stage1,1701,0,1.0824960185038257,1.0622866171525616,0.9204020500183105,32,8,0.0003,0.1,1e-05,0.5,64,0.15,1.0,0.0,0.75,1.0,0.8,0.8,0.5,0.05,ring_geometry,multiscale,per_endpoint
stage1,1701,0,1.0278940434666015,1.0152209826580076,0.9086280465126038,16,4,0.0003,0.1,0.0001,0.5,64,0.08,0.5,0.01,0.85,1.0,0.2,0.2,0.8,0.05,ring_geometry,multiscale,shared
stage1,1701,0,1.0018751908352013,0.9852443122600418,0.8672180771827698,16,4,0.001,0.1,1e-05,1.0,64,0.15,1.5,0.005,0.85,0.5,0.2,0.2,0.2,0.15,valence_electronic,multiscale,shared
stage1,1701,0,2.1408624257967217,2.092648111128023,2.555972099304199,125,16,0.0003,0.01,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.8,0.8,0.3,baseline,multiscale,per_endpoint
stage1,1701,0,1.0164416660767135,0.9973297969636249,0.8671969771385193,125,8,0.0003,0.1,1e-05,1.0,128,0.25,1.0,0.005,0.6,2.0,0.5,0.2,0.8,0.15,periodic,multiscale,shared
stage1,1701,0,0.9443209665988627,0.9300150277328374,0.8432453274726868,16,4,0.001,0.01,0.0001,2.0,64,0.08,1.5,0.005,0.75,0.5,0.2,0.8,0.8,0.05,electronic_local,multiscale,shared
stage1,1701,0,1.0085323949111336,0.9926702706442314,0.8803503513336182,500,8,0.001,0.01,1e-06,0.5,128,0.4,1.5,0.01,0.75,0.5,0.5,0.2,0.8,0.3,electronic_local,multiscale,shared
stage1,1701,0,0.9870937444596325,0.9728971588090038,0.8592710494995117,64,16,0.003,1.0,1e-06,1.0,64,0.08,1.0,0.005,0.6,0.5,0.5,0.8,0.8,0.05,local_environment,multiscale,shared
stage1,1701,0,0.9974414884973144,0.979405062858437,0.8628383278846741,32,4,0.0003,0.01,0.0001,2.0,64,0.25,1.0,0.01,0.85,0.5,0.5,0.5,0.8,0.15,valence_electronic,multiscale,shared
stage1,1701,0,1.0284561384927697,1.0102292472137928,0.8543863892555237,125,8,0.001,0.01,1e-06,1.0,128,0.25,0.5,0.01,0.75,2.0,0.8,0.2,0.2,0.05,periodic,multiscale,shared
stage1,1701,0,1.038850412152456,1.0215152148986255,0.8779734373092651,250,8,0.001,0.01,1e-05,0.5,128,0.4,1.5,0.0,0.6,2.0,0.5,0.2,0.8,0.3,periodic_electronic,multiscale,shared
stage1,1701,0,1.2755068102768836,1.2493900739064236,0.9964479804039001,250,16,0.001,0.01,1e-06,0.5,128,0.15,1.0,0.0,0.85,2.0,0.5,0.8,0.8,0.05,periodic,multiscale,per_endpoint
stage1,1701,0,0.9808861167647949,0.9627712284918838,0.8537386059761047,250,4,0.001,0.1,0.0001,0.5,128,0.08,1.0,0.005,0.85,2.0,0.8,0.2,0.8,0.3,valence,multiscale,per_endpoint
stage1,1701,0,1.1870205093779556,1.1661926620078182,0.9978185296058655,16,16,0.003,0.1,1e-06,1.0,128,0.25,1.5,0.005,0.6,2.0,0.8,0.8,0.8,0.3,electronic_local,multiscale,per_endpoint
stage1,1701,0,1.7577841289069118,1.7333051697660733,1.6826550960540771,16,16,0.003,0.01,0.0001,2.0,128,0.15,0.5,0.0,0.75,0.5,0.2,0.5,0.8,0.3,local_environment,multiscale,per_endpoint
stage1,1701,0,0.9775669732121709,0.9614298933507351,0.846741259098053,32,16,0.0003,1.0,1e-05,0.5,64,0.4,1.0,0.005,0.85,0.5,0.5,0.8,0.5,0.15,local_environment,multiscale,shared
stage1,1701,0,0.9494585698253916,0.9346353602793253,0.8331239819526672,16,16,0.003,1.0,0.0001,2.0,64,0.25,1.0,0.01,0.85,0.5,0.2,0.8,0.2,0.05,local_environment,multiscale,shared
stage1,1701,0,0.8964278561375927,0.8814965977430425,0.8087549209594727,32,16,0.003,1.0,1e-06,2.0,64,0.08,0.5,0.0,0.6,2.0,0.2,0.2,0.8,0.15,electronic_local,multiscale,shared
stage1,1701,0,0.9610269421699936,0.9451037048000785,0.8472990989685059,16,16,0.003,1.0,1e-06,1.0,128,0.15,1.0,0.005,0.85,2.0,0.5,0.5,0.2,0.3,local_environment,multiscale,shared
stage1,1701,0,0.9826853667748056,0.9670547313003381,0.8557497262954712,32,16,0.003,1.0,1e-05,1.0,64,0.25,1.0,0.01,0.85,1.0,0.5,0.8,0.8,0.3,comprehensive,multiscale,shared
stage1,1701,0,0.9211007553869777,0.905788774907842,0.819004476070404,125,8,0.003,1.0,0.0001,2.0,64,0.4,0.5,0.01,0.6,1.0,0.5,0.5,0.2,0.15,periodic_valence,multiscale,shared
stage1,1701,0,0.9852389027782338,0.9695678617208063,0.8719862103462219,16,16,0.003,1.0,1e-06,0.5,64,0.25,1.0,0.005,0.85,2.0,0.5,0.5,0.5,0.05,comprehensive,multiscale,shared
