epoch,train_rmse,validation_rmse,validation_ma_st_rae,validation_CYP1A2_st_rae,validation_CYP2C9_st_rae,validation_CYP2D6_st_rae,validation_CYP3A4_st_rae,mean_raw_gradient_norm,fraction_gradients_clipped
1,1.1542062304933125,0.8947720527648926,0.832091538370642,0.8557729107400958,0.8202264281159881,0.9959467572259639,0.6564200574005203,7.040629210010652,1.0
2,1.0989407877917305,0.9009787440299988,0.8292063674719711,0.843597511482117,0.809926252441119,0.9833743822123033,0.6799273237523447,5.750424731162287,1.0
3,1.0574137965221153,0.8896416425704956,0.8171384116218401,0.8323819270757954,0.7940124341607754,0.9896566750034695,0.6525026102473198,4.913371218789008,0.9516129032258065
4,1.1115916153989844,0.8882140517234802,0.8235882011208571,0.8324873200365097,0.8147166482719406,1.0026849541278866,0.6444638820470915,5.327613328733752,0.967741935483871
5,1.0435378471047931,0.887039065361023,0.8204996037023018,0.844577625568395,0.8104522775818926,1.003999476402203,0.6229690352567163,3.826734931238236,0.9193548387096774
6,1.054148635762033,0.8816367387771606,0.8107929063276689,0.8377599190011913,0.8043731868829938,0.9668893103055488,0.6341492091209417,4.026039723427065,0.8870967741935484
7,1.0124757542095455,0.875916600227356,0.8060620407292591,0.8506087823497677,0.8081539990742637,0.9658854681418962,0.5995999133511092,3.8147714138031006,0.967741935483871
8,1.031521465347897,0.8784342408180237,0.8132654652561964,0.8598461715026615,0.8125079978875661,0.9771843746061523,0.603523317028406,4.394193170532104,0.9193548387096774
9,0.9989759069293238,0.876940131187439,0.8077165096500085,0.8398451414352822,0.7952302790440129,0.982217124960285,0.6135734931604537,3.984782863047815,0.9032258064516129
10,1.0499301339618017,0.8773933053016663,0.8099179589793998,0.8484779417075227,0.7988287766134865,0.979902641269425,0.6124624763271648,4.853570347832095,0.8225806451612904
11,1.0060578052171756,0.8772539496421814,0.8093553623355654,0.8421620862139478,0.7997402540738882,0.9772949647208485,0.618224144333577,4.221133451307973,0.8870967741935484
12,1.014188801220671,0.8762562274932861,0.8083088327934174,0.8431571995800208,0.7955999189534451,0.9776452510113706,0.6168329616288328,3.8251315143800553,0.9516129032258065
