config_id,population,sigma,learning_rate,batch_molecules,batch_composition,stopping_profile,screen_mean_ma_st_rae,screen_mean_rmse
config_04,96,0.01,0.01,1024,activity_stratified,responsive,0.6387677984876134,0.8036589324474335
config_24,128,0.02,0.01,256,activity_stratified,patient,0.6521619092219415,0.8162411153316498
config_07,64,0.04,0.01,1024,activity_stratified,patient,0.6546482493558377,0.8202127814292908
config_14,64,0.02,0.01,512,activity_stratified,fine,0.655322040784638,0.8257186114788055
config_28,64,0.01,0.006,1024,activity_stratified,fine,0.6642275224473005,0.8271791636943817
config_21,32,0.005,0.006,256,random,balanced,0.6644951524521769,0.8223266303539276
config_30,96,0.005,0.01,256,activity_stratified,fine,0.6645730619271275,0.8309029340744019
config_16,64,0.08,0.003,512,random,balanced,0.6646957648393036,0.8224015533924103
config_19,128,0.01,0.0005,1600,random,fine,0.6664719261474223,0.8239605128765106
config_06,96,0.08,0.003,256,random,balanced,0.6679465004812608,0.8267432153224945
config_00,64,0.02,0.003,1024,random,patient,0.6680175181167003,0.8325549960136414
config_26,32,0.02,0.001,256,random,patient,0.6687825185895364,0.8263578414916992
config_05,64,0.005,0.0005,1600,activity_stratified,fine,0.6689894640647542,0.8249392211437225
config_10,32,0.005,0.006,512,activity_stratified,responsive,0.6689972481802895,0.8271136581897736
config_29,32,0.08,0.001,256,random,responsive,0.6697501135582219,0.8276177942752838
config_08,64,0.02,0.0005,512,random,patient,0.6700634277581095,0.8283199667930603
config_09,64,0.01,0.001,1600,activity_stratified,patient,0.6701439109899987,0.8262526988983154
config_31,96,0.005,0.006,512,random,responsive,0.6714051489532047,0.8307920694351196
config_20,96,0.01,0.001,512,activity_stratified,balanced,0.6714289070717994,0.8285442292690277
config_03,128,0.01,0.0005,1024,activity_stratified,balanced,0.6717901259858925,0.8293331563472748
config_12,128,0.01,0.0005,256,activity_stratified,balanced,0.6719370677344522,0.8291352689266205
config_17,32,0.005,0.003,1024,random,responsive,0.6720485837131831,0.829957515001297
config_02,128,0.04,0.0005,1600,random,patient,0.6720486806333141,0.8293110430240631
config_11,128,0.04,0.001,512,activity_stratified,responsive,0.6720930484819159,0.8295638859272003
config_13,128,0.005,0.001,256,random,patient,0.6722393638633981,0.8298352658748627
config_23,128,0.04,0.0005,1024,random,fine,0.6727854725241711,0.8299162983894348
config_18,96,0.02,0.001,1600,random,responsive,0.6730067751057617,0.8292617499828339
config_01,96,0.08,0.003,1600,activity_stratified,fine,0.6734115113802484,0.8299686908721924
config_27,64,0.04,0.003,1600,activity_stratified,responsive,0.6734536842500758,0.8298298120498657
config_25,32,0.08,0.003,1024,random,balanced,0.67470219969877,0.8322214186191559
config_15,32,0.02,0.006,1024,random,patient,0.6749211328392546,0.8328456878662109
config_22,96,0.08,0.01,512,random,fine,0.6777752550075673,0.8532600998878479
