stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile
stage1,1701,0,1.0799670863856,1.0640076967150631,0.914901852607727,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline
stage1,1701,0,1.0013050912401005,0.9887329426754043,0.8898475766181946,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline
stage1,1701,0,0.9294127329178631,0.9186322812146629,0.8378320336341858,500,8,0.001,0.1,1e-05,2.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,valence_electronic
stage1,1701,0,inf,inf,0.9158787131309509,250,16,0.001,0.1,1e-06,2.0,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,ring_geometry
stage1,1701,0,0.9976702429930324,0.9854728360064614,0.893794596195221,125,4,0.0003,0.1,1e-05,1.0,128,0.25,0.5,0.005,0.75,1.0,0.2,0.5,0.2,0.15,valence_electronic
stage1,1701,0,1.1180344537705642,1.097722551565267,0.9212222099304199,16,16,0.0003,0.1,1e-05,1.0,64,0.08,1.5,0.005,0.75,1.0,0.2,0.2,0.2,0.05,valence_electronic
stage1,1701,0,1.0739921886959714,1.063649731587127,0.9393513202667236,16,4,0.0003,0.1,1e-05,2.0,64,0.08,1.0,0.01,0.85,0.5,0.8,0.2,0.8,0.15,ring_geometry
stage1,1701,0,1.0015005026876846,0.9837997256443626,0.8599256277084351,32,16,0.0003,1.0,0.0001,0.5,64,0.08,0.5,0.0,0.75,0.5,0.5,0.8,0.8,0.05,electronic_local
stage1,1701,0,inf,inf,0.8593147397041321,64,8,0.001,1.0,1e-05,1.0,64,0.4,1.5,0.005,0.6,1.0,0.8,0.8,0.8,0.05,electronic_local
stage1,1701,0,1.03202675403508,1.0203256578557651,0.8957431316375732,125,4,0.001,1.0,1e-06,0.5,64,0.15,1.5,0.0,0.85,1.0,0.2,0.8,0.2,0.15,periodic_electronic
stage1,1701,0,1.0571344352239167,1.0442736518857536,0.9210944175720215,125,4,0.001,1.0,1e-05,2.0,128,0.08,1.0,0.01,0.6,1.0,0.8,0.2,0.2,0.15,local_environment
stage1,1701,0,1.049549849397984,1.0303569148206175,0.865852415561676,32,16,0.001,0.1,1e-06,2.0,128,0.08,0.5,0.005,0.85,1.0,0.5,0.2,0.5,0.05,periodic
stage1,1701,0,0.9744200420015389,0.9611418373994898,0.8640166521072388,500,4,0.0003,0.01,1e-05,2.0,64,0.08,0.5,0.005,0.85,0.5,0.5,0.2,0.8,0.05,electronic
stage1,1701,0,0.9560117479359003,0.9437106816128649,0.8647786378860474,64,4,0.003,0.1,1e-06,2.0,64,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.2,0.3,periodic_valence
stage1,1701,0,1.03413255670216,1.016748770804166,0.8847587704658508,250,16,0.003,0.1,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.5,0.2,0.8,0.15,local_environment
stage1,1701,0,1.065576305792783,1.0455569554951905,0.8888598680496216,16,8,0.0003,0.01,1e-05,2.0,128,0.08,1.5,0.005,0.85,0.5,0.5,0.5,0.2,0.3,valence_electronic
stage1,1701,0,0.9758742609100753,0.9613959865533055,0.8520894050598145,250,16,0.003,1.0,1e-06,2.0,128,0.15,1.5,0.0,0.85,0.5,0.5,0.2,0.5,0.05,comprehensive
stage1,1701,0,inf,inf,0.8865159749984741,125,4,0.0003,0.1,1e-06,2.0,128,0.15,1.0,0.0,0.75,2.0,0.8,0.2,0.5,0.15,periodic_electronic
stage1,1701,0,0.9810779549477164,0.9676888499736661,0.8811519742012024,125,4,0.0003,0.1,1e-06,0.5,128,0.25,0.5,0.01,0.6,1.0,0.2,0.8,0.8,0.05,valence_electronic
stage1,1701,0,1.0648692254488292,1.0448041307195641,0.8864065408706665,32,16,0.001,0.1,1e-06,0.5,64,0.25,1.5,0.01,0.75,0.5,0.8,0.8,0.8,0.15,valence
stage1,1701,0,inf,inf,0.8418174982070923,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
stage1,1701,0,0.9434205660238131,0.9282434769807488,0.8413346409797668,500,8,0.003,0.1,1e-06,1.0,64,0.25,0.5,0.005,0.6,1.0,0.8,0.8,0.8,0.3,comprehensive
stage1,1701,0,1.0406327243132083,1.0294894615021744,0.9211348295211792,32,4,0.001,0.01,1e-06,2.0,64,0.4,1.5,0.005,0.75,1.0,0.2,0.2,0.5,0.05,ring_geometry
stage1,1701,0,0.911998195334792,0.8963821957482478,0.8311100602149963,125,16,0.0003,1.0,1e-05,1.0,128,0.08,1.0,0.0,0.6,2.0,0.5,0.2,0.5,0.05,electronic
stage1,1701,0,inf,inf,0.8618165850639343,64,16,0.003,0.1,0.0001,1.0,128,0.4,0.5,0.005,0.6,0.5,0.2,0.8,0.2,0.05,electronic
stage1,1701,0,inf,inf,0.8346849083900452,16,8,0.003,0.01,0.0001,1.0,64,0.25,0.5,0.0,0.75,1.0,0.8,0.2,0.5,0.05,valence_electronic
stage1,1701,0,0.9860130472637461,0.9707618935315383,0.8717149496078491,250,8,0.0003,1.0,0.0001,2.0,128,0.25,0.5,0.0,0.85,0.5,0.5,0.8,0.5,0.3,valence
stage1,1701,0,0.9706038986588527,0.9548164881633372,0.860318660736084,16,16,0.001,0.1,0.0001,0.5,128,0.08,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.05,electronic
stage1,1701,0,0.9873967100458972,0.9753556657134147,0.908969521522522,125,4,0.001,0.1,0.0001,2.0,128,0.15,1.0,0.005,0.6,0.5,0.2,0.5,0.8,0.05,electronic_local
stage1,1701,0,0.9541327385492411,0.9419994534433843,0.8567193150520325,32,4,0.0003,1.0,0.0001,1.0,64,0.15,1.5,0.0,0.85,1.0,0.8,0.8,0.8,0.05,periodic
stage1,1701,0,1.058187489296773,1.0427264468506183,0.9036311507225037,32,8,0.001,0.1,1e-05,2.0,64,0.15,1.5,0.005,0.85,0.5,0.2,0.2,0.2,0.15,valence_electronic
stage1,1701,0,1.002735268798746,0.983586777891017,0.8747381567955017,16,8,0.003,0.01,1e-06,0.5,128,0.15,0.5,0.0,0.85,2.0,0.2,0.8,0.8,0.3,baseline
stage1,1701,0,inf,inf,0.853554368019104,125,8,0.001,0.01,1e-05,1.0,128,0.25,1.0,0.005,0.75,0.5,0.8,0.5,0.2,0.3,valence_electronic
stage1,1701,0,1.013327625423333,0.9981508457025624,0.9008694291114807,16,4,0.0003,0.01,1e-05,0.5,64,0.08,1.5,0.005,0.75,0.5,0.2,0.8,0.8,0.05,electronic_local
stage1,1701,0,1.0263727425393516,1.004973556565135,0.8586539030075073,16,16,0.001,0.1,1e-06,0.5,64,0.4,1.5,0.01,0.85,1.0,0.8,0.8,0.5,0.05,periodic_electronic
stage1,1701,0,inf,inf,0.9168996810913086,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment
stage1,1701,0,1.1689764550946709,1.1519561291978386,0.9537681937217712,32,16,0.0003,0.01,1e-06,0.5,64,0.15,1.5,0.005,0.75,2.0,0.8,0.2,0.5,0.15,ring_geometry
stage1,1701,0,inf,inf,0.8723065257072449,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
stage1,1701,0,inf,inf,0.8838169574737549,250,16,0.0003,0.01,1e-06,0.5,64,0.4,1.0,0.0,0.75,0.5,0.5,0.5,0.8,0.05,electronic
stage1,1701,0,inf,inf,0.9317567944526672,250,8,0.0003,1.0,0.0001,1.0,64,0.25,0.5,0.0,0.6,2.0,0.5,0.2,0.5,0.05,electronic_local
stage1,1701,0,1.0059583260225493,0.9943244587981843,0.9097145795822144,125,4,0.003,1.0,1e-06,1.0,64,0.4,1.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,comprehensive
stage1,1701,0,0.9612706642831105,0.9489183550215127,0.862102210521698,32,4,0.001,0.1,0.0001,0.5,128,0.4,1.5,0.0,0.75,2.0,0.2,0.8,0.8,0.05,periodic
stage1,1701,0,0.9792164636655516,0.9685750601403584,0.8958353400230408,500,4,0.001,0.01,0.0001,1.0,64,0.15,1.5,0.005,0.85,2.0,0.2,0.8,0.5,0.3,local_environment
stage1,1701,0,0.9712451568829016,0.958025297456437,0.8654097318649292,32,4,0.003,1.0,1e-05,2.0,64,0.08,0.5,0.0,0.75,0.5,0.2,0.8,0.8,0.05,periodic
stage1,1701,0,0.9976968598303271,0.9832877089443333,0.8862161636352539,16,4,0.0003,0.01,1e-05,1.0,64,0.15,1.0,0.0,0.85,2.0,0.2,0.8,0.8,0.3,valence_electronic
stage1,1701,0,inf,inf,0.9013803005218506,250,16,0.0003,1.0,0.0001,1.0,64,0.08,1.5,0.01,0.85,1.0,0.8,0.8,0.2,0.15,comprehensive
stage1,1701,0,inf,inf,0.8879935145378113,125,8,0.001,0.01,0.0001,0.5,64,0.15,1.5,0.0,0.6,1.0,0.2,0.8,0.2,0.3,baseline
stage1,1701,0,1.0734036601610366,1.055511086938194,0.8827491998672485,250,16,0.0003,0.01,1e-06,0.5,64,0.08,1.0,0.01,0.85,2.0,0.2,0.8,0.8,0.3,electronic_local
stage1,1701,0,0.9783882787619728,0.9618601335613463,0.8677937388420105,64,8,0.0003,0.1,0.0001,1.0,64,0.15,1.5,0.01,0.85,2.0,0.5,0.8,0.8,0.3,periodic
stage1,1701,0,1.0654932787885636,1.0520468024271308,0.9276094436645508,64,4,0.0003,0.01,1e-05,0.5,64,0.25,1.5,0.01,0.75,1.0,0.5,0.8,0.2,0.05,local_environment
stage1,1701,0,1.1024494930292694,1.0865912410925274,0.9466848969459534,500,4,0.0003,0.01,1e-05,0.5,64,0.25,1.5,0.01,0.85,1.0,0.5,0.5,0.2,0.05,comprehensive
stage1,1701,0,1.1193487270207956,1.0990723188137184,0.9339089393615723,64,16,0.001,1.0,1e-05,2.0,64,0.08,1.0,0.01,0.85,2.0,0.8,0.5,0.5,0.05,comprehensive
