stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d
stage1,1701,inf,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2
stage1,1701,1.0419381856918335,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15
stage1,1701,1.00359046459198,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3
stage1,1701,inf,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15
stage1,1701,1.1294883489608765,500,8,0.001,0.01,1e-06,1.0,128,0.4,1.5,0.005,0.75,0.5,0.5,0.5,0.5,0.05
stage1,1701,1.0084148645401,64,4,0.001,0.1,1e-06,2.0,64,0.4,1.0,0.005,0.85,0.5,0.2,0.8,0.5,0.15
stage1,1701,1.0397310256958008,64,4,0.0003,0.01,1e-06,1.0,64,0.08,0.5,0.005,0.75,2.0,0.2,0.8,0.2,0.15
stage1,1701,inf,500,16,0.0003,1.0,1e-06,2.0,128,0.25,0.5,0.01,0.6,2.0,0.8,0.2,0.8,0.05
stage1,1701,1.0336719751358032,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15
stage1,1701,inf,250,8,0.0003,0.1,0.0001,2.0,64,0.4,0.5,0.005,0.85,0.5,0.2,0.2,0.2,0.3
stage1,1701,1.003380537033081,32,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.0,0.75,2.0,0.5,0.8,0.5,0.05
stage1,1701,1.0690772533416748,125,16,0.0003,0.1,0.0001,0.5,64,0.4,1.5,0.0,0.85,1.0,0.5,0.2,0.8,0.15
stage1,1701,1.038440227508545,16,4,0.001,1.0,1e-05,1.0,64,0.25,0.5,0.0,0.85,0.5,0.2,0.2,0.5,0.3
stage1,1701,1.0247222185134888,250,4,0.003,0.01,1e-06,1.0,64,0.25,0.5,0.01,0.6,0.5,0.5,0.2,0.8,0.15
stage1,1701,1.0220609903335571,16,16,0.0003,0.1,0.0001,1.0,128,0.25,0.5,0.01,0.6,2.0,0.5,0.8,0.8,0.3
stage1,1701,1.0530102252960205,64,16,0.0003,0.1,1e-06,1.0,64,0.08,1.0,0.0,0.85,1.0,0.8,0.8,0.2,0.15
stage1,1701,1.0326526165008545,32,4,0.001,1.0,1e-05,0.5,128,0.15,1.0,0.005,0.6,2.0,0.5,0.8,0.8,0.3
stage1,1701,1.0449284315109253,250,4,0.003,0.1,1e-06,2.0,64,0.08,1.0,0.0,0.75,0.5,0.8,0.5,0.2,0.05
stage1,1701,1.0152941942214966,125,4,0.003,0.1,1e-06,1.0,64,0.4,1.5,0.01,0.6,1.0,0.5,0.5,0.5,0.05
stage1,1701,1.0316309928894043,32,8,0.0003,0.01,1e-05,1.0,64,0.08,1.0,0.0,0.85,2.0,0.2,0.5,0.2,0.3
stage1,1701,inf,64,8,0.0003,0.01,1e-06,2.0,128,0.4,0.5,0.01,0.85,2.0,0.5,0.2,0.5,0.3
stage1,1701,1.0432531833648682,250,8,0.001,0.1,1e-05,0.5,64,0.15,0.5,0.0,0.85,1.0,0.2,0.8,0.8,0.15
stage1,1701,inf,250,8,0.0003,0.1,1e-06,2.0,128,0.08,1.0,0.0,0.75,2.0,0.8,0.8,0.8,0.3
stage1,1701,1.0409594774246216,32,4,0.001,0.01,1e-06,2.0,64,0.4,1.5,0.005,0.75,1.0,0.2,0.2,0.5,0.05
stage1,1701,1.0172975063323975,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
stage1,1701,1.0837026834487915,125,4,0.0003,0.1,0.0001,2.0,128,0.25,1.0,0.01,0.75,0.5,0.5,0.2,0.2,0.05
stage1,1701,1.047195315361023,250,4,0.0003,0.01,1e-06,1.0,64,0.25,0.5,0.005,0.6,0.5,0.5,0.5,0.8,0.05
stage1,1701,1.0134389400482178,64,4,0.001,1.0,1e-05,0.5,128,0.25,0.5,0.0,0.85,0.5,0.5,0.8,0.5,0.3
stage1,1701,1.0288108587265015,32,4,0.003,0.1,1e-05,2.0,64,0.25,1.5,0.0,0.75,0.5,0.5,0.2,0.5,0.15
stage1,1701,1.0548348426818848,16,4,0.0003,0.1,1e-06,1.0,128,0.25,0.5,0.005,0.75,0.5,0.2,0.2,0.5,0.3
stage1,1701,1.0550384521484375,32,16,0.0003,0.01,1e-06,2.0,128,0.08,0.5,0.01,0.6,2.0,0.5,0.8,0.8,0.3
stage1,1701,1.0358330011367798,32,4,0.0003,0.1,1e-05,1.0,128,0.08,0.5,0.01,0.75,2.0,0.2,0.2,0.2,0.05
stage1,1701,1.0269396305084229,64,8,0.0003,0.1,0.0001,0.5,64,0.08,1.5,0.005,0.6,0.5,0.2,0.8,0.8,0.05
stage1,1701,1.0376352071762085,500,16,0.003,0.01,1e-05,1.0,128,0.15,1.0,0.005,0.75,1.0,0.5,0.5,0.5,0.05
stage1,1701,inf,500,8,0.0003,1.0,1e-05,0.5,64,0.08,0.5,0.005,0.6,2.0,0.8,0.2,0.2,0.3
stage1,1701,1.1805684566497803,64,8,0.0003,0.01,0.0001,2.0,64,0.08,1.5,0.005,0.75,0.5,0.2,0.2,0.5,0.3
