stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile
stage1,1701,0,inf,inf,0.8981731534004211,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline
stage1,1701,0,1.001191607396019,0.9886246364587699,0.8898126482963562,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline
stage1,1701,0,0.9726430760940428,0.9597300135675293,0.8694446682929993,500,8,0.001,0.1,1e-05,2.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,valence_electronic
stage1,1701,0,1.0212669541764934,1.0061275978911124,0.8973274827003479,250,16,0.001,0.1,1e-06,2.0,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,ring_geometry
stage1,1701,0,0.9975412048645782,0.9853469898657433,0.8937302231788635,125,4,0.0003,0.1,1e-05,1.0,128,0.25,0.5,0.005,0.75,1.0,0.2,0.5,0.2,0.15,valence_electronic
stage1,1701,0,1.117743815674109,1.0974633985467932,0.9205383062362671,16,16,0.0003,0.1,1e-05,1.0,64,0.08,1.5,0.005,0.75,1.0,0.2,0.2,0.2,0.05,valence_electronic
stage1,1701,0,1.0740973817269055,1.0637586240379686,0.9394204616546631,16,4,0.0003,0.1,1e-05,2.0,64,0.08,1.0,0.01,0.85,0.5,0.8,0.2,0.8,0.15,ring_geometry
stage1,1701,0,1.0018365233018494,0.9841234172331894,0.859965980052948,32,16,0.0003,1.0,0.0001,0.5,64,0.08,0.5,0.0,0.75,0.5,0.5,0.8,0.8,0.05,electronic_local
stage1,1701,0,inf,inf,0.8628395199775696,64,8,0.001,1.0,1e-05,1.0,64,0.4,1.5,0.005,0.6,1.0,0.8,0.8,0.8,0.05,electronic_local
stage1,1701,0,1.0227882730762603,1.0122412511452081,0.8990917801856995,125,4,0.001,1.0,1e-06,0.5,64,0.15,1.5,0.0,0.85,1.0,0.2,0.8,0.2,0.15,periodic_electronic
stage1,1701,0,1.0571166500806664,1.0442359690616927,0.9220414757728577,125,4,0.001,1.0,1e-05,2.0,128,0.08,1.0,0.01,0.6,1.0,0.8,0.2,0.2,0.15,local_environment
stage1,1701,0,1.0388942193512827,1.0200836599658576,0.8622711896896362,32,16,0.001,0.1,1e-06,2.0,128,0.08,0.5,0.005,0.85,1.0,0.5,0.2,0.5,0.05,periodic
stage1,1701,0,0.9771300788891745,0.9638440712885656,0.865240216255188,500,4,0.0003,0.01,1e-05,2.0,64,0.08,0.5,0.005,0.85,0.5,0.5,0.2,0.8,0.05,electronic
stage1,1701,0,0.9548610758166669,0.9425777574600198,0.8640925288200378,64,4,0.003,0.1,1e-06,2.0,64,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.2,0.3,periodic_valence
stage1,1701,0,0.9959299441703113,0.979546013413777,0.8697176575660706,250,16,0.003,0.1,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.5,0.2,0.8,0.15,local_environment
