stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,loss_mode,interval_loss_beta,interval_temperature
stage1,1701,0,inf,inf,0.8968928456306458,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
stage1,1701,0,1.003662547173118,0.9910313950161022,0.8908599615097046,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline,hybrid_interval,0.75,0.05
stage1,1701,0,1.2209632845595584,1.2083625334738972,2.076991081237793,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
stage1,1701,0,0.9819559200266309,0.9672832044150479,0.8640357255935669,125,4,0.003,0.1,1e-05,2.0,128,0.08,1.0,0.005,0.6,2.0,0.5,0.8,0.5,0.15,electronic,mse,0.0,0.05
stage1,1701,0,0.976100963952836,0.9645967632787315,0.8775925636291504,64,8,0.003,0.1,1e-05,0.5,128,0.4,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.3,electronic,hybrid_interval,0.75,0.05
stage1,1701,0,1.0835460586084582,1.0639048957355628,0.897951602935791,64,16,0.0003,0.01,0.0001,1.0,128,0.25,0.5,0.0,0.6,0.5,0.5,0.2,0.2,0.05,periodic_electronic,hybrid_interval,0.5,0.1
stage1,1701,0,1.0456022984816034,1.0273022023215084,0.8796426653862,32,16,0.0003,0.1,0.0001,2.0,64,0.15,1.5,0.005,0.75,0.5,0.8,0.2,0.8,0.3,baseline,hybrid_interval,1.0,0.02
stage1,1701,0,0.9895345348773033,0.9768607839595956,0.8884081840515137,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,hybrid_interval,0.5,0.02
stage1,1701,0,0.9128965327427263,0.8974462571535624,0.8379058837890625,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
stage1,1701,0,0.9690577803776851,0.9547792913563937,0.8621044754981995,16,8,0.001,0.1,1e-06,1.0,128,0.4,0.5,0.005,0.85,0.5,0.5,0.8,0.2,0.05,periodic_electronic,hybrid_interval,1.0,0.02
stage1,1701,0,inf,inf,0.8861459493637085,500,8,0.001,0.01,0.0001,1.0,64,0.15,1.0,0.01,0.75,1.0,0.2,0.5,0.2,0.05,periodic,mse,0.0,0.02
stage1,1701,0,inf,inf,0.9139859080314636,64,16,0.003,0.01,0.0001,0.5,64,0.25,1.5,0.0,0.75,0.5,0.8,0.2,0.2,0.15,baseline,hybrid_interval,0.5,0.02
stage1,1701,0,0.9401598201202649,0.9306101734995609,0.8907436728477478,500,4,0.001,1.0,1e-05,1.0,128,0.08,1.5,0.0,0.85,1.0,0.8,0.8,0.8,0.15,electronic_local,mse,0.0,0.05
stage1,1701,0,1.0201912157220558,1.004577261682345,0.8882163166999817,16,8,0.003,0.01,1e-06,1.0,64,0.25,1.5,0.01,0.6,1.0,0.2,0.2,0.5,0.3,valence_electronic,mse,0.0,0.1
stage1,1701,0,inf,inf,0.9477691650390625,64,16,0.0003,0.1,1e-05,0.5,128,0.08,1.5,0.005,0.6,2.0,0.2,0.8,0.2,0.15,valence,hybrid_interval,0.75,0.02
stage1,1701,0,inf,inf,0.8822773098945618,500,8,0.0003,0.01,1e-05,0.5,128,0.15,1.0,0.0,0.75,2.0,0.8,0.2,0.5,0.15,periodic_electronic,hybrid_interval,0.75,0.02
stage1,1701,0,1.0188491047076542,1.0009751627517915,0.8812044262886047,32,8,0.0003,0.01,1e-05,1.0,64,0.08,1.0,0.0,0.85,2.0,0.2,0.5,0.2,0.3,ring_geometry,hybrid_interval,0.75,0.02
stage1,1701,0,0.9263128838272455,0.9142098405342776,0.8544697761535645,32,4,0.003,0.1,0.0001,2.0,128,0.15,1.5,0.01,0.85,1.0,0.2,0.5,0.8,0.3,periodic_valence,hybrid_interval,0.5,0.05
stage1,1701,0,0.9938689151121257,0.9836726816639929,0.8821409344673157,125,4,0.0003,1.0,1e-06,0.5,64,0.4,0.5,0.01,0.85,1.0,0.8,0.5,0.2,0.15,periodic,hybrid_interval,1.0,0.1
stage1,1701,0,inf,inf,0.8774916529655457,64,4,0.001,0.01,1e-05,2.0,64,0.15,1.0,0.0,0.6,2.0,0.8,0.2,0.5,0.3,periodic_electronic,hybrid_interval,0.5,0.05
stage1,1701,0,0.9780423312271189,0.9658427009545306,0.884354293346405,16,4,0.001,0.01,1e-05,1.0,64,0.25,1.0,0.005,0.85,0.5,0.5,0.2,0.2,0.3,periodic_electronic,mse,0.0,0.05
stage1,1701,0,1.0082852964286095,0.9960920139139553,0.8832857608795166,32,4,0.001,1.0,0.0001,1.0,128,0.4,1.5,0.005,0.6,1.0,0.2,0.2,0.2,0.3,periodic,mse,0.0,0.02
stage1,1701,0,0.9588935887820417,0.9441239674546091,0.8506917357444763,16,8,0.003,0.01,0.0001,1.0,64,0.25,0.5,0.0,0.75,1.0,0.8,0.2,0.5,0.05,valence_electronic,hybrid_interval,1.0,0.05
stage1,1701,0,1.1243465324684778,1.1119766567070906,0.9740667343139648,32,16,0.003,1.0,1e-05,1.0,64,0.08,1.5,0.0,0.75,2.0,0.5,0.8,0.2,0.05,local_environment,hybrid_interval,0.5,0.05
stage1,1701,0,inf,inf,0.9466559290885925,250,4,0.001,1.0,1e-06,1.0,64,0.4,0.5,0.005,0.75,0.5,0.2,0.2,0.5,0.05,ring_geometry,hybrid_interval,0.75,0.1
stage1,1701,0,1.044822243174281,1.026272901217766,0.8895289897918701,250,8,0.0003,0.1,1e-05,0.5,64,0.08,1.0,0.01,0.6,2.0,0.2,0.2,0.2,0.3,local_environment,hybrid_interval,0.5,0.02
stage1,1701,0,1.0527941747306502,1.0401951675176788,0.9420990943908691,32,16,0.0003,1.0,1e-05,2.0,64,0.08,0.5,0.005,0.75,1.0,0.5,0.8,0.2,0.05,local_environment,hybrid_interval,0.5,0.1
stage1,1701,0,inf,inf,0.8667867183685303,32,4,0.0003,0.01,1e-05,1.0,64,0.4,1.5,0.0,0.6,0.5,0.8,0.5,0.2,0.05,valence,hybrid_interval,1.0,0.02
stage1,1701,0,inf,inf,0.9475839734077454,500,16,0.003,0.01,1e-05,1.0,128,0.15,1.0,0.005,0.75,1.0,0.5,0.5,0.5,0.05,comprehensive,hybrid_interval,0.75,0.02
stage1,1701,0,1.08223072136813,1.063897455110178,0.9177237153053284,250,8,0.0003,0.01,1e-06,0.5,128,0.08,1.5,0.01,0.6,0.5,0.8,0.5,0.5,0.05,baseline,hybrid_interval,1.0,0.1
stage1,1701,0,0.9824816905055654,0.968072965293087,0.8593482375144958,16,16,0.0003,1.0,1e-05,1.0,64,0.08,0.5,0.005,0.85,2.0,0.8,0.5,0.8,0.3,periodic_valence,hybrid_interval,0.25,0.05
stage1,1701,0,inf,inf,0.9596330523490906,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
stage1,1701,0,1.0115891051825439,0.9971155089689778,0.8931261301040649,16,4,0.0003,0.01,1e-06,2.0,64,0.25,1.0,0.01,0.85,0.5,0.5,0.5,0.8,0.15,valence_electronic,hybrid_interval,1.0,0.1
stage1,1701,0,1.0607037324016195,1.0481651546546817,0.9099469184875488,500,4,0.001,0.1,1e-05,0.5,64,0.25,1.5,0.005,0.75,0.5,0.8,0.5,0.8,0.3,periodic,mse,0.0,0.02
stage1,1701,0,1.0250073271062106,1.008087340388448,0.8896798491477966,16,4,0.003,0.1,1e-05,0.5,128,0.15,1.0,0.005,0.85,0.5,0.2,0.8,0.5,0.05,local_environment,hybrid_interval,1.0,0.05
stage1,1701,0,1.0481151280978676,1.031011235828282,0.8676121234893799,16,16,0.003,0.1,1e-06,0.5,64,0.4,0.5,0.005,0.6,2.0,0.8,0.5,0.8,0.3,valence,mse,0.0,0.05
stage1,1701,0,1.0259641521219929,1.0142534188822678,0.8966957926750183,250,4,0.001,0.1,0.0001,0.5,128,0.08,1.0,0.005,0.85,2.0,0.8,0.2,0.8,0.3,valence,hybrid_interval,0.5,0.02
stage1,1701,0,1.0317329691266137,1.0138067543831517,0.8707261085510254,250,16,0.001,0.01,1e-05,2.0,128,0.25,1.5,0.005,0.6,2.0,0.8,0.8,0.8,0.3,electronic_local,hybrid_interval,0.5,0.02
stage1,1701,0,0.9731562033497246,0.9592956205621275,0.8560123443603516,250,16,0.0003,1.0,0.0001,2.0,128,0.15,0.5,0.0,0.75,0.5,0.2,0.5,0.8,0.3,local_environment,hybrid_interval,0.75,0.05
stage1,1701,0,1.0062866226791514,0.994390969192676,0.8927525281906128,125,4,0.0003,1.0,1e-05,2.0,64,0.08,1.0,0.01,0.6,0.5,0.5,0.5,0.5,0.15,valence,hybrid_interval,1.0,0.1
stage1,1701,0,1.0134271056017394,1.0025480872447294,0.913044273853302,64,4,0.0003,0.01,0.0001,1.0,64,0.4,0.5,0.005,0.85,1.0,0.5,0.2,0.2,0.3,local_environment,hybrid_interval,0.5,0.05
stage1,1701,0,1.0165041478913819,1.0017413091577434,0.8882229328155518,16,4,0.0003,0.1,1e-06,2.0,128,0.08,0.5,0.01,0.75,0.5,0.2,0.5,0.2,0.3,local_environment,hybrid_interval,0.5,0.05
stage1,1701,0,0.9854947168109887,0.9675790588387774,0.8569320440292358,500,16,0.0003,0.01,0.0001,2.0,64,0.4,1.5,0.005,0.6,1.0,0.5,0.8,0.8,0.15,valence_electronic,hybrid_interval,0.25,0.1
stage1,1701,0,1.0190438008217169,1.0066043161602387,0.9046632051467896,500,4,0.001,0.01,0.0001,1.0,64,0.15,1.5,0.005,0.85,2.0,0.2,0.8,0.5,0.3,local_environment,hybrid_interval,1.0,0.05
stage1,1701,0,0.964670791979305,0.9528255866647587,0.8728998899459839,125,8,0.001,0.1,1e-06,1.0,64,0.25,1.5,0.01,0.85,2.0,0.8,0.8,0.8,0.05,valence_electronic,hybrid_interval,0.75,0.05
stage1,1701,0,1.0210664150755908,1.0053667759990765,0.8882485032081604,64,8,0.001,0.1,0.0001,2.0,128,0.15,1.0,0.005,0.85,0.5,0.8,0.8,0.5,0.3,electronic,hybrid_interval,1.0,0.05
stage1,1701,0,0.9591899112296576,0.9488426348284342,0.8891444206237793,64,4,0.001,1.0,1e-05,0.5,64,0.08,0.5,0.005,0.85,1.0,0.8,0.8,0.8,0.05,electronic_local,hybrid_interval,0.5,0.02
stage1,1701,0,1.0059829635480362,0.9898343402464757,0.8551115393638611,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
stage1,1701,0,1.0894696106029413,1.0701922074336736,0.9143344759941101,16,8,0.001,0.1,1e-06,1.0,64,0.15,1.5,0.01,0.85,2.0,0.8,0.8,0.5,0.05,periodic,hybrid_interval,0.25,0.1
stage1,1701,0,0.9572841578807436,0.9492327259299478,0.8769562244415283,125,4,0.003,1.0,0.0001,2.0,128,0.15,1.0,0.0,0.85,2.0,0.2,0.8,0.2,0.3,periodic,hybrid_interval,1.0,0.02
stage1,1701,0,1.0174777484256545,1.0085259866463432,0.915393054485321,250,4,0.0003,1.0,0.0001,2.0,128,0.15,1.0,0.01,0.75,0.5,0.8,0.2,0.5,0.3,valence,hybrid_interval,0.25,0.1
stage1,1701,0,0.9989649074613252,0.9889202663020646,0.9202097654342651,250,4,0.001,1.0,0.0001,2.0,128,0.15,0.5,0.01,0.75,0.5,0.5,0.2,0.8,0.3,electronic_local,hybrid_interval,0.75,0.05
stage1,1701,0,0.9883973432592841,0.9735777394638939,0.8787133097648621,125,8,0.003,1.0,1e-05,0.5,128,0.08,0.5,0.0,0.6,1.0,0.8,0.5,0.5,0.15,periodic,hybrid_interval,0.5,0.02
stage1,1701,0,0.9948909694508001,0.9822174932498381,0.8842170238494873,125,8,0.0003,0.1,1e-05,1.0,64,0.4,1.0,0.005,0.6,1.0,0.2,0.2,0.8,0.05,periodic,hybrid_interval,0.75,0.05
stage1,1701,0,0.9570156221867108,0.9481988480274489,0.8801538348197937,500,4,0.003,1.0,1e-05,0.5,128,0.4,0.5,0.01,0.85,1.0,0.8,0.5,0.5,0.3,baseline,hybrid_interval,0.25,0.02
stage1,1701,0,1.0014192480519215,0.9858635249556509,0.8796234726905823,125,16,0.003,1.0,1e-05,2.0,128,0.08,0.5,0.005,0.6,1.0,0.5,0.5,0.5,0.15,comprehensive,mse,0.0,0.1
stage2,1701,0,0.8955898632618668,0.8902786673429482,0.8201428055763245,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
stage2,1701,1,0.855838865287028,0.8524414095255977,0.8590700030326843,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
stage2,1701,2,0.8341334310007064,0.8290516420675598,0.8619216680526733,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
stage2,1701,0,0.9106396039180138,0.9073095366253889,0.8406754732131958,32,4,0.003,0.1,0.0001,2.0,128,0.15,1.5,0.01,0.85,1.0,0.2,0.5,0.8,0.3,periodic_valence,hybrid_interval,0.5,0.05
stage2,1701,1,0.9277966829211535,0.9246470711271342,0.9063138961791992,32,4,0.003,0.1,0.0001,2.0,128,0.15,1.5,0.01,0.85,1.0,0.2,0.5,0.8,0.3,periodic_valence,hybrid_interval,0.5,0.05
stage2,1701,2,0.9138993533589178,0.9089257726109161,0.9186931848526001,32,4,0.003,0.1,0.0001,2.0,128,0.15,1.5,0.01,0.85,1.0,0.2,0.5,0.8,0.3,periodic_valence,hybrid_interval,0.5,0.05
stage2,1701,0,0.9411126815070281,0.9378725464352081,0.8821178078651428,500,4,0.001,1.0,1e-05,1.0,128,0.08,1.5,0.0,0.85,1.0,0.8,0.8,0.8,0.15,electronic_local,mse,0.0,0.05
stage2,1701,1,0.951363133103185,0.9483919038568817,0.939348578453064,500,4,0.001,1.0,1e-05,1.0,128,0.08,1.5,0.0,0.85,1.0,0.8,0.8,0.8,0.15,electronic_local,mse,0.0,0.05
stage2,1701,2,0.9265964706288408,0.9221301851924647,0.919983446598053,500,4,0.001,1.0,1e-05,1.0,128,0.08,1.5,0.0,0.85,1.0,0.8,0.8,0.8,0.15,electronic_local,mse,0.0,0.05
stage2,1701,0,inf,inf,0.8339018821716309,16,8,0.003,0.01,0.0001,1.0,64,0.25,0.5,0.0,0.75,1.0,0.8,0.2,0.5,0.05,valence_electronic,hybrid_interval,1.0,0.05
stage2,1701,1,0.9177888175841785,0.9141639180950734,0.8793579339981079,16,8,0.003,0.01,0.0001,1.0,64,0.25,0.5,0.0,0.75,1.0,0.8,0.2,0.5,0.05,valence_electronic,hybrid_interval,1.0,0.05
stage2,1701,2,0.8557737285762046,0.8510198603203029,0.8800371289253235,16,8,0.003,0.01,0.0001,1.0,64,0.25,0.5,0.0,0.75,1.0,0.8,0.2,0.5,0.05,valence_electronic,hybrid_interval,1.0,0.05
stage2,1701,0,0.8955506144908147,0.8907227436122338,0.8327423334121704,500,4,0.003,1.0,1e-05,0.5,128,0.4,0.5,0.01,0.85,1.0,0.8,0.5,0.5,0.3,baseline,hybrid_interval,0.25,0.02
stage2,1701,1,0.949527825408021,0.9467377314354632,0.9271987080574036,500,4,0.003,1.0,1e-05,0.5,128,0.4,0.5,0.01,0.85,1.0,0.8,0.5,0.5,0.3,baseline,hybrid_interval,0.25,0.02
stage2,1701,2,0.9075343915868364,0.9035264180827771,0.8960257768630981,500,4,0.003,1.0,1e-05,0.5,128,0.4,0.5,0.01,0.85,1.0,0.8,0.5,0.5,0.3,baseline,hybrid_interval,0.25,0.02
stage2,1701,0,0.9410668574492351,0.938134165349602,0.8679908514022827,64,4,0.001,1.0,1e-05,0.5,64,0.08,0.5,0.005,0.85,1.0,0.8,0.8,0.8,0.05,electronic_local,hybrid_interval,0.5,0.02
stage2,1701,1,0.9505812960337154,0.9479626098369536,0.9263765811920166,64,4,0.001,1.0,1e-05,0.5,64,0.08,0.5,0.005,0.85,1.0,0.8,0.8,0.8,0.05,electronic_local,hybrid_interval,0.5,0.02
stage2,1701,2,0.9230692723463932,0.9189581469688923,0.9173977971076965,64,4,0.001,1.0,1e-05,0.5,64,0.08,0.5,0.005,0.85,1.0,0.8,0.8,0.8,0.05,electronic_local,hybrid_interval,0.5,0.02
stage2,1701,0,0.9484458595119573,0.9446440570782103,0.8765155673027039,125,4,0.003,1.0,0.0001,2.0,128,0.15,1.0,0.0,0.85,2.0,0.2,0.8,0.2,0.3,periodic,hybrid_interval,1.0,0.02
stage2,1701,1,0.9311345528352337,0.9284935210571338,0.9272952675819397,125,4,0.003,1.0,0.0001,2.0,128,0.15,1.0,0.0,0.85,2.0,0.2,0.8,0.2,0.3,periodic,hybrid_interval,1.0,0.02
stage2,1701,2,0.9488813265829926,0.9448256491954605,0.9402168393135071,125,4,0.003,1.0,0.0001,2.0,128,0.15,1.0,0.0,0.85,2.0,0.2,0.8,0.2,0.3,periodic,hybrid_interval,1.0,0.02
stage2,1701,0,0.8883792378607798,0.8845549015180674,0.8334642052650452,125,8,0.001,0.1,1e-06,1.0,64,0.25,1.5,0.01,0.85,2.0,0.8,0.8,0.8,0.05,valence_electronic,hybrid_interval,0.75,0.05
stage2,1701,1,inf,inf,0.8847001791000366,125,8,0.001,0.1,1e-06,1.0,64,0.25,1.5,0.01,0.85,2.0,0.8,0.8,0.8,0.05,valence_electronic,hybrid_interval,0.75,0.05
stage2,1701,2,0.8752684255416583,0.8706232278324058,0.8921029567718506,125,8,0.001,0.1,1e-06,1.0,64,0.25,1.5,0.01,0.85,2.0,0.8,0.8,0.8,0.05,valence_electronic,hybrid_interval,0.75,0.05
confirmation,1701,0,0.8597714758157674,0.8570529121295132,0.7934678792953491,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,1701,1,0.9066881083366445,0.9039492849911464,0.8895131349563599,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,1701,2,0.8383265022383559,0.8358253903500796,0.8485100269317627,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,1701,3,0.8880179908184034,0.8846087280851823,0.8822781443595886,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,1701,4,0.8722275093129321,0.8694103541886832,0.873579740524292,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,2909,0,0.8658637263863954,0.8621046498193686,0.7913645505905151,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,2909,1,0.897237928029181,0.8947129387884996,0.8854438066482544,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,2909,2,0.8284182802042651,0.8242362066049129,0.8338887095451355,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,2909,3,0.9040895835697752,0.9006681385382795,0.8883567452430725,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,2909,4,0.8736615176415484,0.8701125829144833,0.866584300994873,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,4211,0,0.8437235707237933,0.840800727918292,0.7869075536727905,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,4211,1,0.881310296433401,0.8791016789563874,0.8812037110328674,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,4211,2,0.837530477165469,0.8337895563571663,0.8387110829353333,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,4211,3,0.9077279716649456,0.9030335239580883,0.8955510258674622,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,4211,4,0.9092127350812441,0.9038003524338166,0.8868154287338257,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,1701,0,0.9051217303348892,0.9028783603384953,0.8361127376556396,32,4,0.003,0.1,0.0001,2.0,128,0.15,1.5,0.01,0.85,1.0,0.2,0.5,0.8,0.3,periodic_valence,hybrid_interval,0.5,0.05
confirmation,1701,1,0.9204181911170805,0.9186498808621039,0.9124196171760559,32,4,0.003,0.1,0.0001,2.0,128,0.15,1.5,0.01,0.85,1.0,0.2,0.5,0.8,0.3,periodic_valence,hybrid_interval,0.5,0.05
