stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,trajectory_pooling,ridge_mode
stage1,1701,0,inf,inf,0.8810380697250366,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,multiscale,shared
stage1,1701,0,0.9903314073016652,0.973461177098247,0.8742266297340393,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline,multiscale,per_endpoint
stage1,1701,0,3.8995731038036774,3.8548829644663742,12.742158889770508,125,8,0.001,1.0,1e-06,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,multiscale,per_endpoint
stage1,1701,0,1.0049098734255533,0.989341157005275,0.8704800009727478,125,4,0.003,0.1,1e-05,2.0,128,0.08,1.0,0.005,0.6,2.0,0.5,0.8,0.5,0.15,electronic,multiscale,shared
stage1,1701,0,0.9886819200904539,0.9738825801614311,0.8706063628196716,125,8,0.001,1.0,1e-05,1.0,64,0.4,1.0,0.005,0.6,1.0,0.2,0.5,0.5,0.05,local_environment,multiscale,shared
stage1,1701,0,1.0009519137845697,0.9834108993050588,0.8732949495315552,125,8,0.001,1.0,1e-06,0.5,128,0.25,1.0,0.0,0.6,0.5,0.2,0.5,0.2,0.05,electronic,multiscale,per_endpoint
stage1,1701,0,1.0271976184561418,1.0095672715327841,0.8742621541023254,64,16,0.0003,1.0,1e-06,1.0,64,0.15,1.5,0.005,0.75,0.5,0.8,0.2,0.8,0.3,baseline,multiscale,shared
stage1,1701,0,0.9699402002083617,0.9557958967588639,0.8675553202629089,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,multiscale,per_endpoint
stage1,1701,0,0.9300020770030579,0.9161523720047966,0.8437743782997131,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
stage1,1701,0,1.0344675130750562,1.0194738689664584,0.8927337527275085,250,4,0.001,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.8,0.2,0.5,0.3,periodic,multiscale,shared
stage1,1701,0,inf,inf,0.8573678135871887,125,16,0.0003,1.0,1e-05,1.0,64,0.25,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.15,valence,multiscale,shared
stage1,1701,0,0.9860124596767426,0.9705480443731964,0.858725368976593,500,4,0.0003,0.01,1e-05,2.0,64,0.08,0.5,0.005,0.85,0.5,0.5,0.2,0.8,0.05,electronic,multiscale,per_endpoint
stage1,1701,0,1.648804091456433,1.6101779230409483,1.1875604391098022,16,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.005,0.6,2.0,0.2,0.8,0.5,0.3,comprehensive,multiscale,per_endpoint
stage1,1701,0,1.052822790784427,1.0361929827267073,0.913913369178772,250,4,0.001,0.01,1e-05,2.0,64,0.08,1.0,0.0,0.85,1.0,0.8,0.8,0.2,0.15,valence,multiscale,shared
stage1,1701,0,inf,inf,2.8841567039489746,64,16,0.001,0.01,0.0001,1.0,64,0.4,1.0,0.0,0.85,1.0,0.8,0.8,0.8,0.3,baseline,multiscale,per_endpoint
stage1,1701,0,1.0636871890906687,1.0476538057174416,0.9297282695770264,32,16,0.0003,1.0,1e-06,1.0,64,0.4,0.5,0.01,0.75,0.5,0.2,0.5,0.2,0.3,ring_geometry,multiscale,shared
stage1,1701,0,1.1135506240910622,1.1009615087153253,0.9985825419425964,125,4,0.001,1.0,0.0001,0.5,128,0.25,1.0,0.005,0.6,0.5,0.5,0.2,0.2,0.15,ring_geometry,multiscale,shared
stage1,1701,0,1.3954094824811032,1.3798628167350984,1.8837300539016724,500,4,0.001,0.01,0.0001,2.0,64,0.4,0.5,0.01,0.75,1.0,0.2,0.2,0.2,0.3,ring_geometry,multiscale,per_endpoint
stage1,1701,0,1.109599549482223,1.0895378316539106,0.9033352136611938,32,16,0.003,1.0,1e-05,0.5,128,0.25,1.0,0.005,0.75,0.5,0.2,0.8,0.2,0.05,baseline,multiscale,per_endpoint
stage1,1701,0,1.025826372436074,1.0056151536161089,0.8616196513175964,32,16,0.003,0.1,0.0001,1.0,64,0.25,0.5,0.01,0.85,1.0,0.2,0.5,0.2,0.15,electronic_local,multiscale,shared
stage1,1701,0,1.259988857532221,1.238764587556118,0.9989491105079651,32,8,0.0003,0.01,0.0001,2.0,64,0.4,1.5,0.005,0.75,1.0,0.2,0.2,0.5,0.05,ring_geometry,multiscale,per_endpoint
stage1,1701,0,0.889607474719069,0.8740155623122827,0.8282197713851929,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
stage1,1701,0,1.1369204223903635,1.1164292425471725,1.1181312799453735,500,8,0.001,1.0,1e-05,0.5,128,0.08,0.5,0.0,0.85,0.5,0.2,0.2,0.2,0.15,local_environment,multiscale,shared
stage1,1701,0,inf,inf,0.9279690384864807,250,8,0.0003,0.1,1e-06,0.5,128,0.4,1.5,0.0,0.75,0.5,0.5,0.8,0.5,0.05,comprehensive,multiscale,per_endpoint
stage1,1701,0,0.882373311735715,0.8701489202015137,0.8251553177833557,64,4,0.0003,1.0,1e-06,1.0,128,0.15,0.5,0.01,0.75,1.0,0.8,0.2,0.5,0.3,baseline,multiscale,per_endpoint
stage1,1701,0,1.3869040261794112,1.3582107205867509,2.103008985519409,32,8,0.0003,0.1,1e-05,0.5,64,0.15,1.0,0.0,0.75,1.0,0.8,0.8,0.5,0.05,ring_geometry,multiscale,per_endpoint
stage1,1701,0,1.0388224142715488,1.024845689849991,0.9132530689239502,16,4,0.0003,0.1,0.0001,0.5,64,0.08,0.5,0.01,0.85,1.0,0.2,0.2,0.8,0.05,ring_geometry,multiscale,shared
stage1,1701,0,0.9895752452014737,0.9765130723019338,0.884894847869873,16,4,0.001,0.1,1e-05,1.0,64,0.15,1.5,0.005,0.85,0.5,0.2,0.2,0.2,0.15,valence_electronic,multiscale,shared
stage1,1701,0,6.768049577821319,6.470701140407008,32.295867919921875,125,16,0.0003,0.01,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.8,0.8,0.3,baseline,multiscale,per_endpoint
stage1,1701,0,1.08397827600151,1.0632736515668297,0.9011026620864868,125,8,0.0003,0.1,1e-05,1.0,128,0.25,1.0,0.005,0.6,2.0,0.5,0.2,0.8,0.15,periodic,multiscale,shared
stage1,1701,0,0.9957312164364854,0.9800318225374854,0.8824766874313354,16,4,0.001,0.01,0.0001,2.0,64,0.08,1.5,0.005,0.75,0.5,0.2,0.8,0.8,0.05,electronic_local,multiscale,shared
stage1,1701,0,inf,inf,0.9163102507591248,500,8,0.001,0.01,1e-06,0.5,128,0.4,1.5,0.01,0.75,0.5,0.5,0.2,0.8,0.3,electronic_local,multiscale,shared
stage1,1701,0,1.05795738096594,1.0421563784592738,0.921613335609436,64,16,0.003,1.0,1e-06,1.0,64,0.08,1.0,0.005,0.6,0.5,0.5,0.8,0.8,0.05,local_environment,multiscale,shared
stage1,1701,0,1.0056363968432678,0.9915629111541673,0.873039186000824,32,4,0.0003,0.01,0.0001,2.0,64,0.25,1.0,0.01,0.85,0.5,0.5,0.5,0.8,0.15,valence_electronic,multiscale,shared
stage1,1701,0,inf,inf,0.958269476890564,125,8,0.001,0.01,1e-06,1.0,128,0.25,0.5,0.01,0.75,2.0,0.8,0.2,0.2,0.05,periodic,multiscale,shared
stage1,1701,0,inf,inf,1.0260370969772339,250,8,0.001,0.01,1e-05,0.5,128,0.4,1.5,0.0,0.6,2.0,0.5,0.2,0.8,0.3,periodic_electronic,multiscale,shared
stage1,1701,0,1.3980539740158857,1.3656944324378864,1.047913670539856,250,16,0.001,0.01,1e-06,0.5,128,0.15,1.0,0.0,0.85,2.0,0.5,0.8,0.8,0.05,periodic,multiscale,per_endpoint
stage1,1701,0,1.0034152677984713,0.9867344048471215,0.8777461051940918,250,4,0.001,0.1,0.0001,0.5,128,0.08,1.0,0.005,0.85,2.0,0.8,0.2,0.8,0.3,valence,multiscale,per_endpoint
stage1,1701,0,inf,inf,0.9006068110466003,16,16,0.003,0.1,1e-06,1.0,128,0.25,1.5,0.005,0.6,2.0,0.8,0.8,0.8,0.3,electronic_local,multiscale,per_endpoint
stage1,1701,0,1.384458288105348,1.3601759921350702,1.0883731842041016,16,16,0.003,0.01,0.0001,2.0,128,0.15,0.5,0.0,0.75,0.5,0.2,0.5,0.8,0.3,local_environment,multiscale,per_endpoint
stage1,1701,0,0.9892191234192274,0.9737888985699346,0.8754181265830994,32,4,0.0003,0.01,1e-05,2.0,128,0.08,0.5,0.0,0.6,0.5,0.2,0.2,0.2,0.15,valence,multiscale,per_endpoint
stage1,1701,0,0.9752203481250515,0.9610385745840193,0.8719143867492676,125,4,0.003,1.0,1e-06,2.0,128,0.15,1.5,0.0,0.6,0.5,0.8,0.5,0.2,0.15,local_environment,multiscale,per_endpoint
stage1,1701,0,1.0771964770155056,1.0614515868835739,0.9157012104988098,16,4,0.003,0.1,1e-05,1.0,64,0.25,1.5,0.005,0.85,1.0,0.2,0.2,0.2,0.05,electronic,multiscale,per_endpoint
stage1,1701,0,1.0460972438267022,1.0300211722857793,0.906853973865509,500,4,0.001,1.0,0.0001,1.0,64,0.08,1.5,0.005,0.6,1.0,0.8,0.5,0.8,0.05,local_environment,multiscale,per_endpoint
stage1,1701,0,1.044609638388511,1.0267454596106669,0.8907440900802612,64,16,0.001,1.0,1e-05,0.5,64,0.15,1.0,0.005,0.75,1.0,0.5,0.2,0.8,0.05,periodic_valence,multiscale,per_endpoint
stage1,1701,0,1.001058467742977,0.979525423742208,0.8481488227844238,125,8,0.001,0.1,0.0001,2.0,64,0.08,0.5,0.005,0.6,0.5,0.2,0.8,0.8,0.05,local_environment,multiscale,per_endpoint
stage1,1701,0,inf,inf,0.9485763907432556,250,8,0.001,0.01,0.0001,1.0,64,0.08,1.5,0.01,0.85,1.0,0.5,0.2,0.2,0.05,periodic_valence,multiscale,per_endpoint
stage1,1701,0,1.126346147467373,1.1154007352853974,0.9718561768531799,16,4,0.0003,1.0,0.0001,2.0,128,0.4,1.5,0.01,0.85,1.0,0.2,0.2,0.2,0.15,ring_geometry,multiscale,shared
stage1,1701,0,inf,inf,0.8783902525901794,64,4,0.001,0.1,0.0001,1.0,64,0.08,1.0,0.01,0.75,2.0,0.5,0.2,0.5,0.3,local_environment,multiscale,per_endpoint
stage1,1701,0,1.0533928800907775,1.0357626354864533,0.9155789017677307,250,8,0.003,0.1,0.0001,0.5,64,0.15,0.5,0.01,0.85,1.0,0.5,0.2,0.8,0.05,ring_geometry,multiscale,per_endpoint
stage1,1701,0,1.1797389792197752,1.1584248707610094,0.9994550347328186,16,8,0.001,0.1,0.0001,2.0,64,0.08,1.5,0.01,0.6,1.0,0.5,0.5,0.2,0.05,periodic_electronic,multiscale,per_endpoint
stage1,1701,0,0.9704970061760988,0.955524965750177,0.8439719080924988,125,8,0.003,0.1,0.0001,0.5,64,0.08,0.5,0.005,0.75,1.0,0.5,0.2,0.8,0.15,periodic,multiscale,per_endpoint
stage1,1701,0,1.0169420058661578,0.9986946608263689,0.8671020269393921,125,4,0.003,0.01,1e-05,0.5,128,0.08,1.5,0.005,0.6,0.5,0.5,0.8,0.5,0.3,valence_electronic,multiscale,per_endpoint
stage1,1701,0,1.0025897406756115,0.987634546671274,0.8717285990715027,32,8,0.0003,1.0,1e-05,0.5,128,0.25,0.5,0.005,0.85,2.0,0.5,0.5,0.8,0.15,periodic,multiscale,shared
stage1,1701,0,0.9249796219140994,0.9130368099803895,0.8306127190589905,32,4,0.001,0.01,0.0001,0.5,64,0.25,0.5,0.005,0.75,2.0,0.8,0.2,0.5,0.15,periodic,multiscale,per_endpoint
stage1,1701,0,inf,inf,0.9683181643486023,64,16,0.001,0.1,1e-05,1.0,64,0.25,1.5,0.0,0.85,2.0,0.8,0.5,0.8,0.3,ring_geometry,multiscale,shared
stage2,1701,0,0.8857592777565226,0.8826450031223269,0.8389022946357727,64,4,0.0003,1.0,1e-06,1.0,128,0.15,0.5,0.01,0.75,1.0,0.8,0.2,0.5,0.3,baseline,multiscale,per_endpoint
stage2,1701,1,inf,inf,0.9107398390769958,64,4,0.0003,1.0,1e-06,1.0,128,0.15,0.5,0.01,0.75,1.0,0.8,0.2,0.5,0.3,baseline,multiscale,per_endpoint
stage2,1701,2,inf,inf,2.3937747478485107,64,4,0.0003,1.0,1e-06,1.0,128,0.15,0.5,0.01,0.75,1.0,0.8,0.2,0.5,0.3,baseline,multiscale,per_endpoint
