epoch,train_rmse,validation_rmse,mean_raw_gradient_norm,fraction_gradients_clipped
1,46.64253940503637,0.917303204536438,5086738.396031822,1.0
2,6444.650004610613,0.9082983136177063,358310871404.37915,1.0
3,42.81707350439241,0.9070524573326111,4203408.585715193,1.0
4,41.61839399817045,0.9047259092330933,2952137.4142848067,1.0
5,30.798810207218786,0.9109321236610413,1618295.4374364838,1.0
6,41.453157200204494,0.9116486310958862,2238113.5077211955,1.0
7,34.194455508627925,0.9169616103172302,1057605.3770563388,1.0
8,17052.341938442598,0.896958589553833,604868159122.7339,1.0
9,35.630844996208246,0.90152508020401,1251914.7119696392,1.0
10,39.970029112247175,0.9125198125839233,12244070.858426226,1.0
