stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile
stage1,1701,0,0.9844550991647126,0.9690454139590275,0.8740147948265076,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline
stage1,1701,0,1.027135464904918,1.0099349578528094,0.8628047704696655,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline
stage1,1701,0,1.023739068240794,1.006267443113162,0.8664449453353882,500,8,0.001,0.1,1e-05,2.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,valence_electronic
stage1,1701,0,1.0402888583543473,1.020597848627399,0.8702245354652405,250,16,0.001,0.1,1e-06,2.0,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,ring_geometry
stage1,1701,0,1.0356904986120494,1.020976214611465,0.8953845500946045,125,4,0.0003,0.1,1e-05,1.0,128,0.25,0.5,0.005,0.75,1.0,0.2,0.5,0.2,0.15,valence_electronic
stage1,1701,0,1.0115346920261286,0.9925671667564995,0.847846508026123,16,16,0.0003,0.1,1e-05,1.0,64,0.08,1.5,0.005,0.75,1.0,0.2,0.2,0.2,0.05,valence_electronic
stage1,1701,0,1.0093105049160473,0.9965717317758251,0.8925780057907104,16,4,0.0003,0.1,1e-05,2.0,64,0.08,1.0,0.01,0.85,0.5,0.8,0.2,0.8,0.15,ring_geometry
stage1,1701,0,0.9791715911110261,0.9639165823729092,0.8395403623580933,32,16,0.0003,1.0,0.0001,0.5,64,0.08,0.5,0.0,0.75,0.5,0.5,0.8,0.8,0.05,electronic_local
stage1,1701,0,0.9169728489928997,0.9011853909300034,0.8349213004112244,64,8,0.001,1.0,1e-05,1.0,64,0.4,1.5,0.005,0.6,1.0,0.8,0.8,0.8,0.05,electronic_local
stage1,1701,0,0.9651830386804003,0.9553284353859056,0.8804369568824768,125,4,0.001,1.0,1e-06,0.5,64,0.15,1.5,0.0,0.85,1.0,0.2,0.8,0.2,0.15,periodic_electronic
stage1,1701,0,1.0064404612159632,0.9929404350675074,0.8866561055183411,125,4,0.001,1.0,1e-05,2.0,128,0.08,1.0,0.01,0.6,1.0,0.8,0.2,0.2,0.15,local_environment
stage1,1701,0,0.9624106013078055,0.9437782418006777,0.8321443796157837,32,16,0.001,0.1,1e-06,2.0,128,0.08,0.5,0.005,0.85,1.0,0.5,0.2,0.5,0.05,periodic
stage1,1701,0,1.0056596461211742,0.9946483601455294,0.8849112391471863,500,4,0.0003,0.01,1e-05,2.0,64,0.08,0.5,0.005,0.85,0.5,0.5,0.2,0.8,0.05,electronic
stage1,1701,0,0.9821817543102732,0.9691504918535601,0.8860296010971069,64,4,0.003,0.1,1e-06,2.0,64,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.2,0.3,periodic_valence
stage1,1701,0,0.9818001628655675,0.9649628759551584,0.8608566522598267,250,16,0.003,0.1,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.5,0.2,0.8,0.15,local_environment
stage1,1701,0,1.0838368323705705,1.064545848508011,0.8902554512023926,16,8,0.0003,0.01,1e-05,2.0,128,0.08,1.5,0.005,0.85,0.5,0.5,0.5,0.2,0.3,valence_electronic
stage1,1701,0,1.0108044661865565,0.9932675323294466,0.8797522187232971,250,16,0.003,1.0,1e-06,2.0,128,0.15,1.5,0.0,0.85,0.5,0.5,0.2,0.5,0.05,comprehensive
stage1,1701,0,0.9814901715967559,0.9720735252704414,0.8892883658409119,125,4,0.0003,0.1,1e-06,2.0,128,0.15,1.0,0.0,0.75,2.0,0.8,0.2,0.5,0.15,periodic_electronic
stage1,1701,0,1.0362999759400555,1.0215721206822903,0.8954850435256958,125,4,0.0003,0.1,1e-06,0.5,128,0.25,0.5,0.01,0.6,1.0,0.2,0.8,0.8,0.05,valence_electronic
stage1,1701,0,1.0257270104714993,1.0048520297005787,0.863842785358429,32,16,0.001,0.1,1e-06,0.5,64,0.25,1.5,0.01,0.75,0.5,0.8,0.8,0.8,0.15,valence
stage1,1701,0,0.9352902379263742,0.9176606628629467,0.83165043592453,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
stage1,1701,0,1.012332137051286,0.9962270160746622,0.8816978335380554,500,8,0.003,0.1,1e-06,1.0,64,0.25,0.5,0.005,0.6,1.0,0.8,0.8,0.8,0.3,comprehensive
stage1,1701,0,1.0219784857061898,1.008941828182239,0.9023134708404541,32,4,0.001,0.01,1e-06,2.0,64,0.4,1.5,0.005,0.75,1.0,0.2,0.2,0.5,0.05,ring_geometry
stage1,1701,0,1.0443163786928198,1.0239780294020842,0.8735467791557312,125,16,0.0003,1.0,1e-05,1.0,128,0.08,1.0,0.0,0.6,2.0,0.5,0.2,0.5,0.05,electronic
stage1,1701,0,1.0046186780859743,0.9840240683993713,0.8627483248710632,64,16,0.003,0.1,0.0001,1.0,128,0.4,0.5,0.005,0.6,0.5,0.2,0.8,0.2,0.05,electronic
stage1,1701,0,1.011487538439104,0.9935815246978786,0.8638411164283752,16,8,0.003,0.01,0.0001,1.0,64,0.25,0.5,0.0,0.75,1.0,0.8,0.2,0.5,0.05,valence_electronic
stage1,1701,0,0.933888703592853,0.9226372188775186,0.8370433449745178,250,8,0.0003,1.0,0.0001,2.0,128,0.25,0.5,0.0,0.85,0.5,0.5,0.8,0.5,0.3,valence
stage1,1701,0,1.003459887789729,0.9839709602342488,0.8487824201583862,16,16,0.001,0.1,0.0001,0.5,128,0.08,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.05,electronic
stage1,1701,0,1.0594505506243685,1.0438900096927488,0.8969095349311829,125,4,0.001,0.1,0.0001,2.0,128,0.15,1.0,0.005,0.6,0.5,0.2,0.5,0.8,0.05,electronic_local
stage1,1701,0,1.0830270401031354,1.0664363944345372,0.8874430656433105,32,4,0.0003,1.0,0.0001,1.0,64,0.15,1.5,0.0,0.85,1.0,0.8,0.8,0.8,0.05,periodic
stage1,1701,0,1.004036754859802,0.9873465677214539,0.8715552091598511,32,8,0.001,0.1,1e-05,2.0,64,0.15,1.5,0.005,0.85,0.5,0.2,0.2,0.2,0.15,valence_electronic
stage1,1701,0,0.9919498863609817,0.9769464105462322,0.875723659992218,16,8,0.003,0.01,1e-06,0.5,128,0.15,0.5,0.0,0.85,2.0,0.2,0.8,0.8,0.3,baseline
stage1,1701,0,1.0467143058735109,1.0289202629139316,0.8781687617301941,125,8,0.001,0.01,1e-05,1.0,128,0.25,1.0,0.005,0.75,0.5,0.8,0.5,0.2,0.3,valence_electronic
stage1,1701,0,1.0028056982781364,0.990259100399838,0.873480498790741,16,4,0.0003,0.01,1e-05,0.5,64,0.08,1.5,0.005,0.75,0.5,0.2,0.8,0.8,0.05,electronic_local
stage1,1701,0,0.9647060522646483,0.9456129667158977,0.8439760208129883,16,16,0.001,0.1,1e-06,0.5,64,0.4,1.5,0.01,0.85,1.0,0.8,0.8,0.5,0.05,periodic_electronic
stage1,1701,0,0.9534370003633376,0.9388529170618135,0.8439159989356995,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment
stage1,1701,0,1.0841267967879156,1.0648108937258816,0.9004740715026855,32,16,0.0003,0.01,1e-06,0.5,64,0.15,1.5,0.005,0.75,2.0,0.8,0.2,0.5,0.15,ring_geometry
stage1,1701,0,1.00165477562734,0.9807009297998529,0.8465368747711182,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
stage1,1701,0,1.0481452478257596,1.0285824088117685,0.8832659721374512,250,16,0.0003,0.01,1e-06,0.5,64,0.4,1.0,0.0,0.75,0.5,0.5,0.5,0.8,0.05,electronic
stage1,1701,0,0.9276672482766117,0.9132099061218089,0.8266990780830383,250,8,0.0003,1.0,0.0001,1.0,64,0.25,0.5,0.0,0.6,2.0,0.5,0.2,0.5,0.05,electronic_local
stage1,1701,0,1.0015688269110121,0.9832287428725407,0.851723313331604,125,16,0.003,1.0,1e-05,1.0,64,0.15,0.5,0.005,0.75,1.0,0.8,0.8,0.2,0.05,electronic_local
stage1,1701,0,0.9452799568206889,0.9290738429302777,0.8386355042457581,16,16,0.0003,1.0,0.0001,1.0,64,0.4,1.0,0.0,0.85,1.0,0.2,0.5,0.2,0.3,local_environment
stage1,1701,0,0.9674647444473625,0.9515796665648559,0.8422194719314575,32,16,0.0003,1.0,1e-05,1.0,64,0.4,0.5,0.0,0.85,1.0,0.5,0.8,0.5,0.3,electronic_local
stage1,1701,0,0.9817282136587744,0.9651470755924985,0.8482081294059753,16,16,0.003,1.0,0.0001,1.0,64,0.15,1.0,0.01,0.6,0.5,0.8,0.8,0.8,0.3,valence
stage1,1701,0,0.9880057907949142,0.9709797592027554,0.8595871329307556,125,16,0.003,0.01,1e-06,1.0,64,0.15,0.5,0.01,0.75,1.0,0.5,0.8,0.8,0.05,electronic_local
stage1,1701,0,0.9136188921594324,0.8991500640683128,0.8274660706520081,64,16,0.001,1.0,1e-05,0.5,128,0.25,1.0,0.01,0.75,1.0,0.8,0.8,0.8,0.15,local_environment
stage1,1701,0,1.0042626367539114,0.9894667348479222,0.8824654817581177,32,4,0.003,1.0,1e-06,1.0,128,0.4,1.5,0.005,0.75,2.0,0.2,0.2,0.5,0.3,electronic_local
stage1,1701,0,0.924568535194359,0.9103802013327567,0.8237339854240417,64,8,0.001,1.0,1e-06,2.0,64,0.15,0.5,0.005,0.6,0.5,0.8,0.2,0.2,0.05,electronic_local
stage1,1701,0,0.9548720220413095,0.9384820026273095,0.8313031196594238,32,8,0.003,0.1,0.0001,0.5,64,0.4,1.0,0.0,0.6,2.0,0.5,0.5,0.5,0.15,valence
stage1,1701,0,0.965474791380419,0.9498236496743031,0.8484592437744141,16,16,0.003,1.0,0.0001,2.0,64,0.25,1.0,0.01,0.85,0.5,0.2,0.8,0.2,0.05,local_environment
stage1,1701,0,0.9447365331483936,0.9294755913380115,0.8436278700828552,64,16,0.003,0.1,0.0001,1.0,128,0.15,1.0,0.0,0.85,1.0,0.8,0.5,0.8,0.05,local_environment
stage1,1701,0,0.9176834854695671,0.9048186805593048,0.8360267877578735,125,4,0.003,1.0,1e-05,2.0,128,0.4,1.0,0.005,0.75,0.5,0.8,0.2,0.8,0.05,local_environment
stage1,1701,0,1.0010281133140853,0.9852831144880642,0.8704277873039246,500,8,0.003,1.0,1e-05,0.5,128,0.25,1.5,0.005,0.85,0.5,0.2,0.8,0.5,0.05,ring_geometry
stage1,1701,0,0.9643789725484662,0.9462542538937414,0.8270562887191772,32,16,0.003,0.1,0.0001,1.0,64,0.4,1.5,0.005,0.6,2.0,0.8,0.5,0.8,0.3,valence_electronic
stage1,1701,0,1.0689216978820855,1.05152982928624,0.8867658376693726,125,4,0.001,0.1,0.0001,2.0,128,0.15,1.5,0.0,0.6,1.0,0.8,0.5,0.2,0.15,electronic
stage1,1701,0,0.9991823983548468,0.9829339485025115,0.8696313500404358,16,4,0.0003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.2,0.5,0.2,0.3,periodic_electronic
stage2,1701,0,0.8543979830076723,0.8513158644331819,0.8126018047332764,64,16,0.001,1.0,1e-05,0.5,128,0.25,1.0,0.01,0.75,1.0,0.8,0.8,0.8,0.15,local_environment
stage2,1701,1,0.882023046297409,0.8793938825546705,0.8792158365249634,64,16,0.001,1.0,1e-05,0.5,128,0.25,1.0,0.01,0.75,1.0,0.8,0.8,0.8,0.15,local_environment
stage2,1701,2,0.8551791343138977,0.8504856611236231,0.858806312084198,64,16,0.001,1.0,1e-05,0.5,128,0.25,1.0,0.01,0.75,1.0,0.8,0.8,0.8,0.15,local_environment
stage2,1701,0,0.8700194951035752,0.8657917815404501,0.8284033536911011,64,8,0.001,1.0,1e-05,1.0,64,0.4,1.5,0.005,0.6,1.0,0.8,0.8,0.8,0.05,electronic_local
stage2,1701,1,0.9165916974468405,0.9129702700288884,0.8839326500892639,64,8,0.001,1.0,1e-05,1.0,64,0.4,1.5,0.005,0.6,1.0,0.8,0.8,0.8,0.05,electronic_local
stage2,1701,2,0.8742350922090416,0.8693513885455683,0.9015809893608093,64,8,0.001,1.0,1e-05,1.0,64,0.4,1.5,0.005,0.6,1.0,0.8,0.8,0.8,0.05,electronic_local
