stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules
stage1,1701,1.0222605466842651,64,8,0.001,0.1,1e-05,1.0,64
stage1,1701,1.019436240196228,16,4,0.001,1.0,1e-06,2.0,64
stage1,1701,0.9599747061729431,64,16,0.0003,0.1,0.0001,2.0,128
stage1,1701,1.0268537998199463,500,8,0.001,0.01,0.0001,2.0,128
stage1,1701,1.005059003829956,250,8,0.003,0.1,1e-05,0.5,64
stage1,1701,1.0139939785003662,500,8,0.003,0.01,0.0001,0.5,128
stage1,1701,1.0330349206924438,32,4,0.0003,0.1,1e-05,1.0,128
stage1,1701,1.0175650119781494,64,8,0.003,0.1,1e-06,0.5,128
stage1,1701,1.0171369314193726,125,8,0.0003,0.01,0.0001,1.0,64
stage1,1701,0.9588247537612915,32,16,0.003,0.01,1e-06,2.0,64
stage1,1701,1.0194180011749268,16,4,0.001,1.0,1e-05,2.0,64
stage1,1701,1.0196243524551392,64,8,0.0003,0.01,0.0001,0.5,64
stage1,1701,0.9500290751457214,125,16,0.001,0.1,1e-05,2.0,64
stage1,1701,1.0178052186965942,32,8,0.0003,0.1,1e-06,2.0,64
stage1,1701,0.9528316855430603,125,16,0.003,0.01,1e-06,2.0,64
stage1,1701,1.0045104026794434,500,8,0.003,0.1,1e-05,0.5,64
stage1,1701,1.040916919708252,125,4,0.0003,1.0,1e-05,0.5,128
stage1,1701,1.0196818113327026,16,4,0.0003,0.01,1e-05,2.0,128
stage1,1701,0.9532514810562134,32,16,0.0003,1.0,1e-06,1.0,64
stage1,1701,1.0075292587280273,64,8,0.0003,1.0,1e-06,1.0,64
stage1,1701,1.021034836769104,32,8,0.001,0.01,1e-05,1.0,128
stage1,1701,1.0432448387145996,250,4,0.0003,0.1,1e-06,0.5,64
stage1,1701,0.9548574686050415,16,16,0.001,0.1,1e-06,1.0,64
stage1,1701,1.0361806154251099,125,4,0.0003,0.01,0.0001,0.5,128
stage1,1701,1.0264884233474731,125,8,0.001,0.1,0.0001,1.0,128
stage1,1701,0.9650264382362366,125,16,0.001,0.01,0.0001,0.5,64
stage1,1701,0.9630342721939087,500,16,0.003,1.0,1e-05,1.0,128
stage1,1701,1.0413061380386353,250,4,0.0003,1.0,1e-06,2.0,128
stage1,1701,1.035496473312378,64,4,0.001,0.1,1e-05,2.0,128
stage1,1701,1.0095868110656738,16,8,0.001,0.01,1e-05,1.0,128
stage1,1701,1.0016075372695923,125,8,0.001,1.0,1e-05,1.0,64
stage1,1701,1.0343154668807983,125,4,0.001,1.0,1e-05,1.0,64
stage2,1701,0.9141203761100769,125,16,0.001,0.1,1e-05,2.0,64
stage2,1701,0.9122867584228516,125,16,0.003,0.01,1e-06,2.0,64
stage2,1701,0.907829999923706,32,16,0.0003,1.0,1e-06,1.0,64
stage2,1701,0.9039380550384521,16,16,0.001,0.1,1e-06,1.0,64
stage2,1701,0.9191294312477112,32,16,0.003,0.01,1e-06,2.0,64
stage2,1701,0.9142581224441528,64,16,0.0003,0.1,0.0001,2.0,128
stage2,1701,0.905185878276825,500,16,0.003,1.0,1e-05,1.0,128
stage2,1701,0.9198282361030579,125,16,0.001,0.01,0.0001,0.5,64
confirmation,1701,0.8774588108062744,16,16,0.001,0.1,1e-06,1.0,64
confirmation,2909,0.8842899203300476,16,16,0.001,0.1,1e-06,1.0,64
confirmation,4211,0.8849048614501953,16,16,0.001,0.1,1e-06,1.0,64
confirmation,1701,0.8775319457054138,500,16,0.003,1.0,1e-05,1.0,128
confirmation,2909,0.854280412197113,500,16,0.003,1.0,1e-05,1.0,128
confirmation,4211,inf,500,16,0.003,1.0,1e-05,1.0,128
confirmation,1701,0.8981173038482666,32,16,0.0003,1.0,1e-06,1.0,64
confirmation,2909,0.9039101600646973,32,16,0.0003,1.0,1e-06,1.0,64
confirmation,4211,0.8903648853302002,32,16,0.0003,1.0,1e-06,1.0,64
