stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d
stage1,1701,1.0206469297409058,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2
stage1,1701,1.0115958452224731,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15
stage1,1701,0.9747470021247864,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3
stage1,1701,0.9851078987121582,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15
stage1,1701,1.0119037628173828,500,8,0.001,0.01,1e-06,1.0,128,0.4,1.5,0.005,0.75,0.5,0.5,0.5,0.5,0.05
stage1,1701,1.0132719278335571,64,4,0.001,0.1,1e-06,2.0,64,0.4,1.0,0.005,0.85,0.5,0.2,0.8,0.5,0.15
stage1,1701,1.0165643692016602,64,4,0.0003,0.01,1e-06,1.0,64,0.08,0.5,0.005,0.75,2.0,0.2,0.8,0.2,0.15
stage1,1701,1.0030936002731323,500,16,0.0003,1.0,1e-06,2.0,128,0.25,0.5,0.01,0.6,2.0,0.8,0.2,0.8,0.05
stage1,1701,1.0105112791061401,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15
stage1,1701,1.0166016817092896,250,8,0.0003,0.1,0.0001,2.0,64,0.4,0.5,0.005,0.85,0.5,0.2,0.2,0.2,0.3
stage1,1701,0.9935860633850098,32,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.0,0.75,2.0,0.5,0.8,0.5,0.05
stage1,1701,0.997480034828186,125,16,0.0003,0.1,0.0001,0.5,64,0.4,1.5,0.0,0.85,1.0,0.5,0.2,0.8,0.15
stage1,1701,1.0165002346038818,16,4,0.001,1.0,1e-05,1.0,64,0.25,0.5,0.0,0.85,0.5,0.2,0.2,0.5,0.3
stage1,1701,1.0156978368759155,250,4,0.003,0.01,1e-06,1.0,64,0.25,0.5,0.01,0.6,0.5,0.5,0.2,0.8,0.15
stage1,1701,0.9751107096672058,16,16,0.0003,0.1,0.0001,1.0,128,0.25,0.5,0.01,0.6,2.0,0.5,0.8,0.8,0.3
stage1,1701,0.982346773147583,64,16,0.0003,0.1,1e-06,1.0,64,0.08,1.0,0.0,0.85,1.0,0.8,0.8,0.2,0.15
stage1,1701,1.0076935291290283,32,4,0.001,1.0,1e-05,0.5,128,0.15,1.0,0.005,0.6,2.0,0.5,0.8,0.8,0.3
stage1,1701,1.0019866228103638,250,4,0.003,0.1,1e-06,2.0,64,0.08,1.0,0.0,0.75,0.5,0.8,0.5,0.2,0.05
stage1,1701,1.0027883052825928,125,4,0.003,0.1,1e-06,1.0,64,0.4,1.5,0.01,0.6,1.0,0.5,0.5,0.5,0.05
stage1,1701,1.0182386636734009,32,8,0.0003,0.01,1e-05,1.0,64,0.08,1.0,0.0,0.85,2.0,0.2,0.5,0.2,0.3
stage1,1701,1.0150619745254517,64,8,0.0003,0.01,1e-06,2.0,128,0.4,0.5,0.01,0.85,2.0,0.5,0.2,0.5,0.3
stage1,1701,1.0108541250228882,250,8,0.001,0.1,1e-05,0.5,64,0.15,0.5,0.0,0.85,1.0,0.2,0.8,0.8,0.15
stage1,1701,1.0217574834823608,250,8,0.0003,0.1,1e-06,2.0,128,0.08,1.0,0.0,0.75,2.0,0.8,0.8,0.8,0.3
stage1,1701,0.9997546672821045,32,4,0.001,0.01,1e-06,2.0,64,0.4,1.5,0.005,0.75,1.0,0.2,0.2,0.5,0.05
stage1,1701,0.9998093843460083,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
stage1,1701,1.0137405395507812,125,4,0.0003,0.1,0.0001,2.0,128,0.25,1.0,0.01,0.75,0.5,0.5,0.2,0.2,0.05
stage1,1701,1.0202003717422485,250,4,0.0003,0.01,1e-06,1.0,64,0.25,0.5,0.005,0.6,0.5,0.5,0.5,0.8,0.05
stage1,1701,1.018041729927063,64,4,0.001,1.0,1e-05,0.5,128,0.25,0.5,0.0,0.85,0.5,0.5,0.8,0.5,0.3
stage1,1701,1.0011073350906372,32,4,0.003,0.1,1e-05,2.0,64,0.25,1.5,0.0,0.75,0.5,0.5,0.2,0.5,0.15
