stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile
stage1,1701,0,0.9838613085380278,0.9684413930404387,0.873816192150116,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline
stage1,1701,0,1.0279513659115518,1.0107020773608193,0.8630563020706177,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline
stage1,1701,0,1.0299511137141104,1.0125104806227825,0.8684372901916504,500,8,0.001,0.1,1e-05,2.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,valence_electronic
stage1,1701,0,1.0404386060307294,1.0207007714029073,0.8708313703536987,250,16,0.001,0.1,1e-06,2.0,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,ring_geometry
stage1,1701,0,1.0355296557903184,1.0208366613061812,0.8953388333320618,125,4,0.0003,0.1,1e-05,1.0,128,0.25,0.5,0.005,0.75,1.0,0.2,0.5,0.2,0.15,valence_electronic
stage1,1701,0,1.0123671368098486,0.9933942200166812,0.8481766581535339,16,16,0.0003,0.1,1e-05,1.0,64,0.08,1.5,0.005,0.75,1.0,0.2,0.2,0.2,0.05,valence_electronic
stage1,1701,0,1.0093966218563504,0.9966526318841537,0.8926071524620056,16,4,0.0003,0.1,1e-05,2.0,64,0.08,1.0,0.01,0.85,0.5,0.8,0.2,0.8,0.15,ring_geometry
stage1,1701,0,0.9793346420010428,0.9640766667134867,0.8395488262176514,32,16,0.0003,1.0,0.0001,0.5,64,0.08,0.5,0.0,0.75,0.5,0.5,0.8,0.8,0.05,electronic_local
stage1,1701,0,0.9169318411622382,0.9011501541958225,0.8348626494407654,64,8,0.001,1.0,1e-05,1.0,64,0.4,1.5,0.005,0.6,1.0,0.8,0.8,0.8,0.05,electronic_local
stage1,1701,0,0.9652879260060481,0.9554308419651101,0.8804962635040283,125,4,0.001,1.0,1e-06,0.5,64,0.15,1.5,0.0,0.85,1.0,0.2,0.8,0.2,0.15,periodic_electronic
stage1,1701,0,1.006337676220888,0.9928410694440339,0.886616587638855,125,4,0.001,1.0,1e-05,2.0,128,0.08,1.0,0.01,0.6,1.0,0.8,0.2,0.2,0.15,local_environment
stage1,1701,0,0.9609059520102715,0.9423413921287311,0.8318982720375061,32,16,0.001,0.1,1e-06,2.0,128,0.08,0.5,0.005,0.85,1.0,0.5,0.2,0.5,0.05,periodic
stage1,1701,0,1.005683175490321,0.9946943476626936,0.884941041469574,500,4,0.0003,0.01,1e-05,2.0,64,0.08,0.5,0.005,0.85,0.5,0.5,0.2,0.8,0.05,electronic
stage1,1701,0,0.981857714253579,0.968668760231148,0.8867981433868408,64,4,0.003,0.1,1e-06,2.0,64,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.2,0.3,periodic_valence
stage1,1701,0,0.9810286403733331,0.9629405020830264,0.855171263217926,250,16,0.003,0.1,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.5,0.2,0.8,0.15,local_environment
stage1,1701,0,1.0884562784872651,1.0689565162705776,0.891564667224884,16,8,0.0003,0.01,1e-05,2.0,128,0.08,1.5,0.005,0.85,0.5,0.5,0.5,0.2,0.3,valence_electronic
stage1,1701,0,1.0101006142480633,0.9925732362475794,0.8791251182556152,250,16,0.003,1.0,1e-06,2.0,128,0.15,1.5,0.0,0.85,0.5,0.5,0.2,0.5,0.05,comprehensive
stage1,1701,0,0.9816061798466713,0.9721865572814776,0.889337420463562,125,4,0.0003,0.1,1e-06,2.0,128,0.15,1.0,0.0,0.75,2.0,0.8,0.2,0.5,0.15,periodic_electronic
stage1,1701,0,1.0363727006367744,1.021641431302876,0.8955172300338745,125,4,0.0003,0.1,1e-06,0.5,128,0.25,0.5,0.01,0.6,1.0,0.2,0.8,0.8,0.05,valence_electronic
stage1,1701,0,1.0302495958987161,1.0093233481467938,0.8656638264656067,32,16,0.001,0.1,1e-06,0.5,64,0.25,1.5,0.01,0.75,0.5,0.8,0.8,0.8,0.15,valence
stage1,1701,0,0.9437295700775551,0.9261042805570202,0.836916983127594,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
stage1,1701,0,1.0081436950954024,0.992131079773214,0.8811677694320679,500,8,0.003,0.1,1e-06,1.0,64,0.25,0.5,0.005,0.6,1.0,0.8,0.8,0.8,0.3,comprehensive
stage1,1701,0,1.0216876316376995,1.0086617019470736,0.9021881222724915,32,4,0.001,0.01,1e-06,2.0,64,0.4,1.5,0.005,0.75,1.0,0.2,0.2,0.5,0.05,ring_geometry
stage1,1701,0,1.0443526680588198,1.0240133155551787,0.8735365271568298,125,16,0.0003,1.0,1e-05,1.0,128,0.08,1.0,0.0,0.6,2.0,0.5,0.2,0.5,0.05,electronic
stage1,1701,0,1.001237545050217,0.9808542041599324,0.8617041707038879,64,16,0.003,0.1,0.0001,1.0,128,0.4,0.5,0.005,0.6,0.5,0.2,0.8,0.2,0.05,electronic
stage1,1701,0,0.9799201528594497,0.9624802986713971,0.8556780219078064,16,8,0.003,0.01,0.0001,1.0,64,0.25,0.5,0.0,0.75,1.0,0.8,0.2,0.5,0.05,valence_electronic
stage1,1701,0,0.9338417215724127,0.9225826565175201,0.8369423747062683,250,8,0.0003,1.0,0.0001,2.0,128,0.25,0.5,0.0,0.85,0.5,0.5,0.8,0.5,0.3,valence
stage1,1701,0,1.0007649707923396,0.981335730816506,0.8481216430664062,16,16,0.001,0.1,0.0001,0.5,128,0.08,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.05,electronic
stage1,1701,0,1.059240284739032,1.043672478318445,0.8969144821166992,125,4,0.001,0.1,0.0001,2.0,128,0.15,1.0,0.005,0.6,0.5,0.2,0.5,0.8,0.05,electronic_local
stage1,1701,0,1.082994018464172,1.0664087160152327,0.8874515891075134,32,4,0.0003,1.0,0.0001,1.0,64,0.15,1.5,0.0,0.85,1.0,0.8,0.8,0.8,0.05,periodic
stage1,1701,0,1.0038451574126628,0.9871506709363461,0.8715516924858093,32,8,0.001,0.1,1e-05,2.0,64,0.15,1.5,0.005,0.85,0.5,0.2,0.2,0.2,0.15,valence_electronic
stage1,1701,0,0.9888260368766059,0.9738715327270268,0.877368688583374,16,8,0.003,0.01,1e-06,0.5,128,0.15,0.5,0.0,0.85,2.0,0.2,0.8,0.8,0.3,baseline
stage1,1701,0,1.0516266448616851,1.0337949579401446,0.8811233639717102,125,8,0.001,0.01,1e-05,1.0,128,0.25,1.0,0.005,0.75,0.5,0.8,0.5,0.2,0.3,valence_electronic
stage1,1701,0,1.0029466080978835,0.9904070526257158,0.87364661693573,16,4,0.0003,0.01,1e-05,0.5,64,0.08,1.5,0.005,0.75,0.5,0.2,0.8,0.8,0.05,electronic_local
stage1,1701,0,0.9654528714629824,0.9461299786611552,0.8449984192848206,16,16,0.001,0.1,1e-06,0.5,64,0.4,1.5,0.01,0.85,1.0,0.8,0.8,0.5,0.05,periodic_electronic
