stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,loss_mode,interval_loss_beta,interval_temperature
stage1,1701,0,0.9837967203377869,0.9684071516084292,0.8738753199577332,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
stage1,1701,0,1.0254909773394547,1.0083755188669543,0.8620737195014954,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline,hybrid_interval,0.75,0.05
stage1,1701,0,0.9424794609040602,0.9248585489135448,0.825522243976593,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
stage1,1701,0,1.0562182190391358,1.0372705607616215,0.8774874806404114,125,4,0.003,0.1,1e-05,2.0,128,0.08,1.0,0.005,0.6,2.0,0.5,0.8,0.5,0.15,electronic,mse,0.0,0.05
stage1,1701,0,0.9200643986925213,0.904431137990886,0.8247145414352417,64,8,0.003,0.1,1e-05,0.5,128,0.4,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.3,electronic,hybrid_interval,0.75,0.05
stage1,1701,0,0.989917030486549,0.968575893477011,0.837303638458252,64,16,0.0003,0.01,0.0001,1.0,128,0.25,0.5,0.0,0.6,0.5,0.5,0.2,0.2,0.05,periodic_electronic,hybrid_interval,0.5,0.1
stage1,1701,0,0.9916789861954719,0.9723540531457762,0.8379426002502441,32,16,0.0003,0.1,0.0001,2.0,64,0.15,1.5,0.005,0.75,0.5,0.8,0.2,0.8,0.3,baseline,hybrid_interval,1.0,0.02
stage1,1701,0,0.9968076045494921,0.9817881707297847,0.8750677704811096,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,hybrid_interval,0.5,0.02
stage1,1701,0,0.9340970057210818,0.9168652375692259,0.8229407072067261,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
stage1,1701,0,1.0356765786289193,1.0164138933490041,0.8789250254631042,16,8,0.001,0.1,1e-06,1.0,128,0.4,0.5,0.005,0.85,0.5,0.5,0.8,0.2,0.05,periodic_electronic,hybrid_interval,1.0,0.02
stage1,1701,0,1.0245204083546713,1.0063359794468814,0.8648446202278137,500,8,0.001,0.01,0.0001,1.0,64,0.15,1.0,0.01,0.75,1.0,0.2,0.5,0.2,0.05,periodic,mse,0.0,0.02
stage1,1701,0,0.9858315705880512,0.9668091320024805,0.8461990356445312,64,16,0.003,0.01,0.0001,0.5,64,0.25,1.5,0.0,0.75,0.5,0.8,0.2,0.2,0.15,baseline,hybrid_interval,0.5,0.02
stage1,1701,0,1.015217826857225,1.0012523098573753,0.8844852447509766,500,4,0.001,1.0,1e-05,1.0,128,0.08,1.5,0.0,0.85,1.0,0.8,0.8,0.8,0.15,electronic_local,mse,0.0,0.05
stage1,1701,0,1.0243616386874912,1.005621853618115,0.8818421959877014,16,8,0.003,0.01,1e-06,1.0,64,0.25,1.5,0.01,0.6,1.0,0.2,0.2,0.5,0.3,valence_electronic,mse,0.0,0.1
stage1,1701,0,1.0455986945332274,1.0259914783821216,0.8771200776100159,64,16,0.0003,0.1,1e-05,0.5,128,0.08,1.5,0.005,0.6,2.0,0.2,0.8,0.2,0.15,valence,hybrid_interval,0.75,0.02
stage1,1701,0,1.0479653733607488,1.0284611494058327,0.8841206431388855,500,8,0.0003,0.01,1e-05,0.5,128,0.15,1.0,0.0,0.75,2.0,0.8,0.2,0.5,0.15,periodic_electronic,hybrid_interval,0.75,0.02
stage1,1701,0,1.0467853004441972,1.027023283412905,0.88372802734375,32,8,0.0003,0.01,1e-05,1.0,64,0.08,1.0,0.0,0.85,2.0,0.2,0.5,0.2,0.3,ring_geometry,hybrid_interval,0.75,0.02
stage1,1701,0,0.9832169418272461,0.9688373708233967,0.8843622803688049,32,4,0.003,0.1,0.0001,2.0,128,0.15,1.5,0.01,0.85,1.0,0.2,0.5,0.8,0.3,periodic_valence,hybrid_interval,0.5,0.05
stage1,1701,0,1.052255554672132,1.0358089741708076,0.8856934905052185,125,4,0.0003,1.0,1e-06,0.5,64,0.4,0.5,0.01,0.85,1.0,0.8,0.5,0.2,0.15,periodic,hybrid_interval,1.0,0.1
stage1,1701,0,0.9390718875517657,0.927855070138861,0.8601458668708801,64,4,0.001,0.01,1e-05,2.0,64,0.15,1.0,0.0,0.6,2.0,0.8,0.2,0.5,0.3,periodic_electronic,hybrid_interval,0.5,0.05
stage1,1701,0,0.9576344910153672,0.944456133560019,0.8668038249015808,16,4,0.001,0.01,1e-05,1.0,64,0.25,1.0,0.005,0.85,0.5,0.5,0.2,0.2,0.3,periodic_electronic,mse,0.0,0.05
stage1,1701,0,1.062084247125432,1.045376467625321,0.8811041712760925,32,4,0.001,1.0,0.0001,1.0,128,0.4,1.5,0.005,0.6,1.0,0.2,0.2,0.2,0.3,periodic,mse,0.0,0.02
stage1,1701,0,1.0228174909469303,1.0052913747943364,0.8617745041847229,16,8,0.003,0.01,0.0001,1.0,64,0.25,0.5,0.0,0.75,1.0,0.8,0.2,0.5,0.05,valence_electronic,hybrid_interval,1.0,0.05
stage1,1701,0,0.9794392786099998,0.9638800624960484,0.8645617365837097,32,16,0.003,1.0,1e-05,1.0,64,0.08,1.5,0.0,0.75,2.0,0.5,0.8,0.2,0.05,local_environment,hybrid_interval,0.5,0.05
stage1,1701,0,0.9381654484368148,0.9268628068771865,0.8758413791656494,250,4,0.001,1.0,1e-06,1.0,64,0.4,0.5,0.005,0.75,0.5,0.2,0.2,0.5,0.05,ring_geometry,hybrid_interval,0.75,0.1
stage1,1701,0,0.9329550418634063,0.9179781616899607,0.8419280052185059,250,8,0.0003,0.1,1e-05,0.5,64,0.08,1.0,0.01,0.6,2.0,0.2,0.2,0.2,0.3,local_environment,hybrid_interval,0.5,0.02
stage1,1701,0,0.9413798898689036,0.9258164290550585,0.8370318412780762,32,16,0.0003,1.0,1e-05,2.0,64,0.08,0.5,0.005,0.75,1.0,0.5,0.8,0.2,0.05,local_environment,hybrid_interval,0.5,0.1
stage1,1701,0,0.9985971106462904,0.9858865236678312,0.8869904279708862,32,4,0.0003,0.01,1e-05,1.0,64,0.4,1.5,0.0,0.6,0.5,0.8,0.5,0.2,0.05,valence,hybrid_interval,1.0,0.02
stage1,1701,0,0.9854592222170245,0.9665667450715986,0.8544411063194275,500,16,0.003,0.01,1e-05,1.0,128,0.15,1.0,0.005,0.75,1.0,0.5,0.5,0.5,0.05,comprehensive,hybrid_interval,0.75,0.02
stage1,1701,0,1.0098921934376337,0.9963776762697699,0.8801419138908386,250,8,0.0003,0.01,1e-06,0.5,128,0.08,1.5,0.01,0.6,0.5,0.8,0.5,0.5,0.05,baseline,hybrid_interval,1.0,0.1
stage1,1701,0,0.9738579632343413,0.9564588442063234,0.8418780565261841,16,16,0.0003,1.0,1e-05,1.0,64,0.08,0.5,0.005,0.85,2.0,0.8,0.5,0.8,0.3,periodic_valence,hybrid_interval,0.25,0.05
stage1,1701,0,0.9514948911562505,0.9365844759859779,0.8422021269798279,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
stage1,1701,0,1.0259102497561532,1.009259301143678,0.8875686526298523,16,4,0.0003,0.01,1e-06,2.0,64,0.25,1.0,0.01,0.85,0.5,0.5,0.5,0.8,0.15,valence_electronic,hybrid_interval,1.0,0.1
stage1,1701,0,1.0684033388131204,1.0509287514151315,0.8852667212486267,500,4,0.001,0.1,1e-05,0.5,64,0.25,1.5,0.005,0.75,0.5,0.8,0.5,0.8,0.3,periodic,mse,0.0,0.02
stage1,1701,0,0.9666289021312289,0.9519864174189826,0.8572152256965637,16,4,0.003,0.1,1e-05,0.5,128,0.15,1.0,0.005,0.85,0.5,0.2,0.8,0.5,0.05,local_environment,hybrid_interval,1.0,0.05
