stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,trajectory_pooling,ridge_mode
stage1,1701,0,0.9962736058143546,0.9811773857243503,0.8749131560325623,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,multiscale,shared
stage1,1701,0,1.036178169080739,1.0191530854166828,0.9040477871894836,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline,multiscale,per_endpoint
stage1,1701,0,0.9347505849321516,0.9198237771823248,0.8264584541320801,125,8,0.001,1.0,1e-06,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,multiscale,per_endpoint
stage1,1701,0,1.0502172302941117,1.030824779179547,0.8776510953903198,125,4,0.003,0.1,1e-05,2.0,128,0.08,1.0,0.005,0.6,2.0,0.5,0.8,0.5,0.15,electronic,multiscale,shared
stage1,1701,0,0.9240340788619029,0.9092862429868748,0.8399348258972168,125,8,0.001,1.0,1e-05,1.0,64,0.4,1.0,0.005,0.6,1.0,0.2,0.5,0.5,0.05,local_environment,multiscale,shared
stage1,1701,0,0.950271154843586,0.9314535481102473,0.8306666016578674,125,8,0.001,1.0,1e-06,0.5,128,0.25,1.0,0.0,0.6,0.5,0.2,0.5,0.2,0.05,electronic,multiscale,per_endpoint
stage1,1701,0,0.9472112533243026,0.9299300069707582,0.8277906775474548,64,16,0.0003,1.0,1e-06,1.0,64,0.15,1.5,0.005,0.75,0.5,0.8,0.2,0.8,0.3,baseline,multiscale,shared
stage1,1701,0,0.9682897818019538,0.9505696738286173,0.8578659296035767,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,multiscale,per_endpoint
stage1,1701,0,1.0049484491382015,0.9870100148552869,0.8426756262779236,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
stage1,1701,0,1.074295586549811,1.0564205022384994,0.886239767074585,250,4,0.001,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.8,0.2,0.5,0.3,periodic,multiscale,shared
stage1,1701,0,1.0063258978535616,0.9874543344652984,0.8533782958984375,125,16,0.0003,1.0,1e-05,1.0,64,0.25,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.15,valence,multiscale,shared
