stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile
stage1,1701,0,0.9850751987729384,0.9689339699004089,0.8627851009368896,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline
stage1,1701,0,0.9705259648768231,0.9567798619496859,0.8570067882537842,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline
stage1,1701,0,0.926823066096567,0.9135087391924979,0.8398086428642273,500,8,0.001,0.1,1e-05,2.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,valence_electronic
stage1,1701,0,1.0643931202236907,1.0446926170641566,0.8830311894416809,250,16,0.001,0.1,1e-06,2.0,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,ring_geometry
stage1,1701,0,0.9887541932505677,0.976341543329422,0.8802617192268372,125,4,0.0003,0.1,1e-05,1.0,128,0.25,0.5,0.005,0.75,1.0,0.2,0.5,0.2,0.15,valence_electronic
stage1,1701,0,1.0885772654106658,1.0716161859239262,0.924385130405426,16,16,0.0003,0.1,1e-05,1.0,64,0.08,1.5,0.005,0.75,1.0,0.2,0.2,0.2,0.05,valence_electronic
stage1,1701,0,1.0320524903035115,1.0211622725751024,0.9316335320472717,16,4,0.0003,0.1,1e-05,2.0,64,0.08,1.0,0.01,0.85,0.5,0.8,0.2,0.8,0.15,ring_geometry
stage1,1701,0,1.053567569647747,1.0350324725279902,0.8845347166061401,32,16,0.0003,1.0,0.0001,0.5,64,0.08,0.5,0.0,0.75,0.5,0.5,0.8,0.8,0.05,electronic_local
stage1,1701,0,1.0490876714269077,1.0319557769703755,0.906809389591217,64,8,0.001,1.0,1e-05,1.0,64,0.4,1.5,0.005,0.6,1.0,0.8,0.8,0.8,0.05,electronic_local
stage1,1701,0,1.0086088938872575,0.996393857183206,0.8793017864227295,125,4,0.001,1.0,1e-06,0.5,64,0.15,1.5,0.0,0.85,1.0,0.2,0.8,0.2,0.15,periodic_electronic
stage1,1701,0,1.0123418385133816,0.9986230678926205,0.8908501863479614,125,4,0.001,1.0,1e-05,2.0,128,0.08,1.0,0.01,0.6,1.0,0.8,0.2,0.2,0.15,local_environment
stage1,1701,0,1.0547792135471528,1.0363204347343637,0.8802432417869568,32,16,0.001,0.1,1e-06,2.0,128,0.08,0.5,0.005,0.85,1.0,0.5,0.2,0.5,0.05,periodic
stage1,1701,0,1.0362088651205437,1.0217005451008592,0.8820067048072815,500,4,0.0003,0.01,1e-05,2.0,64,0.08,0.5,0.005,0.85,0.5,0.5,0.2,0.8,0.05,electronic
stage1,1701,0,1.0103579889901906,0.9984769116603983,0.8999737501144409,64,4,0.003,0.1,1e-06,2.0,64,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.2,0.3,periodic_valence
stage1,1701,0,1.0883798093187758,1.0676543694436884,0.8848057985305786,250,16,0.003,0.1,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.5,0.2,0.8,0.15,local_environment
stage1,1701,0,1.0592673256528766,1.0394437389157554,0.8879399299621582,16,8,0.0003,0.01,1e-05,2.0,128,0.08,1.5,0.005,0.85,0.5,0.5,0.5,0.2,0.3,valence_electronic
stage1,1701,0,0.9857238985498948,0.9711308766826336,0.883592426776886,250,16,0.003,1.0,1e-06,2.0,128,0.15,1.5,0.0,0.85,0.5,0.5,0.2,0.5,0.05,comprehensive
stage1,1701,0,1.0308831566487837,1.0177565470398076,0.8927409648895264,125,4,0.0003,0.1,1e-06,2.0,128,0.15,1.0,0.0,0.75,2.0,0.8,0.2,0.5,0.15,periodic_electronic
stage1,1701,0,0.9874508544150329,0.9738851930208892,0.8699676990509033,125,4,0.0003,0.1,1e-06,0.5,128,0.25,0.5,0.01,0.6,1.0,0.2,0.8,0.8,0.05,valence_electronic
stage1,1701,0,1.06161941936255,1.0443169649733903,0.9171032309532166,32,16,0.001,0.1,1e-06,0.5,64,0.25,1.5,0.01,0.75,0.5,0.8,0.8,0.8,0.15,valence
stage1,1701,0,1.0517098623164447,1.0351645284654825,0.9084689021110535,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
stage1,1701,0,0.9551056373528488,0.9425242522622251,0.8642990589141846,500,8,0.003,0.1,1e-06,1.0,64,0.25,0.5,0.005,0.6,1.0,0.8,0.8,0.8,0.3,comprehensive
stage1,1701,0,1.0056464835801433,0.9916326619452288,0.898342490196228,32,4,0.001,0.01,1e-06,2.0,64,0.4,1.5,0.005,0.75,1.0,0.2,0.2,0.5,0.05,ring_geometry
stage1,1701,0,1.0139645715510672,0.9950502265295489,0.8641865253448486,125,16,0.0003,1.0,1e-05,1.0,128,0.08,1.0,0.0,0.6,2.0,0.5,0.2,0.5,0.05,electronic
stage1,1701,0,1.0506600697884299,1.0305487759771461,0.862895667552948,64,16,0.003,0.1,0.0001,1.0,128,0.4,0.5,0.005,0.6,0.5,0.2,0.8,0.2,0.05,electronic
stage1,1701,0,0.9731437733448332,0.9547699331112162,0.8479819297790527,16,8,0.003,0.01,0.0001,1.0,64,0.25,0.5,0.0,0.75,1.0,0.8,0.2,0.5,0.05,valence_electronic
stage1,1701,0,0.962832717572295,0.9492431702471262,0.8647725582122803,250,8,0.0003,1.0,0.0001,2.0,128,0.25,0.5,0.0,0.85,0.5,0.5,0.8,0.5,0.3,valence
stage1,1701,0,0.9853092258707852,0.9684340362974077,0.8596561551094055,16,16,0.001,0.1,0.0001,0.5,128,0.08,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.05,electronic
stage1,1701,0,0.9946084425406556,0.9815675522355056,0.8937772512435913,125,4,0.001,0.1,0.0001,2.0,128,0.15,1.0,0.005,0.6,0.5,0.2,0.5,0.8,0.05,electronic_local
stage1,1701,0,0.9515147067896578,0.9407872722108351,0.8769384026527405,32,4,0.0003,1.0,0.0001,1.0,64,0.15,1.5,0.0,0.85,1.0,0.8,0.8,0.8,0.05,periodic
stage1,1701,0,0.9499726021961866,0.9335545049516851,0.8431562781333923,32,8,0.001,0.1,1e-05,2.0,64,0.15,1.5,0.005,0.85,0.5,0.2,0.2,0.2,0.15,valence_electronic
