stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d
stage1,1701,1.0175766944885254,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2
stage1,1701,1.0401663780212402,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15
stage1,1701,1.062894344329834,16,16,0.001,0.1,1e-05,1.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3
stage1,1701,0.9632531404495239,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15
stage1,1701,1.002776861190796,500,8,0.001,0.01,1e-06,1.0,128,0.4,1.5,0.005,0.75,0.5,0.5,0.5,0.5,0.05
stage1,1701,1.011877417564392,64,4,0.001,0.1,1e-06,2.0,64,0.4,1.0,0.005,0.85,0.5,0.2,0.8,0.5,0.15
stage1,1701,1.0236703157424927,64,4,0.0003,0.01,1e-06,1.0,64,0.08,0.5,0.005,0.75,2.0,0.2,0.8,0.2,0.15
stage1,1701,0.9918807744979858,500,16,0.0003,1.0,1e-06,2.0,128,0.25,0.5,0.01,0.6,2.0,0.8,0.2,0.8,0.05
stage1,1701,1.018051266670227,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15
stage1,1701,1.0441619157791138,250,8,0.0003,0.1,0.0001,2.0,64,0.4,0.5,0.005,0.85,0.5,0.2,0.2,0.2,0.3
stage1,1701,1.015655517578125,32,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.0,0.75,2.0,0.5,0.8,0.5,0.05
stage1,1701,0.9790022969245911,125,16,0.0003,0.1,0.0001,0.5,64,0.4,1.5,0.0,0.85,1.0,0.5,0.2,0.8,0.15
stage1,1701,1.0085488557815552,16,4,0.001,1.0,1e-05,1.0,64,0.25,0.5,0.0,0.85,0.5,0.2,0.2,0.5,0.3
stage1,1701,1.0010972023010254,250,4,0.003,0.01,1e-06,1.0,64,0.25,0.5,0.01,0.6,0.5,0.5,0.2,0.8,0.15
stage1,1701,1.1005836725234985,16,16,0.0003,0.1,0.0001,1.0,128,0.25,0.5,0.01,0.6,2.0,0.5,0.8,0.8,0.3
stage1,1701,1.0566359758377075,64,16,0.0003,0.1,1e-06,1.0,64,0.08,1.0,0.0,0.85,1.0,0.8,0.8,0.2,0.15
stage1,1701,1.0189213752746582,32,4,0.001,1.0,1e-05,0.5,128,0.15,1.0,0.005,0.6,2.0,0.5,0.8,0.8,0.3
stage1,1701,1.0156952142715454,250,4,0.003,0.1,1e-06,2.0,64,0.08,1.0,0.0,0.75,0.5,0.8,0.5,0.2,0.05
stage1,1701,0.9958481192588806,125,4,0.003,0.1,1e-06,1.0,64,0.4,1.5,0.01,0.6,1.0,0.5,0.5,0.5,0.05
stage1,1701,1.0489145517349243,32,8,0.0003,0.01,1e-05,1.0,64,0.08,1.0,0.0,0.85,2.0,0.2,0.5,0.2,0.3
stage1,1701,1.0136560201644897,64,8,0.0003,0.01,1e-06,2.0,128,0.4,0.5,0.01,0.85,2.0,0.5,0.2,0.5,0.3
stage1,1701,1.0122902393341064,250,8,0.001,0.1,1e-05,0.5,64,0.15,0.5,0.0,0.85,1.0,0.2,0.8,0.8,0.15
stage1,1701,1.0046734809875488,250,8,0.0003,0.1,1e-06,2.0,128,0.08,1.0,0.0,0.75,2.0,0.8,0.8,0.8,0.3
stage1,1701,1.0193761587142944,32,4,0.001,0.01,1e-06,2.0,64,0.4,1.5,0.005,0.75,1.0,0.2,0.2,0.5,0.05
stage1,1701,1.0007426738739014,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
stage1,1701,0.9879688620567322,125,4,0.0003,0.1,0.0001,2.0,128,0.25,1.0,0.01,0.75,0.5,0.5,0.2,0.2,0.05
stage1,1701,0.9925537109375,250,4,0.0003,0.01,1e-06,1.0,64,0.25,0.5,0.005,0.6,0.5,0.5,0.5,0.8,0.05
stage1,1701,1.015549659729004,64,4,0.001,1.0,1e-05,0.5,128,0.25,0.5,0.0,0.85,0.5,0.5,0.8,0.5,0.3
stage1,1701,1.001328706741333,32,4,0.003,0.1,1e-05,2.0,64,0.25,1.5,0.0,0.75,0.5,0.5,0.2,0.5,0.15
stage1,1701,1.0131404399871826,16,4,0.0003,0.1,1e-06,1.0,128,0.25,0.5,0.005,0.75,0.5,0.2,0.2,0.5,0.3
stage1,1701,1.1531336307525635,32,16,0.0003,0.01,1e-06,2.0,128,0.08,0.5,0.01,0.6,2.0,0.5,0.8,0.8,0.3
stage1,1701,1.0091725587844849,32,4,0.0003,0.1,1e-05,1.0,128,0.08,0.5,0.01,0.75,2.0,0.2,0.2,0.2,0.05
stage1,1701,1.0332822799682617,64,8,0.0003,0.1,0.0001,0.5,64,0.08,1.5,0.005,0.6,0.5,0.2,0.8,0.8,0.05
stage1,1701,1.0066921710968018,500,16,0.003,0.01,1e-05,1.0,128,0.15,1.0,0.005,0.75,1.0,0.5,0.5,0.5,0.05
stage1,1701,1.0099399089813232,500,8,0.0003,1.0,1e-05,0.5,64,0.08,0.5,0.005,0.6,2.0,0.8,0.2,0.2,0.3
stage1,1701,1.0449539422988892,64,8,0.0003,0.01,0.0001,2.0,64,0.08,1.5,0.005,0.75,0.5,0.2,0.2,0.5,0.3
stage2,1701,0.9056018590927124,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15
stage2,1701,0.9217424988746643,125,16,0.0003,0.1,0.0001,0.5,64,0.4,1.5,0.0,0.85,1.0,0.5,0.2,0.8,0.15
stage2,1701,0.9677428603172302,125,4,0.0003,0.1,0.0001,2.0,128,0.25,1.0,0.01,0.75,0.5,0.5,0.2,0.2,0.05
stage2,1701,0.943187415599823,500,16,0.0003,1.0,1e-06,2.0,128,0.25,0.5,0.01,0.6,2.0,0.8,0.2,0.8,0.05
stage2,1701,0.9612525105476379,250,4,0.0003,0.01,1e-06,1.0,64,0.25,0.5,0.005,0.6,0.5,0.5,0.5,0.8,0.05
stage2,1701,0.9347830414772034,125,4,0.003,0.1,1e-06,1.0,64,0.4,1.5,0.01,0.6,1.0,0.5,0.5,0.5,0.05
stage2,1701,0.9335256814956665,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
stage2,1701,0.9454538226127625,250,4,0.003,0.01,1e-06,1.0,64,0.25,0.5,0.01,0.6,0.5,0.5,0.2,0.8,0.15
stage2,1701,0.975461483001709,32,4,0.003,0.1,1e-05,2.0,64,0.25,1.5,0.0,0.75,0.5,0.5,0.2,0.5,0.15
stage2,1701,0.9615007042884827,500,8,0.001,0.01,1e-06,1.0,128,0.4,1.5,0.005,0.75,0.5,0.5,0.5,0.5,0.05
confirmation,1701,0.8827558755874634,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15
confirmation,2909,0.8832455277442932,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15
confirmation,4211,0.8641464710235596,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15
confirmation,1701,0.906598687171936,125,16,0.0003,0.1,0.0001,0.5,64,0.4,1.5,0.0,0.85,1.0,0.5,0.2,0.8,0.15
confirmation,2909,0.8946816921234131,125,16,0.0003,0.1,0.0001,0.5,64,0.4,1.5,0.0,0.85,1.0,0.5,0.2,0.8,0.15
confirmation,4211,0.8919410705566406,125,16,0.0003,0.1,0.0001,0.5,64,0.4,1.5,0.0,0.85,1.0,0.5,0.2,0.8,0.15
confirmation,1701,0.8904224634170532,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
confirmation,2909,0.9115754961967468,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
confirmation,4211,0.9035411477088928,64,8,0.003,0.01,0.0001,1.0,128,0.4,1.5,0.0,0.75,0.5,0.2,0.8,0.5,0.05
