stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile
stage1,1701,0.9629471898078918,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,baseline
stage1,1701,1.0106507539749146,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,periodic
stage1,1701,0.9734178185462952,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,valence
stage1,1701,0.9648622870445251,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,electronic
stage1,1701,0.9739687442779541,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,ring_geometry
stage1,1701,0.9343023896217346,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,periodic_valence
stage1,1701,0.9229201674461365,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,periodic_electronic
stage1,1701,0.9808626770973206,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,valence_electronic
stage1,1701,0.949738621711731,125,16,0.003,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,comprehensive
stage1,1701,0.9816246628761292,125,16,0.003,0.01,0.0001,1.0,128,0.15,1.0,0.0,0.85,2.0,0.8,0.5,0.2,0.15,comprehensive
stage1,1701,0.963779628276825,125,8,0.0003,0.01,1e-05,0.5,128,0.15,1.0,0.0,0.6,1.0,0.2,0.8,0.2,0.3,periodic
stage1,1701,0.9343776702880859,250,16,0.003,1.0,1e-05,1.0,64,0.4,0.5,0.0,0.75,1.0,0.5,0.8,0.8,0.15,periodic_electronic
stage1,1701,0.9162431359291077,125,16,0.003,0.3,1e-05,2.0,64,0.15,1.5,0.0,0.6,0.5,0.8,0.8,0.5,0.3,electronic
