candidate_id,generation,rule,generations,hidden_channels,atom_feature_profile,trajectory_pooling,degree_normalization_power,chemical_feature_gating,initial_state_anchor,dynamic_observables,multiscale_transition_energy,channel_adaptive_timescale,multilag_recurrence_signature,temporal_extrema_signature,directional_flux_signature,screen_mean_ma_st_rae,screen_mean_rmse
g01_c00,1,fitzhugh_nagumo,128,24,comprehensive,multiscale,1.0,False,False,True,True,False,False,False,False,0.595548751193333,0.7807861566543579
g02_c09,2,damped_symplectic,16,16,periodic_valence,temporal_attention,0.5,False,True,True,True,True,False,False,True,0.5984880009922571,0.7747145295143127
g02_c16,2,damped_symplectic,32,24,comprehensive,multiscale,0.5,False,False,True,True,False,False,False,False,0.5994380006812383,0.7738662958145142
g03_c10,3,delayed_memory,32,24,comprehensive,multiscale,0.5,False,True,True,True,True,False,False,False,0.6028139319330343,0.7696466743946075
g01_c08,1,damped_symplectic,32,24,periodic_electronic,multiscale,1.0,False,False,False,True,True,False,False,False,0.6077435612878215,0.7926739752292633
g02_c12,2,delayed_memory,64,16,comprehensive,temporal_attention,1.0,True,True,False,True,False,False,True,False,0.6077825938575059,0.7716532051563263
g02_c21,2,damped_symplectic,32,16,comprehensive,multiscale,0.5,True,True,False,True,True,False,True,False,0.6105711356528778,0.7896922826766968
g03_c22,3,damped_symplectic,16,16,periodic_electronic,multiscale,0.5,True,True,False,True,False,False,True,True,0.6143021402986049,0.7747102379798889
g03_c21,3,delayed_memory,32,24,periodic_electronic,legacy,1.0,False,False,False,True,False,True,True,False,0.6147248849327716,0.7686646282672882
g01_c12,1,damped_symplectic,32,24,periodic_electronic,legacy,0.5,False,False,True,False,False,True,False,False,0.6159883277239503,0.7913800776004791
g01_c11,1,damped_symplectic,128,16,periodic_electronic,multiscale,1.0,True,True,False,False,True,False,True,False,0.6166503441172216,0.7902946770191193
g02_c19,2,damped_symplectic,32,24,periodic_electronic,legacy,0.5,False,True,True,False,True,True,False,True,0.6168755096611256,0.7755764126777649
g02_c06,2,delayed_memory,32,24,periodic_electronic,multiscale,0.5,False,True,False,True,True,False,False,False,0.618009020241306,0.7804909348487854
g03_c11,3,damped_symplectic,32,24,periodic_electronic,temporal_attention,0.5,False,False,True,False,False,True,False,True,0.6182941217467375,0.7840984761714935
g02_c23,2,fitzhugh_nagumo,64,24,comprehensive,temporal_attention,0.5,False,False,True,False,False,True,False,True,0.6204143139415127,0.8033148348331451
g00_c19,0,damped_symplectic,16,16,electronic_local,legacy,1.0,True,True,True,False,False,True,False,False,0.6207282790643687,0.786831796169281
g03_c14,3,damped_symplectic,16,16,periodic_valence,temporal_attention,0.5,True,True,True,False,True,False,True,False,0.6214249930630782,0.785338431596756
