stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile
stage1,1701,0,0.9726378163764597,0.9577502413963419,0.8672860264778137,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline
stage1,1701,0,0.9969144423468526,0.9824336700659924,0.8768274188041687,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline
stage1,1701,0,0.9563876485597718,0.9411032361100191,0.8545328378677368,500,8,0.001,0.1,1e-05,2.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,valence_electronic
stage1,1701,0,1.041475096704928,1.023431449242552,0.8827768564224243,250,16,0.001,0.1,1e-06,2.0,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,ring_geometry
stage1,1701,0,1.0343555108231803,1.0180802540266602,0.8881696462631226,125,4,0.0003,0.1,1e-05,1.0,128,0.25,0.5,0.005,0.75,1.0,0.2,0.5,0.2,0.15,valence_electronic
stage1,1701,0,1.155028477992339,1.1354072338913808,0.9574775099754333,16,16,0.0003,0.1,1e-05,1.0,64,0.08,1.5,0.005,0.75,1.0,0.2,0.2,0.2,0.05,valence_electronic
stage1,1701,0,1.0002808632287123,0.9888677768400471,0.8980021476745605,16,4,0.0003,0.1,1e-05,2.0,64,0.08,1.0,0.01,0.85,0.5,0.8,0.2,0.8,0.15,ring_geometry
stage1,1701,0,1.004477265359475,0.984236522221022,0.8379238247871399,32,16,0.0003,1.0,0.0001,0.5,64,0.08,0.5,0.0,0.75,0.5,0.5,0.8,0.8,0.05,electronic_local
stage1,1701,0,0.9683714964595292,0.9515895645489003,0.8559203147888184,64,8,0.001,1.0,1e-05,1.0,64,0.4,1.5,0.005,0.6,1.0,0.8,0.8,0.8,0.05,electronic_local
stage1,1701,0,1.001358283265207,0.9869615444360371,0.8819676041603088,125,4,0.001,1.0,1e-06,0.5,64,0.15,1.5,0.0,0.85,1.0,0.2,0.8,0.2,0.15,periodic_electronic
stage1,1701,0,0.9696076391148868,0.9555041296893207,0.8812373876571655,125,4,0.001,1.0,1e-05,2.0,128,0.08,1.0,0.01,0.6,1.0,0.8,0.2,0.2,0.15,local_environment
stage1,1701,0,0.9869205241022774,0.9692771243157905,0.847597599029541,32,16,0.001,0.1,1e-06,2.0,128,0.08,0.5,0.005,0.85,1.0,0.5,0.2,0.5,0.05,periodic
stage1,1701,0,1.0522446159037644,1.0359214933681882,0.8917307257652283,500,4,0.0003,0.01,1e-05,2.0,64,0.08,0.5,0.005,0.85,0.5,0.5,0.2,0.8,0.05,electronic
stage1,1701,0,0.9528148499761385,0.9391990375788098,0.8638179898262024,64,4,0.003,0.1,1e-06,2.0,64,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.2,0.3,periodic_valence
stage1,1701,0,0.9989034405302363,0.9784668429247445,0.8650181889533997,250,16,0.003,0.1,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.5,0.2,0.8,0.15,local_environment
stage1,1701,0,1.0662696756381527,1.0454530983931793,0.9071951508522034,16,8,0.0003,0.01,1e-05,2.0,128,0.08,1.5,0.005,0.85,0.5,0.5,0.5,0.2,0.3,valence_electronic
stage1,1701,0,1.02047045720513,1.001560428505225,0.85920250415802,250,16,0.003,1.0,1e-06,2.0,128,0.15,1.5,0.0,0.85,0.5,0.5,0.2,0.5,0.05,comprehensive
stage1,1701,0,1.032339467494087,1.0168007955582121,0.8927093148231506,125,4,0.0003,0.1,1e-06,2.0,128,0.15,1.0,0.0,0.75,2.0,0.8,0.2,0.5,0.15,periodic_electronic
stage1,1701,0,1.0472056792722626,1.03064513927076,0.8929746747016907,125,4,0.0003,0.1,1e-06,0.5,128,0.25,0.5,0.01,0.6,1.0,0.2,0.8,0.8,0.05,valence_electronic
stage1,1701,0,1.032082116123285,1.0122235530107062,0.866024374961853,32,16,0.001,0.1,1e-06,0.5,64,0.25,1.5,0.01,0.75,0.5,0.8,0.8,0.8,0.15,valence
stage1,1701,0,0.9415421989133835,0.9249130622215982,0.8367939591407776,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
stage1,1701,0,0.9783082289558618,0.9653625713694607,0.8891159892082214,500,8,0.003,0.1,1e-06,1.0,64,0.25,0.5,0.005,0.6,1.0,0.8,0.8,0.8,0.3,comprehensive
stage1,1701,0,1.015611318744753,1.0054803988698813,0.9117316007614136,32,4,0.001,0.01,1e-06,2.0,64,0.4,1.5,0.005,0.75,1.0,0.2,0.2,0.5,0.05,ring_geometry
stage1,1701,0,0.9785545471785384,0.9598815015833753,0.8450388312339783,125,16,0.0003,1.0,1e-05,1.0,128,0.08,1.0,0.0,0.6,2.0,0.5,0.2,0.5,0.05,electronic
stage1,1701,0,0.9719388151776128,0.9515708809550512,0.852169930934906,64,16,0.003,0.1,0.0001,1.0,128,0.4,0.5,0.005,0.6,0.5,0.2,0.8,0.2,0.05,electronic
stage1,1701,0,1.040143923430614,1.020938307698277,0.8540513515472412,16,8,0.003,0.01,0.0001,1.0,64,0.25,0.5,0.0,0.75,1.0,0.8,0.2,0.5,0.05,valence_electronic
stage1,1701,0,0.9718528014142417,0.9579816453831473,0.852663516998291,250,8,0.0003,1.0,0.0001,2.0,128,0.25,0.5,0.0,0.85,0.5,0.5,0.8,0.5,0.3,valence
stage1,1701,0,0.9596466075082305,0.9433143759224519,0.8483552932739258,16,16,0.001,0.1,0.0001,0.5,128,0.08,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.05,electronic
stage1,1701,0,0.956067060624355,0.945637911835004,0.8688541650772095,125,4,0.001,0.1,0.0001,2.0,128,0.15,1.0,0.005,0.6,0.5,0.2,0.5,0.8,0.05,electronic_local
stage1,1701,0,1.0651125334315161,1.0506754423476794,0.9109307527542114,32,4,0.0003,1.0,0.0001,1.0,64,0.15,1.5,0.0,0.85,1.0,0.8,0.8,0.8,0.05,periodic
stage1,1701,0,1.0210632878351995,1.0021760976806253,0.8773208856582642,32,8,0.001,0.1,1e-05,2.0,64,0.15,1.5,0.005,0.85,0.5,0.2,0.2,0.2,0.15,valence_electronic
stage1,1701,0,0.9748677056725905,0.9623054695114168,0.876194953918457,16,8,0.003,0.01,1e-06,0.5,128,0.15,0.5,0.0,0.85,2.0,0.2,0.8,0.8,0.3,baseline
stage1,1701,0,1.0418171907754392,1.021938296722826,0.8786447048187256,125,8,0.001,0.01,1e-05,1.0,128,0.25,1.0,0.005,0.75,0.5,0.8,0.5,0.2,0.3,valence_electronic
stage1,1701,0,0.9843486716173078,0.9704152229369731,0.8795546293258667,16,4,0.0003,0.01,1e-05,0.5,64,0.08,1.5,0.005,0.75,0.5,0.2,0.8,0.8,0.05,electronic_local
stage1,1701,0,1.040320385767127,1.0168432634282443,0.8600739240646362,16,16,0.001,0.1,1e-06,0.5,64,0.4,1.5,0.01,0.85,1.0,0.8,0.8,0.5,0.05,periodic_electronic
stage1,1701,0,1.0750942332115223,1.056290278090264,0.8888737559318542,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment
stage1,1701,0,1.0736322792582365,1.050877557320241,0.8873589634895325,32,16,0.0003,0.01,1e-06,0.5,64,0.15,1.5,0.005,0.75,2.0,0.8,0.2,0.5,0.15,ring_geometry
stage1,1701,0,0.9250327026340825,0.9054414746111157,0.8100391030311584,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
stage1,1701,0,1.0083644844075064,0.9896361342279859,0.848850429058075,250,16,0.0003,0.01,1e-06,0.5,64,0.4,1.0,0.0,0.75,0.5,0.5,0.5,0.8,0.05,electronic
stage1,1701,0,0.9827597576765686,0.9670873474832266,0.8619168400764465,250,8,0.0003,1.0,0.0001,1.0,64,0.25,0.5,0.0,0.6,2.0,0.5,0.2,0.5,0.05,electronic_local
stage1,1701,0,0.9572356137456477,0.9399462119782364,0.839057207107544,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
stage1,1701,0,0.9872077424178245,0.9725567330379621,0.8707048892974854,16,4,0.003,0.1,1e-05,1.0,64,0.15,0.5,0.0,0.6,2.0,0.2,0.5,0.8,0.3,periodic_electronic
stage1,1701,0,0.9633209432586635,0.9464470994919011,0.843695878982544,125,8,0.003,1.0,1e-06,1.0,128,0.08,1.0,0.005,0.6,2.0,0.8,0.5,0.8,0.3,electronic_local
stage1,1701,0,0.9286497281789732,0.9131622406151131,0.8483232259750366,16,8,0.001,1.0,0.0001,1.0,128,0.08,0.5,0.0,0.6,2.0,0.8,0.5,0.5,0.3,electronic_local
stage1,1701,0,0.9359928761698931,0.9217088769698952,0.8319942355155945,32,16,0.0003,1.0,1e-05,1.0,64,0.4,0.5,0.0,0.85,1.0,0.5,0.8,0.5,0.3,electronic_local
stage1,1701,0,1.0480509663017812,1.025532721151989,0.8616974949836731,125,16,0.003,0.01,0.0001,2.0,128,0.4,1.0,0.005,0.6,1.0,0.2,0.5,0.5,0.3,valence
stage1,1701,0,0.9180006873672796,0.9030086344339466,0.8270512819290161,500,16,0.003,1.0,1e-05,0.5,64,0.15,1.0,0.0,0.75,2.0,0.2,0.5,0.5,0.3,periodic_valence
stage1,1701,0,0.9740306769534882,0.9563874339514665,0.856348991394043,125,16,0.003,1.0,1e-05,2.0,128,0.08,0.5,0.005,0.6,1.0,0.5,0.5,0.5,0.15,comprehensive
stage1,1701,0,0.9999455056974479,0.9819564871817172,0.8428092002868652,125,16,0.003,0.1,1e-05,1.0,64,0.08,0.5,0.005,0.85,1.0,0.2,0.8,0.8,0.15,periodic_valence
stage1,1701,0,1.0655346192550783,1.0452058868123655,0.8741308450698853,16,16,0.003,1.0,1e-05,1.0,128,0.25,0.5,0.01,0.85,2.0,0.5,0.2,0.2,0.15,baseline
stage1,1701,0,0.9858034174967613,0.9686339850448559,0.8603869080543518,500,8,0.003,1.0,0.0001,0.5,128,0.4,1.0,0.0,0.85,2.0,0.2,0.5,0.8,0.3,ring_geometry
stage1,1701,0,0.9226298404136737,0.9030144064983027,0.8137030601501465,16,16,0.0003,0.1,1e-06,1.0,128,0.4,0.5,0.005,0.6,2.0,0.2,0.8,0.2,0.05,electronic
stage1,1701,0,0.9994461199146927,0.9852464131572977,0.8827778697013855,125,4,0.001,0.01,1e-05,0.5,128,0.15,1.5,0.01,0.6,2.0,0.8,0.2,0.5,0.05,valence_electronic
stage1,1701,0,1.006886868652058,0.989758307955495,0.863272488117218,16,16,0.0003,1.0,1e-06,1.0,128,0.25,1.0,0.01,0.6,1.0,0.8,0.2,0.2,0.3,periodic_valence
stage1,1701,0,0.9971922109110913,0.9845880820490879,0.9024233818054199,16,4,0.001,0.1,1e-06,2.0,64,0.4,1.5,0.005,0.75,1.0,0.5,0.2,0.5,0.05,ring_geometry
stage1,1701,0,1.0268266204687135,1.011889740579509,0.8890020251274109,16,4,0.0003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.2,0.5,0.2,0.3,periodic_electronic
stage2,1701,0,0.8665940560163946,0.8625698213793548,0.8031466007232666,500,16,0.003,1.0,1e-05,0.5,64,0.15,1.0,0.0,0.75,2.0,0.2,0.5,0.5,0.3,periodic_valence
stage2,1701,1,0.898298087213895,0.8952100888521526,0.8803762197494507,500,16,0.003,1.0,1e-05,0.5,64,0.15,1.0,0.0,0.75,2.0,0.2,0.5,0.5,0.3,periodic_valence
stage2,1701,2,0.853326108019457,0.8487255714220008,0.8692403435707092,500,16,0.003,1.0,1e-05,0.5,64,0.15,1.0,0.0,0.75,2.0,0.2,0.5,0.5,0.3,periodic_valence
stage2,1701,0,0.8752754692267872,0.8703569605617107,0.8112760782241821,16,16,0.0003,0.1,1e-06,1.0,128,0.4,0.5,0.005,0.6,2.0,0.2,0.8,0.2,0.05,electronic
stage2,1701,1,0.8952780573260861,0.8911290433177079,0.8767967224121094,16,16,0.0003,0.1,1e-06,1.0,128,0.4,0.5,0.005,0.6,2.0,0.2,0.8,0.2,0.05,electronic
stage2,1701,2,0.85351468703583,0.8485342855201508,0.8722034096717834,16,16,0.0003,0.1,1e-06,1.0,128,0.4,0.5,0.005,0.6,2.0,0.2,0.8,0.2,0.05,electronic
stage2,1701,0,0.872567472271977,0.8687588365422605,0.8111467957496643,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
stage2,1701,1,0.8638030217900782,0.8603873975679281,0.8680480122566223,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
stage2,1701,2,0.8579285005644696,0.8518816572332892,0.8545762300491333,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
stage2,1701,0,0.8752842782222271,0.8708539322413009,0.8206363320350647,16,8,0.001,1.0,0.0001,1.0,128,0.08,0.5,0.0,0.6,2.0,0.8,0.5,0.5,0.3,electronic_local
stage2,1701,1,0.8930637292986372,0.8898315941522945,0.8747605681419373,16,8,0.001,1.0,0.0001,1.0,128,0.08,0.5,0.0,0.6,2.0,0.8,0.5,0.5,0.3,electronic_local
stage2,1701,2,0.8719680923922216,0.8677722052124434,0.881676971912384,16,8,0.001,1.0,0.0001,1.0,128,0.08,0.5,0.0,0.6,2.0,0.8,0.5,0.5,0.3,electronic_local
stage2,1701,0,0.8846002864660859,0.880832034551503,0.8173524737358093,32,16,0.0003,1.0,1e-05,1.0,64,0.4,0.5,0.0,0.85,1.0,0.5,0.8,0.5,0.3,electronic_local
stage2,1701,1,0.9137517532013699,0.9098297827493367,0.8822440505027771,32,16,0.0003,1.0,1e-05,1.0,64,0.4,0.5,0.0,0.85,1.0,0.5,0.8,0.5,0.3,electronic_local
stage2,1701,2,0.8720646695612779,0.8663424851995956,0.863699197769165,32,16,0.0003,1.0,1e-05,1.0,64,0.4,0.5,0.0,0.85,1.0,0.5,0.8,0.5,0.3,electronic_local
stage2,1701,0,0.8854350464270492,0.880735284398849,0.8101568818092346,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
stage2,1701,1,0.8721862498691695,0.8688801365617955,0.8742737174034119,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
stage2,1701,2,0.83262833146581,0.8276423102343995,0.8533332943916321,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
stage2,1701,0,0.9146665772570863,0.9112180555460967,0.8476864099502563,64,4,0.003,0.1,1e-06,2.0,64,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.2,0.3,periodic_valence
stage2,1701,1,0.9027751553277115,0.8995030979663974,0.8986675143241882,64,4,0.003,0.1,1e-06,2.0,64,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.2,0.3,periodic_valence
stage2,1701,2,0.8792703100128942,0.8747109925793368,0.8864330053329468,64,4,0.003,0.1,1e-06,2.0,64,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.2,0.3,periodic_valence
stage2,1701,0,0.8531200094723106,0.848102850137257,0.7848677039146423,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
stage2,1701,1,0.8628170864765194,0.8590420476775684,0.8591338992118835,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
stage2,1701,2,0.816285614386032,0.8102545168235975,0.8348188400268555,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,1701,0,0.8349544232258768,0.8323323778172694,0.7759037017822266,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,1701,1,0.8780285958361059,0.8760103901726993,0.8768361210823059,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,1701,2,0.8291785707715004,0.8260767918425868,0.8243899345397949,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,1701,3,0.893249421849873,0.889335073203241,0.884906530380249,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,1701,4,0.8720155428770296,0.8688288704680811,0.8705137968063354,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,2909,0,0.8275489411212162,0.8239335915866512,0.7735849618911743,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,2909,1,0.8809832339618741,0.8780942004170365,0.8705957531929016,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,2909,2,0.8042984332387968,0.8005817730334398,0.8150140047073364,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,2909,3,0.8573507806785496,0.8541401578104366,0.867143988609314,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,2909,4,0.8777308291776549,0.8735239991293982,0.861630380153656,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,4211,0,0.8140576856385804,0.8113757947221605,0.7633205652236938,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,4211,1,0.875604826318071,0.87336081882283,0.8753945231437683,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,4211,2,0.8132883636646364,0.8097931691397356,0.8339496850967407,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,4211,3,0.8780911299797025,0.8744307228962132,0.8698214888572693,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,4211,4,0.8638499772520631,0.8586397054384739,0.8627948760986328,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,1701,0,0.8395294387684455,0.8372986705417125,0.7834098935127258,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
confirmation,1701,1,0.8729639513523555,0.8708329287909069,0.8634594678878784,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
confirmation,1701,2,0.8200989729102762,0.8177317055740612,0.8318818807601929,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
confirmation,1701,3,0.8975500170983242,0.8947381454751946,0.8835564255714417,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
confirmation,1701,4,0.8809385410701333,0.8784979495498049,0.8796947002410889,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
confirmation,2909,0,0.8473332879344408,0.8435100546492768,0.776798665523529,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
confirmation,2909,1,0.8697754868161514,0.8675827291215055,0.8679534196853638,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
confirmation,2909,2,0.8250759044874804,0.8213812047553629,0.8341625928878784,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
confirmation,2909,3,0.9052398068286559,0.9009721991244324,0.8842007517814636,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
confirmation,2909,4,0.9043370352955378,0.900415166840467,0.8920214176177979,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
confirmation,4211,0,0.8429096968510132,0.839882484975242,0.7849075198173523,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
confirmation,4211,1,0.8749373897048761,0.8724563698136065,0.8680341839790344,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
confirmation,4211,2,0.8276468830224769,0.8232298865357505,0.8253284692764282,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
confirmation,4211,3,0.8900805542980318,0.8852159427737506,0.8753336071968079,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
confirmation,4211,4,0.8794106225538381,0.8743378589741654,0.878924548625946,64,16,0.003,0.1,1e-05,1.0,128,0.15,0.5,0.01,0.6,0.5,0.2,0.8,0.5,0.05,local_environment
