stage,seed,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules
stage1,1701,1.02561616897583,64,8,0.001,0.1,1e-05,1.0,64
stage1,1701,1.0093879699707031,16,4,0.001,1.0,1e-06,2.0,64
stage1,1701,0.9866194725036621,64,16,0.0003,0.1,0.0001,2.0,128
stage1,1701,1.0252385139465332,500,8,0.001,0.01,0.0001,2.0,128
stage1,1701,1.0394552946090698,250,8,0.003,0.1,1e-05,0.5,64
stage1,1701,1.0254989862442017,500,8,0.003,0.01,0.0001,0.5,128
stage1,1701,1.0039352178573608,32,4,0.0003,0.1,1e-05,1.0,128
stage1,1701,1.0032849311828613,64,8,0.003,0.1,1e-06,0.5,128
stage1,1701,1.042449951171875,125,8,0.0003,0.01,0.0001,1.0,64
stage1,1701,1.0172759294509888,32,16,0.003,0.01,1e-06,2.0,64
stage1,1701,1.009363055229187,16,4,0.001,1.0,1e-05,2.0,64
stage1,1701,1.0229296684265137,64,8,0.0003,0.01,0.0001,0.5,64
stage1,1701,1.0103974342346191,125,16,0.001,0.1,1e-05,2.0,64
stage1,1701,1.0032585859298706,32,8,0.0003,0.1,1e-06,2.0,64
stage1,1701,1.0004276037216187,125,16,0.003,0.01,1e-06,2.0,64
stage1,1701,1.0294547080993652,500,8,0.003,0.1,1e-05,0.5,64
stage1,1701,1.0262418985366821,125,4,0.0003,1.0,1e-05,0.5,128
stage1,1701,0.9947379231452942,16,4,0.0003,0.01,1e-05,2.0,128
stage1,1701,0.9924011826515198,32,16,0.0003,1.0,1e-06,1.0,64
stage1,1701,1.026497721672058,64,8,0.0003,1.0,1e-06,1.0,64
stage1,1701,0.9952163100242615,32,8,0.001,0.01,1e-05,1.0,128
stage1,1701,1.0331815481185913,250,4,0.0003,0.1,1e-06,0.5,64
stage1,1701,1.0240660905838013,16,16,0.001,0.1,1e-06,1.0,64
stage1,1701,1.016279935836792,125,4,0.0003,0.01,0.0001,0.5,128
stage1,1701,1.0491106510162354,125,8,0.001,0.1,0.0001,1.0,128
stage1,1701,1.0051333904266357,125,16,0.001,0.01,0.0001,0.5,64
stage1,1701,0.9482496976852417,500,16,0.003,1.0,1e-05,1.0,128
stage1,1701,1.0402644872665405,250,4,0.0003,1.0,1e-06,2.0,128
stage1,1701,1.0008792877197266,64,4,0.001,0.1,1e-05,2.0,128
stage1,1701,0.9867462515830994,16,8,0.001,0.01,1e-05,1.0,128
stage1,1701,1.037696361541748,125,8,0.001,1.0,1e-05,1.0,64
stage1,1701,1.019866704940796,125,4,0.001,1.0,1e-05,1.0,64
stage2,1701,0.8996980786323547,500,16,0.003,1.0,1e-05,1.0,128
stage2,1701,0.922203004360199,64,16,0.0003,0.1,0.0001,2.0,128
stage2,1701,0.9175514578819275,16,8,0.001,0.01,1e-05,1.0,128
stage2,1701,0.9253625869750977,32,16,0.0003,1.0,1e-06,1.0,64
stage2,1701,0.9764646887779236,16,4,0.0003,0.01,1e-05,2.0,128
stage2,1701,0.9257639050483704,32,8,0.001,0.01,1e-05,1.0,128
stage2,1701,0.9034476280212402,125,16,0.003,0.01,1e-06,2.0,64
stage2,1701,0.9493664503097534,64,4,0.001,0.1,1e-05,2.0,128
confirmation,1701,0.8800702095031738,500,16,0.003,1.0,1e-05,1.0,128
confirmation,2909,0.8872910141944885,500,16,0.003,1.0,1e-05,1.0,128
confirmation,4211,0.8772557973861694,500,16,0.003,1.0,1e-05,1.0,128
confirmation,1701,0.8995852470397949,125,16,0.003,0.01,1e-06,2.0,64
confirmation,2909,0.9027481079101562,125,16,0.003,0.01,1e-06,2.0,64
confirmation,4211,0.881852924823761,125,16,0.003,0.01,1e-06,2.0,64
confirmation,1701,0.9120122790336609,16,8,0.001,0.01,1e-05,1.0,128
confirmation,2909,0.9054478406906128,16,8,0.001,0.01,1e-05,1.0,128
confirmation,4211,0.9187049865722656,16,8,0.001,0.01,1e-05,1.0,128
