stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile
stage1,1701,0,0.9731477989212717,0.9582259066039114,0.867099404335022,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline
stage1,1701,0,0.9968518976921952,0.9823790592843028,0.8767731785774231,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline
stage1,1701,0,0.9553826182995199,0.9395733185130488,0.8525933027267456,500,8,0.001,0.1,1e-05,2.0,64,0.4,0.5,0.0,0.85,2.0,0.2,0.5,0.8,0.3,valence_electronic
stage1,1701,0,1.0418816903131143,1.0239369505172753,0.8762123584747314,250,16,0.001,0.1,1e-06,2.0,128,0.25,1.5,0.005,0.6,1.0,0.5,0.2,0.8,0.15,ring_geometry
stage1,1701,0,1.0343726466923016,1.0180960662797542,0.8881826400756836,125,4,0.0003,0.1,1e-05,1.0,128,0.25,0.5,0.005,0.75,1.0,0.2,0.5,0.2,0.15,valence_electronic
stage1,1701,0,1.1568314164149807,1.137198705059529,0.9596819877624512,16,16,0.0003,0.1,1e-05,1.0,64,0.08,1.5,0.005,0.75,1.0,0.2,0.2,0.2,0.05,valence_electronic
stage1,1701,0,1.0002508055809682,0.9888385373523753,0.8979889750480652,16,4,0.0003,0.1,1e-05,2.0,64,0.08,1.0,0.01,0.85,0.5,0.8,0.2,0.8,0.15,ring_geometry
stage1,1701,0,1.0044748660038967,0.9842285058161196,0.8379020690917969,32,16,0.0003,1.0,0.0001,0.5,64,0.08,0.5,0.0,0.75,0.5,0.5,0.8,0.8,0.05,electronic_local
stage1,1701,0,0.9683297603341052,0.9515521253845666,0.8559101223945618,64,8,0.001,1.0,1e-05,1.0,64,0.4,1.5,0.005,0.6,1.0,0.8,0.8,0.8,0.05,electronic_local
stage1,1701,0,1.001263805492885,0.9868731447726998,0.8819227814674377,125,4,0.001,1.0,1e-06,0.5,64,0.15,1.5,0.0,0.85,1.0,0.2,0.8,0.2,0.15,periodic_electronic
stage1,1701,0,0.9695737953545438,0.9554708836960488,0.8812194466590881,125,4,0.001,1.0,1e-05,2.0,128,0.08,1.0,0.01,0.6,1.0,0.8,0.2,0.2,0.15,local_environment
stage1,1701,0,0.985699034164058,0.9681030848684246,0.8475554585456848,32,16,0.001,0.1,1e-06,2.0,128,0.08,0.5,0.005,0.85,1.0,0.5,0.2,0.5,0.05,periodic
stage1,1701,0,1.0520033613272843,1.035689013742773,0.8916639685630798,500,4,0.0003,0.01,1e-05,2.0,64,0.08,0.5,0.005,0.85,0.5,0.5,0.2,0.8,0.05,electronic
stage1,1701,0,0.9536460159363771,0.9399954850405947,0.8640932440757751,64,4,0.003,0.1,1e-06,2.0,64,0.25,1.5,0.005,0.75,1.0,0.2,0.8,0.2,0.3,periodic_valence
stage1,1701,0,0.9925883829218679,0.9726402597891821,0.8599748611450195,250,16,0.003,0.1,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.5,0.2,0.8,0.15,local_environment
stage1,1701,0,1.0661753331785475,1.0453096717791968,0.9069858193397522,16,8,0.0003,0.01,1e-05,2.0,128,0.08,1.5,0.005,0.85,0.5,0.5,0.5,0.2,0.3,valence_electronic
stage1,1701,0,1.021565845097797,1.00263632624224,0.8597694635391235,250,16,0.003,1.0,1e-06,2.0,128,0.15,1.5,0.0,0.85,0.5,0.5,0.2,0.5,0.05,comprehensive
stage1,1701,0,1.0322716589790808,1.0167420418847966,0.8926931023597717,125,4,0.0003,0.1,1e-06,2.0,128,0.15,1.0,0.0,0.75,2.0,0.8,0.2,0.5,0.15,periodic_electronic
stage1,1701,0,1.0471797464344978,1.030622685998529,0.8929744958877563,125,4,0.0003,0.1,1e-06,0.5,128,0.25,0.5,0.01,0.6,1.0,0.2,0.8,0.8,0.05,valence_electronic
stage1,1701,0,1.0323711602655494,1.0125623745278622,0.8662207722663879,32,16,0.001,0.1,1e-06,0.5,64,0.25,1.5,0.01,0.75,0.5,0.8,0.8,0.8,0.15,valence
