stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,loss_mode,interval_loss_beta,interval_temperature
stage1,1701,0,0.9728891482493862,0.9579832924217229,0.8673110604286194,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
stage1,1701,0,0.9979623876771286,0.9834380222175643,0.8766770958900452,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline,hybrid_interval,0.75,0.05
stage1,1701,0,0.9423915599318348,0.927583388692625,0.8372275233268738,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
stage1,1701,0,0.9919489868260899,0.9775899824102147,0.865288496017456,125,4,0.003,0.1,1e-05,2.0,128,0.08,1.0,0.005,0.6,2.0,0.5,0.8,0.5,0.15,electronic,mse,0.0,0.05
stage1,1701,0,0.9563418138130017,0.9394498120851371,0.8497937321662903,64,8,0.003,0.1,1e-05,0.5,128,0.4,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.3,electronic,hybrid_interval,0.75,0.05
stage1,1701,0,0.9833338946517185,0.9629365696458442,0.8447183966636658,64,16,0.0003,0.01,0.0001,1.0,128,0.25,0.5,0.0,0.6,0.5,0.5,0.2,0.2,0.05,periodic_electronic,hybrid_interval,0.5,0.1
stage1,1701,0,1.0529688640630672,1.0311964978578048,0.8601065278053284,32,16,0.0003,0.1,0.0001,2.0,64,0.15,1.5,0.005,0.75,0.5,0.8,0.2,0.8,0.3,baseline,hybrid_interval,1.0,0.02
stage1,1701,0,0.9959302084971113,0.9783940015509568,0.8640028238296509,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,hybrid_interval,0.5,0.02
stage1,1701,0,0.9877593822253998,0.9702165577589138,0.8502250909805298,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
stage1,1701,0,0.9308639078951819,0.9155813983660864,0.8354339003562927,16,8,0.001,0.1,1e-06,1.0,128,0.4,0.5,0.005,0.85,0.5,0.5,0.8,0.2,0.05,periodic_electronic,hybrid_interval,1.0,0.02
stage1,1701,0,1.0461156497209467,1.0272191833468527,0.8658188581466675,500,8,0.001,0.01,0.0001,1.0,64,0.15,1.0,0.01,0.75,1.0,0.2,0.5,0.2,0.05,periodic,mse,0.0,0.02
stage1,1701,0,1.0581986055390153,1.0383436822934782,0.8775743842124939,64,16,0.003,0.01,0.0001,0.5,64,0.25,1.5,0.0,0.75,0.5,0.8,0.2,0.2,0.15,baseline,hybrid_interval,0.5,0.02
stage1,1701,0,0.935594747344018,0.9248081298335316,0.8634085059165955,500,4,0.001,1.0,1e-05,1.0,128,0.08,1.5,0.0,0.85,1.0,0.8,0.8,0.8,0.15,electronic_local,mse,0.0,0.05
stage1,1701,0,1.0575693501889452,1.0381711722618656,0.8806687593460083,16,8,0.003,0.01,1e-06,1.0,64,0.25,1.5,0.01,0.6,1.0,0.2,0.2,0.5,0.3,valence_electronic,mse,0.0,0.1
stage1,1701,0,1.1743064844757305,1.1521291253315002,0.916832685470581,64,16,0.0003,0.1,1e-05,0.5,128,0.08,1.5,0.005,0.6,2.0,0.2,0.8,0.2,0.15,valence,hybrid_interval,0.75,0.02
stage1,1701,0,1.0364681191942082,1.0192871060000126,0.8832858800888062,500,8,0.0003,0.01,1e-05,0.5,128,0.15,1.0,0.0,0.75,2.0,0.8,0.2,0.5,0.15,periodic_electronic,hybrid_interval,0.75,0.02
stage1,1701,0,0.9770448339063534,0.96240900027262,0.882801353931427,32,8,0.0003,0.01,1e-05,1.0,64,0.08,1.0,0.0,0.85,2.0,0.2,0.5,0.2,0.3,ring_geometry,hybrid_interval,0.75,0.02
