stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,trajectory_pooling,ridge_mode
stage1,1701,0,0.9720594900349463,0.9581066517036341,0.8707376718521118,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,multiscale,shared
stage1,1701,0,0.984376438912514,0.9689874733994905,0.8781545758247375,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline,multiscale,per_endpoint
stage1,1701,0,0.9538792472415693,0.936460767276988,0.8353097438812256,125,8,0.001,1.0,1e-06,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,multiscale,per_endpoint
stage1,1701,0,0.9897273019413251,0.9746543676008992,0.8560635447502136,125,4,0.003,0.1,1e-05,2.0,128,0.08,1.0,0.005,0.6,2.0,0.5,0.8,0.5,0.15,electronic,multiscale,shared
stage1,1701,0,0.9458741182175864,0.9302081105785764,0.837167501449585,125,8,0.001,1.0,1e-05,1.0,64,0.4,1.0,0.005,0.6,1.0,0.2,0.5,0.5,0.05,local_environment,multiscale,shared
stage1,1701,0,0.9674809632794166,0.9484437986717507,0.8381762504577637,125,8,0.001,1.0,1e-06,0.5,128,0.25,1.0,0.0,0.6,0.5,0.2,0.5,0.2,0.05,electronic,multiscale,per_endpoint
stage1,1701,0,0.9875231015138721,0.9683414914058731,0.8380733132362366,64,16,0.0003,1.0,1e-06,1.0,64,0.15,1.5,0.005,0.75,0.5,0.8,0.2,0.8,0.3,baseline,multiscale,shared
stage1,1701,0,0.9263744912496661,0.9100264722689515,0.8178980350494385,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,multiscale,per_endpoint
stage1,1701,0,0.94680951783251,0.932400030088938,0.8638767600059509,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
stage1,1701,0,0.9959809341300094,0.980614145967886,0.8547216653823853,250,4,0.001,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.8,0.2,0.5,0.3,periodic,multiscale,shared
stage1,1701,0,1.016281679000622,0.9951087315992593,0.8542023301124573,125,16,0.0003,1.0,1e-05,1.0,64,0.25,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.15,valence,multiscale,shared
stage1,1701,0,1.0123993062244285,0.9950160915443862,0.87486732006073,500,4,0.0003,0.01,1e-05,2.0,64,0.08,0.5,0.005,0.85,0.5,0.5,0.2,0.8,0.05,electronic,multiscale,per_endpoint
stage1,1701,0,1.852123595307173,1.8159015695564806,1.4670854806900024,16,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.005,0.6,2.0,0.2,0.8,0.5,0.3,comprehensive,multiscale,per_endpoint
stage1,1701,0,0.959477400295322,0.9488538443826725,0.8756692409515381,250,4,0.001,0.01,1e-05,2.0,64,0.08,1.0,0.0,0.85,1.0,0.8,0.8,0.2,0.15,valence,multiscale,shared
stage1,1701,0,2.974364490689216,2.915453635961789,2.684722423553467,64,16,0.001,0.01,0.0001,1.0,64,0.4,1.0,0.0,0.85,1.0,0.8,0.8,0.8,0.3,baseline,multiscale,per_endpoint
stage1,1701,0,0.962230761151414,0.9469349736973708,0.84718918800354,32,16,0.0003,1.0,1e-06,1.0,64,0.4,0.5,0.01,0.75,0.5,0.2,0.5,0.2,0.3,ring_geometry,multiscale,shared
stage1,1701,0,0.9758150622685167,0.9651499799386627,0.8868758082389832,125,4,0.001,1.0,0.0001,0.5,128,0.25,1.0,0.005,0.6,0.5,0.5,0.2,0.2,0.15,ring_geometry,multiscale,shared
stage1,1701,0,1.059727359923433,1.0429370185794047,0.9041270613670349,500,4,0.001,0.01,0.0001,2.0,64,0.4,0.5,0.01,0.75,1.0,0.2,0.2,0.2,0.3,ring_geometry,multiscale,per_endpoint
stage1,1701,0,1.0567131232354885,1.0338542268205824,0.8825482130050659,32,16,0.003,1.0,1e-05,0.5,128,0.25,1.0,0.005,0.75,0.5,0.2,0.8,0.2,0.05,baseline,multiscale,per_endpoint
stage1,1701,0,1.0600894569703094,1.0431074641233786,0.9032567143440247,32,16,0.003,0.1,0.0001,1.0,64,0.25,0.5,0.01,0.85,1.0,0.2,0.5,0.2,0.15,electronic_local,multiscale,shared
stage1,1701,0,1.0651406481963974,1.04571954848034,0.8569316864013672,32,8,0.0003,0.01,0.0001,2.0,64,0.4,1.5,0.005,0.75,1.0,0.2,0.2,0.5,0.05,ring_geometry,multiscale,per_endpoint
stage1,1701,0,0.9565240451406368,0.9398219722931209,0.8386445641517639,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
stage1,1701,0,0.9325616774853186,0.9183203786439237,0.8240043520927429,500,8,0.001,1.0,1e-05,0.5,128,0.08,0.5,0.0,0.85,0.5,0.2,0.2,0.2,0.15,local_environment,multiscale,shared
stage1,1701,0,1.1358257431712966,1.1156392452935673,0.9505969285964966,250,8,0.0003,0.1,1e-06,0.5,128,0.4,1.5,0.0,0.75,0.5,0.5,0.8,0.5,0.05,comprehensive,multiscale,per_endpoint
stage1,1701,0,0.9368002673515703,0.9230607637367493,0.8588382005691528,64,4,0.0003,1.0,1e-06,1.0,128,0.15,0.5,0.01,0.75,1.0,0.8,0.2,0.5,0.3,baseline,multiscale,per_endpoint
stage1,1701,0,1.1504093776076503,1.1269814303806507,0.9591895341873169,32,8,0.0003,0.1,1e-05,0.5,64,0.15,1.0,0.0,0.75,1.0,0.8,0.8,0.5,0.05,ring_geometry,multiscale,per_endpoint
stage1,1701,0,0.9747771800615102,0.96403839769296,0.8843686580657959,16,4,0.0003,0.1,0.0001,0.5,64,0.08,0.5,0.01,0.85,1.0,0.2,0.2,0.8,0.05,ring_geometry,multiscale,shared
stage1,1701,0,0.9746530385422223,0.9605637933710794,0.8777976632118225,16,4,0.001,0.1,1e-05,1.0,64,0.15,1.5,0.005,0.85,0.5,0.2,0.2,0.2,0.15,valence_electronic,multiscale,shared
stage1,1701,0,1.4784094769235714,1.44997433254792,1.11464262008667,125,16,0.0003,0.01,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.8,0.8,0.3,baseline,multiscale,per_endpoint
stage1,1701,0,1.0284469100090132,1.009247054835191,0.8576568961143494,125,8,0.0003,0.1,1e-05,1.0,128,0.25,1.0,0.005,0.6,2.0,0.5,0.2,0.8,0.15,periodic,multiscale,shared
stage1,1701,0,0.9797269662041015,0.9651129626945714,0.8717963099479675,16,4,0.001,0.01,0.0001,2.0,64,0.08,1.5,0.005,0.75,0.5,0.2,0.8,0.8,0.05,electronic_local,multiscale,shared
stage1,1701,0,0.946081001386704,0.9273849932234154,0.8420872092247009,500,8,0.001,0.01,1e-06,0.5,128,0.4,1.5,0.01,0.75,0.5,0.5,0.2,0.8,0.3,electronic_local,multiscale,shared
stage1,1701,0,1.0183721264541121,0.9987059338187768,0.8622382879257202,64,16,0.003,1.0,1e-06,1.0,64,0.08,1.0,0.005,0.6,0.5,0.5,0.8,0.8,0.05,local_environment,multiscale,shared
stage1,1701,0,1.0141392356878178,0.9982019562900543,0.8731263279914856,32,4,0.0003,0.01,0.0001,2.0,64,0.25,1.0,0.01,0.85,0.5,0.5,0.5,0.8,0.15,valence_electronic,multiscale,shared
stage1,1701,0,0.9871514878790943,0.9685770543243439,0.8538718223571777,125,8,0.001,0.01,1e-06,1.0,128,0.25,0.5,0.01,0.75,2.0,0.8,0.2,0.2,0.05,periodic,multiscale,shared
stage1,1701,0,0.9778560515645364,0.9628985724872887,0.8666640520095825,250,8,0.001,0.01,1e-05,0.5,128,0.4,1.5,0.0,0.6,2.0,0.5,0.2,0.8,0.3,periodic_electronic,multiscale,shared
stage1,1701,0,1.7242907993689387,1.6985629865467184,1.5105400085449219,250,16,0.001,0.01,1e-06,0.5,128,0.15,1.0,0.0,0.85,2.0,0.5,0.8,0.8,0.05,periodic,multiscale,per_endpoint
stage1,1701,0,0.9864773415668138,0.9703921754310617,0.8899801969528198,250,4,0.001,0.1,0.0001,0.5,128,0.08,1.0,0.005,0.85,2.0,0.8,0.2,0.8,0.3,valence,multiscale,per_endpoint
stage1,1701,0,1.1850023808412593,1.161565518274504,1.008601188659668,16,16,0.003,0.1,1e-06,1.0,128,0.25,1.5,0.005,0.6,2.0,0.8,0.8,0.8,0.3,electronic_local,multiscale,per_endpoint
stage1,1701,0,1.6117297913026427,1.577423522119256,1.2442585229873657,16,16,0.003,0.01,0.0001,2.0,128,0.15,0.5,0.0,0.75,0.5,0.2,0.5,0.8,0.3,local_environment,multiscale,per_endpoint
stage1,1701,0,0.963750234961385,0.9519119000328107,0.8593809604644775,125,4,0.0003,0.1,1e-05,0.5,64,0.4,1.5,0.005,0.6,1.0,0.2,0.2,0.2,0.05,local_environment,multiscale,shared
stage1,1701,0,0.9750512756823388,0.9597150524594313,0.8678591847419739,32,4,0.003,1.0,1e-06,2.0,128,0.08,0.5,0.005,0.75,0.5,0.5,0.2,0.2,0.3,local_environment,multiscale,shared
stage1,1701,0,0.9832335104255603,0.96620484579321,0.8480879664421082,32,16,0.0003,1.0,1e-05,0.5,64,0.4,1.0,0.005,0.85,0.5,0.5,0.8,0.5,0.15,local_environment,multiscale,shared
stage1,1701,0,1.0039195381935686,0.9864507222014117,0.8461833596229553,16,4,0.001,0.01,1e-06,0.5,64,0.4,0.5,0.01,0.85,0.5,0.2,0.2,0.8,0.3,baseline,multiscale,shared
stage1,1701,0,0.9622491804925073,0.9442574790423299,0.8322086334228516,64,8,0.001,0.1,1e-06,1.0,128,0.25,1.5,0.0,0.85,0.5,0.2,0.2,0.8,0.15,periodic_electronic,multiscale,shared
stage1,1701,0,1.02655605411204,1.008431324603353,0.865512490272522,16,4,0.0003,0.01,1e-05,1.0,128,0.25,0.5,0.0,0.85,0.5,0.2,0.2,0.2,0.15,baseline,multiscale,shared
stage1,1701,0,1.0587669622742975,1.040072638081795,0.8901548385620117,32,16,0.0003,0.1,1e-06,1.0,64,0.4,1.5,0.01,0.85,2.0,0.2,0.2,0.8,0.15,local_environment,multiscale,shared
stage1,1701,0,1.0485310534547962,1.0328450694840874,0.8950138092041016,16,4,0.003,1.0,1e-05,2.0,128,0.25,0.5,0.0,0.6,0.5,0.5,0.5,0.2,0.05,valence_electronic,multiscale,shared
stage1,1701,0,1.0000443656757487,0.9825171536938226,0.8641180396080017,500,4,0.001,1.0,1e-06,1.0,64,0.4,0.5,0.005,0.6,1.0,0.5,0.2,0.2,0.05,periodic,multiscale,per_endpoint
stage1,1701,0,1.0577978911220396,1.0374268000412807,0.8796259760856628,250,8,0.003,1.0,1e-06,2.0,128,0.25,1.0,0.01,0.85,1.0,0.5,0.2,0.2,0.05,periodic_electronic,multiscale,per_endpoint
stage1,1701,0,0.9794846027317717,0.9646262970016632,0.8588588237762451,125,8,0.001,1.0,1e-05,1.0,128,0.15,1.0,0.01,0.6,1.0,0.2,0.2,0.8,0.3,ring_geometry,multiscale,shared
stage1,1701,0,0.9795360620179528,0.9660482562239179,0.8697503805160522,16,4,0.0003,1.0,1e-06,1.0,128,0.15,0.5,0.01,0.75,1.0,0.8,0.8,0.2,0.15,periodic_electronic,multiscale,shared
stage1,1701,0,1.0149184974296384,0.993899020774902,0.8665261268615723,125,4,0.003,0.01,1e-05,0.5,128,0.08,1.5,0.005,0.6,0.5,0.5,0.8,0.5,0.3,valence_electronic,multiscale,per_endpoint
stage1,1701,0,1.0109228672128054,0.9924674336524923,0.8647659420967102,32,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.005,0.6,0.5,0.5,0.8,0.5,0.3,valence_electronic,multiscale,shared
stage1,1701,0,1.0190873296982845,1.0019664875195975,0.8656017780303955,32,4,0.001,0.01,0.0001,0.5,64,0.25,0.5,0.005,0.75,2.0,0.8,0.2,0.5,0.15,periodic,multiscale,per_endpoint
stage1,1701,0,1.0381066538530663,1.0230597084880415,0.8845977783203125,125,4,0.003,0.01,0.0001,2.0,128,0.4,1.5,0.0,0.6,1.0,0.8,0.2,0.8,0.05,comprehensive,multiscale,per_endpoint
stage2,1701,0,0.8578203000143857,0.85379383085236,0.8145574927330017,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,multiscale,per_endpoint
stage2,1701,1,0.913363573362585,0.9092061978172458,0.899380087852478,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,multiscale,per_endpoint
stage2,1701,2,0.9000747797706073,0.8948080781878288,0.8923576474189758,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,multiscale,per_endpoint
stage2,1701,0,0.8674674218494369,0.8630373257075248,0.8127156496047974,500,8,0.001,1.0,1e-05,0.5,128,0.08,0.5,0.0,0.85,0.5,0.2,0.2,0.2,0.15,local_environment,multiscale,shared
stage2,1701,1,0.8952739294434093,0.8924166723660428,0.8833526968955994,500,8,0.001,1.0,1e-05,0.5,128,0.08,0.5,0.0,0.85,0.5,0.2,0.2,0.2,0.15,local_environment,multiscale,shared
stage2,1701,2,0.873119342440489,0.8685235453292303,0.8850030899047852,500,8,0.001,1.0,1e-05,0.5,128,0.08,0.5,0.0,0.85,0.5,0.2,0.2,0.2,0.15,local_environment,multiscale,shared
stage2,1701,0,0.873089343983782,0.8694529205921665,0.8175287246704102,64,4,0.0003,1.0,1e-06,1.0,128,0.15,0.5,0.01,0.75,1.0,0.8,0.2,0.5,0.3,baseline,multiscale,per_endpoint
stage2,1701,1,0.9108241226318242,0.9073711451397785,0.8936251997947693,64,4,0.0003,1.0,1e-06,1.0,128,0.15,0.5,0.01,0.75,1.0,0.8,0.2,0.5,0.3,baseline,multiscale,per_endpoint
stage2,1701,2,0.8672234964004263,0.8633241404537766,0.868476152420044,64,4,0.0003,1.0,1e-06,1.0,128,0.15,0.5,0.01,0.75,1.0,0.8,0.2,0.5,0.3,baseline,multiscale,per_endpoint
stage2,1701,0,0.8782713792614538,0.8748504829916927,0.8315960168838501,500,8,0.001,0.01,1e-06,0.5,128,0.4,1.5,0.01,0.75,0.5,0.5,0.2,0.8,0.3,electronic_local,multiscale,shared
stage2,1701,1,0.9349999823474225,0.9318073744394907,0.9059028625488281,500,8,0.001,0.01,1e-06,0.5,128,0.4,1.5,0.01,0.75,0.5,0.5,0.2,0.8,0.3,electronic_local,multiscale,shared
stage2,1701,2,0.9064120186613391,0.9006071463058849,0.8897753357887268,500,8,0.001,0.01,1e-06,0.5,128,0.4,1.5,0.01,0.75,0.5,0.5,0.2,0.8,0.3,electronic_local,multiscale,shared
stage2,1701,0,0.8801143965963354,0.8762596606700142,0.8207826614379883,125,8,0.001,1.0,1e-05,1.0,64,0.4,1.0,0.005,0.6,1.0,0.2,0.5,0.5,0.05,local_environment,multiscale,shared
stage2,1701,1,0.9147662981077944,0.9108556820861528,0.8866106867790222,125,8,0.001,1.0,1e-05,1.0,64,0.4,1.0,0.005,0.6,1.0,0.2,0.5,0.5,0.05,local_environment,multiscale,shared
stage2,1701,2,0.8810193202355925,0.8760434303738877,0.879051685333252,125,8,0.001,1.0,1e-05,1.0,64,0.4,1.0,0.005,0.6,1.0,0.2,0.5,0.5,0.05,local_environment,multiscale,shared
stage2,1701,0,0.8969685667014796,0.8922212356089735,0.8100745677947998,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
