stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,loss_mode,interval_loss_beta,interval_temperature
stage1,1701,0,0.9575733957378738,0.9438479368705405,0.8481805920600891,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
stage1,1701,0,0.982933473374743,0.9706350141336461,0.8824776411056519,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline,hybrid_interval,0.75,0.05
stage1,1701,0,0.9541504622836904,0.9396857850665001,0.8460570573806763,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
stage1,1701,0,0.9292506759263772,0.9168193231899932,0.8459261655807495,125,4,0.003,0.1,1e-05,2.0,128,0.08,1.0,0.005,0.6,2.0,0.5,0.8,0.5,0.15,electronic,mse,0.0,0.05
stage1,1701,0,0.9869095063786988,0.9754415465663563,0.8832364082336426,64,8,0.003,0.1,1e-05,0.5,128,0.4,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.3,electronic,hybrid_interval,0.75,0.05
stage1,1701,0,inf,inf,0.8759444355964661,64,16,0.0003,0.01,0.0001,1.0,128,0.25,0.5,0.0,0.6,0.5,0.5,0.2,0.2,0.05,periodic_electronic,hybrid_interval,0.5,0.1
stage1,1701,0,1.033303874401435,1.0142086934536756,0.8684325814247131,32,16,0.0003,0.1,0.0001,2.0,64,0.15,1.5,0.005,0.75,0.5,0.8,0.2,0.8,0.3,baseline,hybrid_interval,1.0,0.02
stage1,1701,0,0.998564579273072,0.9860758480330222,0.8894059658050537,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,hybrid_interval,0.5,0.02
stage1,1701,0,1.0106938715296367,0.994123719541648,0.8610138297080994,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
stage1,1701,0,0.9576481955270915,0.9420054301184805,0.8393622636795044,16,8,0.001,0.1,1e-06,1.0,128,0.4,0.5,0.005,0.85,0.5,0.5,0.8,0.2,0.05,periodic_electronic,hybrid_interval,1.0,0.02
stage1,1701,0,1.0806065494715265,1.0648800894511337,0.9083237051963806,500,8,0.001,0.01,0.0001,1.0,64,0.15,1.0,0.01,0.75,1.0,0.2,0.5,0.2,0.05,periodic,mse,0.0,0.02
stage1,1701,0,1.05072224375237,1.0291895691423953,0.880605936050415,64,16,0.003,0.01,0.0001,0.5,64,0.25,1.5,0.0,0.75,0.5,0.8,0.2,0.2,0.15,baseline,hybrid_interval,0.5,0.02
stage1,1701,0,1.033930998717497,1.0227464379115034,0.9192096590995789,500,4,0.001,1.0,1e-05,1.0,128,0.08,1.5,0.0,0.85,1.0,0.8,0.8,0.8,0.15,electronic_local,mse,0.0,0.05
stage1,1701,0,0.9780887672001362,0.9613886416520296,0.8384138941764832,16,8,0.003,0.01,1e-06,1.0,64,0.25,1.5,0.01,0.6,1.0,0.2,0.2,0.5,0.3,valence_electronic,mse,0.0,0.1
stage1,1701,0,1.0911146042178317,1.0702585211796003,0.8895899653434753,64,16,0.0003,0.1,1e-05,0.5,128,0.08,1.5,0.005,0.6,2.0,0.2,0.8,0.2,0.15,valence,hybrid_interval,0.75,0.02
stage1,1701,0,0.9942792951621348,0.9827494824212583,0.8872205018997192,500,8,0.0003,0.01,1e-05,0.5,128,0.15,1.0,0.0,0.75,2.0,0.8,0.2,0.5,0.15,periodic_electronic,hybrid_interval,0.75,0.02
stage1,1701,0,1.0039094285872796,0.9876918241779509,0.8612210750579834,32,8,0.0003,0.01,1e-05,1.0,64,0.08,1.0,0.0,0.85,2.0,0.2,0.5,0.2,0.3,ring_geometry,hybrid_interval,0.75,0.02
stage1,1701,0,0.9803826790641934,0.9690086277110127,0.8866354823112488,32,4,0.003,0.1,0.0001,2.0,128,0.15,1.5,0.01,0.85,1.0,0.2,0.5,0.8,0.3,periodic_valence,hybrid_interval,0.5,0.05
stage1,1701,0,0.9928309744667404,0.9821760265744321,0.9004046320915222,125,4,0.0003,1.0,1e-06,0.5,64,0.4,0.5,0.01,0.85,1.0,0.8,0.5,0.2,0.15,periodic,hybrid_interval,1.0,0.1
stage1,1701,0,inf,inf,0.9018037915229797,64,4,0.001,0.01,1e-05,2.0,64,0.15,1.0,0.0,0.6,2.0,0.8,0.2,0.5,0.3,periodic_electronic,hybrid_interval,0.5,0.05
stage1,1701,0,1.064937952576403,1.0481365057264165,0.9019140601158142,16,4,0.001,0.01,1e-05,1.0,64,0.25,1.0,0.005,0.85,0.5,0.5,0.2,0.2,0.3,periodic_electronic,mse,0.0,0.05
stage1,1701,0,0.9718012609783875,0.9602659865358647,0.8751201629638672,32,4,0.001,1.0,0.0001,1.0,128,0.4,1.5,0.005,0.6,1.0,0.2,0.2,0.2,0.3,periodic,mse,0.0,0.02
