stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,trajectory_pooling,ridge_mode
stage1,1701,0,0.9962840360342036,0.9818531520770306,0.8654484152793884,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,multiscale,shared
stage1,1701,0,1.0616440543184973,1.044853955480634,0.906895637512207,32,4,0.0003,0.01,1e-05,2.0,64,0.08,1.5,0.0,0.6,0.5,0.2,0.8,0.2,0.15,baseline,multiscale,per_endpoint
stage1,1701,0,0.9813295877788331,0.9655932280045976,0.8454209566116333,125,8,0.001,1.0,1e-06,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,multiscale,per_endpoint
stage1,1701,0,inf,inf,0.8370963931083679,125,4,0.003,0.1,1e-05,2.0,128,0.08,1.0,0.005,0.6,2.0,0.5,0.8,0.5,0.15,electronic,multiscale,shared
stage1,1701,0,inf,inf,0.8751410245895386,125,8,0.001,1.0,1e-05,1.0,64,0.4,1.0,0.005,0.6,1.0,0.2,0.5,0.5,0.05,local_environment,multiscale,shared
stage1,1701,0,1.0754577636209355,1.0561829815803445,0.8949663639068604,125,8,0.001,1.0,1e-06,0.5,128,0.25,1.0,0.0,0.6,0.5,0.2,0.5,0.2,0.05,electronic,multiscale,per_endpoint
stage1,1701,0,1.2189119837026456,1.1975142216809356,1.2315969467163086,64,16,0.0003,1.0,1e-06,1.0,64,0.15,1.5,0.005,0.75,0.5,0.8,0.2,0.8,0.3,baseline,multiscale,shared
stage1,1701,0,0.9228817324816648,0.9079495988839843,0.8202013373374939,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,multiscale,per_endpoint
stage1,1701,0,0.976835800203584,0.9606350873899966,0.8578488826751709,16,8,0.003,1.0,0.0001,0.5,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,multiscale,shared
stage1,1701,0,0.9759472315796095,0.9613140669284552,0.8524616360664368,250,4,0.001,0.1,1e-05,0.5,128,0.25,1.5,0.005,0.6,1.0,0.8,0.2,0.5,0.3,periodic,multiscale,shared
stage1,1701,0,1.1426221444934093,1.1200980479451388,0.9104430675506592,125,16,0.0003,1.0,1e-05,1.0,64,0.25,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.15,valence,multiscale,shared
stage1,1701,0,1.0869625695252767,1.0701609750176948,0.9325159192085266,500,4,0.0003,0.01,1e-05,2.0,64,0.08,0.5,0.005,0.85,0.5,0.5,0.2,0.8,0.05,electronic,multiscale,per_endpoint
stage1,1701,0,1.5231793479824633,1.4924654545641898,1.1070667505264282,16,16,0.001,0.01,0.0001,0.5,128,0.4,1.0,0.005,0.6,2.0,0.2,0.8,0.5,0.3,comprehensive,multiscale,per_endpoint
stage1,1701,0,0.9699954812380484,0.9573399781458509,0.8754256367683411,250,4,0.001,0.01,1e-05,2.0,64,0.08,1.0,0.0,0.85,1.0,0.8,0.8,0.2,0.15,valence,multiscale,shared
stage1,1701,0,2.786655057553942,2.7209558442963475,1.6852529048919678,64,16,0.001,0.01,0.0001,1.0,64,0.4,1.0,0.0,0.85,1.0,0.8,0.8,0.8,0.3,baseline,multiscale,per_endpoint
stage1,1701,0,1.015460236690419,0.9973555201088267,0.880078911781311,32,16,0.0003,1.0,1e-06,1.0,64,0.4,0.5,0.01,0.75,0.5,0.2,0.5,0.2,0.3,ring_geometry,multiscale,shared
stage1,1701,0,0.9471291677374697,0.9368969810619687,0.871285617351532,125,4,0.001,1.0,0.0001,0.5,128,0.25,1.0,0.005,0.6,0.5,0.5,0.2,0.2,0.15,ring_geometry,multiscale,shared
stage1,1701,0,1.1079837655983633,1.094494338473655,0.940293550491333,500,4,0.001,0.01,0.0001,2.0,64,0.4,0.5,0.01,0.75,1.0,0.2,0.2,0.2,0.3,ring_geometry,multiscale,per_endpoint
stage1,1701,0,1.1594488996499093,1.1375321597798713,0.9207631349563599,32,16,0.003,1.0,1e-05,0.5,128,0.25,1.0,0.005,0.75,0.5,0.2,0.8,0.2,0.05,baseline,multiscale,per_endpoint
stage1,1701,0,1.0539000419822635,1.0348665803323962,0.8723732233047485,32,16,0.003,0.1,0.0001,1.0,64,0.25,0.5,0.01,0.85,1.0,0.2,0.5,0.2,0.15,electronic_local,multiscale,shared
stage1,1701,0,1.129866062284907,1.110021240870172,0.9436456561088562,32,8,0.0003,0.01,0.0001,2.0,64,0.4,1.5,0.005,0.75,1.0,0.2,0.2,0.5,0.05,ring_geometry,multiscale,per_endpoint
stage1,1701,0,1.055004421057922,1.0375825124749014,0.8851367235183716,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
stage1,1701,0,0.9466262376104735,0.9301493281935991,0.8471245169639587,500,8,0.001,1.0,1e-05,0.5,128,0.08,0.5,0.0,0.85,0.5,0.2,0.2,0.2,0.15,local_environment,multiscale,shared
stage1,1701,0,1.4906901129804468,1.4612594348679409,1.1140934228897095,250,8,0.0003,0.1,1e-06,0.5,128,0.4,1.5,0.0,0.75,0.5,0.5,0.8,0.5,0.05,comprehensive,multiscale,per_endpoint
stage1,1701,0,1.095528720908277,1.0863370574093616,1.345677137374878,64,4,0.0003,1.0,1e-06,1.0,128,0.15,0.5,0.01,0.75,1.0,0.8,0.2,0.5,0.3,baseline,multiscale,per_endpoint
stage1,1701,0,1.0583197569499092,1.0398662473885405,0.9173088669776917,32,8,0.0003,0.1,1e-05,0.5,64,0.15,1.0,0.0,0.75,1.0,0.8,0.8,0.5,0.05,ring_geometry,multiscale,per_endpoint
stage1,1701,0,0.9712059844182306,0.9596856641003172,0.882969319820404,16,4,0.0003,0.1,0.0001,0.5,64,0.08,0.5,0.01,0.85,1.0,0.2,0.2,0.8,0.05,ring_geometry,multiscale,shared
stage1,1701,0,0.9657460478469106,0.9562160993733291,0.8748348355293274,16,4,0.001,0.1,1e-05,1.0,64,0.15,1.5,0.005,0.85,0.5,0.2,0.2,0.2,0.15,valence_electronic,multiscale,shared
stage1,1701,0,1.7036007455835085,1.6609445619122707,1.179412841796875,125,16,0.0003,0.01,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.8,0.8,0.3,baseline,multiscale,per_endpoint
stage1,1701,0,1.0525214155460612,1.034529291545239,0.8890148997306824,125,8,0.0003,0.1,1e-05,1.0,128,0.25,1.0,0.005,0.6,2.0,0.5,0.2,0.8,0.15,periodic,multiscale,shared
stage1,1701,0,0.9564855729832659,0.9449340612087482,0.8738738894462585,16,4,0.001,0.01,0.0001,2.0,64,0.08,1.5,0.005,0.75,0.5,0.2,0.8,0.8,0.05,electronic_local,multiscale,shared
stage1,1701,0,1.0813571517460279,1.0628790526089449,0.9148781299591064,500,8,0.001,0.01,1e-06,0.5,128,0.4,1.5,0.01,0.75,0.5,0.5,0.2,0.8,0.3,electronic_local,multiscale,shared
stage1,1701,0,0.9569035247816439,0.9419602626014881,0.8582485914230347,64,16,0.003,1.0,1e-06,1.0,64,0.08,1.0,0.005,0.6,0.5,0.5,0.8,0.8,0.05,local_environment,multiscale,shared
stage1,1701,0,0.9964291041920915,0.9834921098576509,0.882016122341156,32,4,0.0003,0.01,0.0001,2.0,64,0.25,1.0,0.01,0.85,0.5,0.5,0.5,0.8,0.15,valence_electronic,multiscale,shared
stage1,1701,0,1.0327218796077073,1.017114020751925,0.8687125444412231,125,8,0.001,0.01,1e-06,1.0,128,0.25,0.5,0.01,0.75,2.0,0.8,0.2,0.2,0.05,periodic,multiscale,shared
stage1,1701,0,1.0326638046358028,1.0169543513671502,0.8828803300857544,250,8,0.001,0.01,1e-05,0.5,128,0.4,1.5,0.0,0.6,2.0,0.5,0.2,0.8,0.3,periodic_electronic,multiscale,shared
stage1,1701,0,2.0535346166506954,2.0054868665353025,1.3620637655258179,250,16,0.001,0.01,1e-06,0.5,128,0.15,1.0,0.0,0.85,2.0,0.5,0.8,0.8,0.05,periodic,multiscale,per_endpoint
stage1,1701,0,0.9665297114059074,0.9510815430409268,0.8523677587509155,250,4,0.001,0.1,0.0001,0.5,128,0.08,1.0,0.005,0.85,2.0,0.8,0.2,0.8,0.3,valence,multiscale,per_endpoint
stage1,1701,0,1.2603965984821814,1.2385216409897986,0.9717583060264587,16,16,0.003,0.1,1e-06,1.0,128,0.25,1.5,0.005,0.6,2.0,0.8,0.8,0.8,0.3,electronic_local,multiscale,per_endpoint
stage1,1701,0,1.4553669123826412,1.4302884621960763,1.1665880680084229,16,16,0.003,0.01,0.0001,2.0,128,0.15,0.5,0.0,0.75,0.5,0.2,0.5,0.8,0.3,local_environment,multiscale,per_endpoint
stage1,1701,0,0.9800800885283357,0.9666946137290765,0.8722830414772034,125,4,0.0003,0.01,0.0001,0.5,128,0.15,0.5,0.005,0.85,0.5,0.5,0.2,0.8,0.15,valence_electronic,multiscale,shared
stage1,1701,0,1.0830743619512881,1.0632207349871265,0.8899673223495483,250,16,0.0003,0.1,0.0001,1.0,128,0.08,1.5,0.0,0.6,0.5,0.5,0.2,0.2,0.15,valence_electronic,multiscale,shared
stage1,1701,0,0.9831490825882024,0.9701062416895344,0.872306764125824,16,4,0.001,0.01,1e-06,1.0,128,0.08,0.5,0.005,0.85,0.5,0.5,0.5,0.2,0.05,electronic_local,multiscale,shared
stage1,1701,0,0.973951318679277,0.9615970157143535,0.88205486536026,64,4,0.0003,0.01,0.0001,0.5,128,0.25,1.5,0.01,0.85,0.5,0.2,0.5,0.2,0.05,baseline,multiscale,shared
stage1,1701,0,0.9609164192018962,0.9462631208241314,0.8463108539581299,125,8,0.0003,0.01,0.0001,1.0,64,0.08,1.0,0.01,0.6,0.5,0.5,0.5,0.5,0.15,valence,multiscale,shared
stage1,1701,0,0.9632984093339936,0.9457068166412299,0.8450632691383362,500,8,0.0003,0.01,0.0001,1.0,128,0.08,1.0,0.01,0.85,1.0,0.2,0.5,0.5,0.05,periodic_valence,multiscale,shared
stage1,1701,0,inf,inf,0.8902164101600647,250,8,0.001,0.1,0.0001,2.0,64,0.08,0.5,0.005,0.75,0.5,0.5,0.5,0.2,0.15,baseline,multiscale,shared
stage1,1701,0,inf,inf,0.8654381632804871,64,8,0.001,0.1,1e-06,1.0,128,0.25,1.5,0.0,0.85,0.5,0.2,0.2,0.8,0.15,periodic_electronic,multiscale,shared
stage1,1701,0,0.9552309985682337,0.9418841589132051,0.8471599221229553,16,4,0.0003,0.01,1e-05,1.0,128,0.25,0.5,0.0,0.85,0.5,0.2,0.2,0.2,0.15,baseline,multiscale,shared
stage1,1701,0,1.0006745899205638,0.9891069632408892,0.8886784315109253,64,4,0.0003,0.01,0.0001,2.0,128,0.08,0.5,0.005,0.6,0.5,0.8,0.2,0.2,0.15,electronic_local,multiscale,shared
stage1,1701,0,1.1007222501040042,1.0798303151588775,0.9062908887863159,32,8,0.003,0.01,1e-05,2.0,64,0.25,0.5,0.005,0.85,1.0,0.5,0.2,0.8,0.05,ring_geometry,multiscale,shared
stage1,1701,0,0.9733637910879887,0.9580054081085865,0.859143853187561,250,8,0.001,0.01,1e-05,1.0,64,0.08,0.5,0.0,0.85,0.5,0.2,0.8,0.5,0.15,valence_electronic,multiscale,shared
stage1,1701,0,inf,inf,0.902306318283081,125,4,0.003,0.01,1e-05,0.5,128,0.08,1.5,0.005,0.6,0.5,0.5,0.8,0.5,0.3,valence_electronic,multiscale,per_endpoint
stage1,1701,0,1.1261974909495212,1.1090966013963484,0.9437902569770813,125,4,0.0003,0.01,1e-06,2.0,128,0.4,1.5,0.0,0.75,2.0,0.8,0.2,0.2,0.05,electronic,multiscale,shared
stage1,1701,0,1.0028369872093246,0.9870876054923241,0.8778140544891357,32,4,0.001,0.01,0.0001,0.5,64,0.25,0.5,0.005,0.75,2.0,0.8,0.2,0.5,0.15,periodic,multiscale,per_endpoint
stage1,1701,0,1.056924802765108,1.034941805535586,0.8634670972824097,16,8,0.003,0.01,1e-05,2.0,64,0.08,0.5,0.01,0.85,1.0,0.8,0.2,0.8,0.3,periodic_valence,multiscale,per_endpoint
stage2,1701,0,0.8613772671399188,0.8569660568248627,0.818897545337677,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,multiscale,per_endpoint
stage2,1701,1,0.8964270515289424,0.8921392232265788,0.8857433795928955,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,multiscale,per_endpoint
stage2,1701,2,0.8725726336041009,0.8676312023343722,0.8773977756500244,16,4,0.0003,0.1,1e-06,1.0,64,0.25,1.0,0.005,0.85,1.0,0.5,0.2,0.8,0.15,local_environment,multiscale,per_endpoint
stage2,1701,0,0.8961558134346621,0.8914363335041252,0.8219985961914062,500,8,0.001,1.0,1e-05,0.5,128,0.08,0.5,0.0,0.85,0.5,0.2,0.2,0.2,0.15,local_environment,multiscale,shared
stage2,1701,1,0.9086897458479078,0.9048219874064307,0.8833732008934021,500,8,0.001,1.0,1e-05,0.5,128,0.08,0.5,0.0,0.85,0.5,0.2,0.2,0.2,0.15,local_environment,multiscale,shared
stage2,1701,2,0.8697762375157471,0.8656110947945324,0.8843467831611633,500,8,0.001,1.0,1e-05,0.5,128,0.08,0.5,0.0,0.85,0.5,0.2,0.2,0.2,0.15,local_environment,multiscale,shared
stage2,1701,0,0.9225685070448455,0.9195364373286119,0.871317446231842,125,4,0.001,1.0,0.0001,0.5,128,0.25,1.0,0.005,0.6,0.5,0.5,0.2,0.2,0.15,ring_geometry,multiscale,shared
stage2,1701,1,0.9040881208007837,0.9016159241799826,0.9083705544471741,125,4,0.001,1.0,0.0001,0.5,128,0.25,1.0,0.005,0.6,0.5,0.5,0.2,0.2,0.15,ring_geometry,multiscale,shared
stage2,1701,2,0.9193399059704961,0.9135651034281419,0.9130174517631531,125,4,0.001,1.0,0.0001,0.5,128,0.25,1.0,0.005,0.6,0.5,0.5,0.2,0.2,0.15,ring_geometry,multiscale,shared
stage2,1701,0,0.8863162562274272,0.8820465019866522,0.8192664980888367,16,4,0.0003,0.01,1e-05,1.0,128,0.25,0.5,0.0,0.85,0.5,0.2,0.2,0.2,0.15,baseline,multiscale,shared
stage2,1701,1,0.9068439910784174,0.902792810735111,0.8995659947395325,16,4,0.0003,0.01,1e-05,1.0,128,0.25,0.5,0.0,0.85,0.5,0.2,0.2,0.2,0.15,baseline,multiscale,shared
stage2,1701,2,0.8638482547991739,0.860444161851643,0.866276204586029,16,4,0.0003,0.01,1e-05,1.0,128,0.25,0.5,0.0,0.85,0.5,0.2,0.2,0.2,0.15,baseline,multiscale,shared
stage2,1701,0,0.8802315830624265,0.8754431889209671,0.8098378777503967,64,16,0.003,1.0,1e-06,1.0,64,0.08,1.0,0.005,0.6,0.5,0.5,0.8,0.8,0.05,local_environment,multiscale,shared
stage2,1701,1,0.8847232645591826,0.8809993116386331,0.8806645274162292,64,16,0.003,1.0,1e-06,1.0,64,0.08,1.0,0.005,0.6,0.5,0.5,0.8,0.8,0.05,local_environment,multiscale,shared
stage2,1701,2,0.8446511889881858,0.8401115987945957,0.8575263023376465,64,16,0.003,1.0,1e-06,1.0,64,0.08,1.0,0.005,0.6,0.5,0.5,0.8,0.8,0.05,local_environment,multiscale,shared
stage2,1701,0,0.9209266805992457,0.9171598849243756,0.8437658548355103,16,4,0.001,0.01,0.0001,2.0,64,0.08,1.5,0.005,0.75,0.5,0.2,0.8,0.8,0.05,electronic_local,multiscale,shared
stage2,1701,1,0.9361555255133294,0.9328572188949947,0.9217667579650879,16,4,0.001,0.01,0.0001,2.0,64,0.08,1.5,0.005,0.75,0.5,0.2,0.8,0.8,0.05,electronic_local,multiscale,shared
stage2,1701,2,0.9094038466807721,0.9053311969291524,0.9019625186920166,16,4,0.001,0.01,0.0001,2.0,64,0.08,1.5,0.005,0.75,0.5,0.2,0.8,0.8,0.05,electronic_local,multiscale,shared
stage2,1701,0,0.9076831478635429,0.9031885992125077,0.8293079137802124,500,8,0.0003,0.01,0.0001,1.0,128,0.08,1.0,0.01,0.85,1.0,0.2,0.5,0.5,0.05,periodic_valence,multiscale,shared
stage2,1701,1,0.9250970754516982,0.9211292432811924,0.891704797744751,500,8,0.0003,0.01,0.0001,1.0,128,0.08,1.0,0.01,0.85,1.0,0.2,0.5,0.5,0.05,periodic_valence,multiscale,shared
stage2,1701,2,inf,inf,0.893753170967102,500,8,0.0003,0.01,0.0001,1.0,128,0.08,1.0,0.01,0.85,1.0,0.2,0.5,0.5,0.05,periodic_valence,multiscale,shared
stage2,1701,0,0.902123511048044,0.8968148042423584,0.8149756789207458,125,8,0.0003,0.01,0.0001,1.0,64,0.08,1.0,0.01,0.6,0.5,0.5,0.5,0.5,0.15,valence,multiscale,shared
stage2,1701,1,0.9182427964483186,0.9145212157398508,0.8931900262832642,125,8,0.0003,0.01,0.0001,1.0,64,0.08,1.0,0.01,0.6,0.5,0.5,0.5,0.5,0.15,valence,multiscale,shared
