archive_rank,file,validation_pair_index,molecule_id,cyp_index,cyp_target,experimental_pic50,predicted_pic50,late_motion,final_step,late_amplitude,recurrence_ratio,recurrence_lag,recurrence_distance,spectral_entropy,spectral_concentration,atoms,directed_edges,saved_generations,hidden_channels
1,001_OCNT-2328675_CYP3A4.npz,304,OCNT-2328675,3,CYP3A4,0.14239593299999997,-0.07230578362941742,0.006751719863222672,0.004330585710704327,0.026617124676704407,0.975989810646265,11,0.07248570770025253,0.4964835688519669,0.6372740864753723,15,32,65,4
2,002_OCNT-2318602_CYP3A4.npz,959,OCNT-2318602,3,CYP3A4,0.4828827750000002,0.09919114410877228,0.00667878519843681,0.004324684850871563,0.02649916335940361,0.9757994504809259,11,0.0716887041926384,0.5074499780907399,0.6278420686721802,25,52,65,4
3,003_OCNT-2314750_CYP1A2.npz,814,OCNT-2314750,0,CYP1A2,1.37750826,0.028212159872055054,0.006726502907531096,0.0047586713917553425,0.025474736467003822,0.9872116977342433,11,0.07304530590772629,0.5121538648255729,0.624791145324707,22,46,65,4
4,004_OCNT-0495275_CYP3A4.npz,179,OCNT-0495275,3,CYP3A4,0.6819313569999998,0.05631561577320099,0.006317326800035073,0.0037077150773257017,0.024352941662073135,0.973754243585492,11,0.06766676157712936,0.4968576096197622,0.636944055557251,32,72,65,4
5,005_OCNT-2310698_CYP3A4.npz,422,OCNT-2310698,3,CYP3A4,-1.4486702949999999,0.109554722905159,0.006413628813879324,0.003926466219127178,0.024524252861738205,0.9751816100951324,11,0.0687989816069603,0.43695024522255044,0.6786813735961914,21,46,65,4
6,006_OCNT-2317750_CYP3A4.npz,25,OCNT-2317750,3,CYP3A4,-0.8052267030000002,0.049091652035713196,0.006096149330096079,0.003837313735857606,0.02369837462902069,0.9745896450002625,11,0.06535368412733078,0.4965332718380663,0.6370951533317566,22,46,65,4
7,007_OCNT-2395667_CYP3A4.npz,1063,OCNT-2395667,3,CYP3A4,0.7611002500000006,0.04194195568561554,0.006143955514834954,0.0038153636269271374,0.023799153044819832,0.9739639820878208,11,0.06582390516996384,0.4811701798745641,0.6492956280708313,25,54,65,4
8,008_OCNT-2315008_CYP3A4.npz,105,OCNT-2315008,3,CYP3A4,0.4964008299999998,-0.015062554739415646,0.005951839500175549,0.003367676166817546,0.02327226847410202,0.9744801029831662,11,0.06379944086074829,0.5275999706648634,0.6090786457061768,24,56,65,4
9,009_OCNT-2317860_CYP3A4.npz,312,OCNT-2317860,3,CYP3A4,0.46234010199999975,0.06306661665439606,0.006247512997196747,0.0038475124165415764,0.024055693298578262,0.9753662183186665,11,0.06702974438667297,0.4562947059940085,0.6670213937759399,24,52,65,4
10,010_OCNT-2312382_CYP2C9.npz,79,OCNT-2312382,1,CYP2C9,0.8689530549999995,0.0005020656390115619,0.006094036624835564,0.004399110097438097,0.02410975843667984,0.9903964343155174,11,0.06639063358306885,0.5110335805867682,0.6254830956459045,23,52,65,4
11,011_OCNT-2313448_CYP3A4.npz,128,OCNT-2313448,3,CYP3A4,-1.6080895479999997,0.07304064929485321,0.006256331224994494,0.0037733071949332952,0.02392140030860901,0.9748387123493261,11,0.0670880526304245,0.4436988954997565,0.6748641729354858,24,52,65,4
12,012_OCNT-2310497_CYP3A4.npz,426,OCNT-2310497,3,CYP3A4,0.5954336429999998,0.028142645955085754,0.0059139323430822625,0.0033998836297541857,0.02312339097261429,0.9751307154252438,11,0.06343542784452438,0.5262509172536642,0.610425591468811,25,56,65,4
13,013_OCNT-2395797_CYP3A4.npz,911,OCNT-2395797,3,CYP3A4,0.5678747230000001,0.031557247042655945,0.006009083242224289,0.0035295356065034866,0.0227380208671093,0.9743353094038701,11,0.0644034817814827,0.5004927961621337,0.6338467597961426,26,56,65,4
14,014_OCNT-2314328_CYP3A4.npz,279,OCNT-2314328,3,CYP3A4,-0.41375128699999975,-0.021910354495048523,0.005890559406088425,0.003327662358060479,0.02306402660906315,0.9750670719612481,11,0.0631805956363678,0.5311478652630064,0.605516791343689,25,56,65,4
15,015_OCNT-2309242_CYP1A2.npz,613,OCNT-2309242,0,CYP1A2,-0.08332821000000035,0.04532115161418915,0.006049992517636849,0.0042557427659630775,0.021522147580981255,0.9865759793948377,11,0.06565655022859573,0.5021525147342852,0.6344510912895203,28,60,65,4
16,016_OCNT-2317470_CYP3A4.npz,1164,OCNT-2317470,3,CYP3A4,-0.13261606699999984,0.07936502993106842,0.006225530990468098,0.0037945625372231007,0.02364027313888073,0.9748879048786254,11,0.06676114350557327,0.4414141865999116,0.6760488152503967,24,52,65,4
17,017_OCNT-2308884_CYP3A4.npz,979,OCNT-2308884,3,CYP3A4,-1.0262754700000003,0.049685731530189514,0.006023777649806572,0.0035419384948909283,0.02293999120593071,0.9748100438498389,11,0.06459242850542068,0.48936916253372514,0.6430575251579285,25,56,65,4
18,018_OCNT-2315780_CYP3A4.npz,29,OCNT-2315780,3,CYP3A4,-0.22779131500000016,0.0525638610124588,0.0058686099956498875,0.0033350971061736345,0.022771872580051422,0.9749186510123691,11,0.06293559074401855,0.5288642581270186,0.6078174114227295,27,60,65,4
19,019_OCNT-2311320_CYP3A4.npz,241,OCNT-2311320,3,CYP3A4,0.7378049299999994,0.01725025475025177,0.0058382027792499794,0.0032742086332291365,0.022918183356523514,0.9750314283976274,11,0.0626167431473732,0.5339157003014141,0.6026796698570251,24,54,65,4
20,020_OCNT-2395638_CYP3A4.npz,134,OCNT-2395638,3,CYP3A4,0.37625704199999976,0.015261546708643436,0.005834124052034451,0.0032793045975267887,0.02349001169204712,0.975831623341339,11,0.06262435019016266,0.534108331619296,0.6024869680404663,26,58,65,4
21,021_OCNT-2395335_CYP3A4.npz,1272,OCNT-2395335,3,CYP3A4,-0.2544995200000004,0.052107974886894226,0.0058362795981333985,0.003283367957919836,0.022706668823957443,0.9746938820465318,11,0.06257444620132446,0.5310884130103862,0.6055710315704346,25,56,65,4
