feature,mean_importance,std_importance
laplacian_largest,1.6682212251724484e-05,1.1337537723865113e-05
double_bonds,1.3954345265068755e-05,1.025821591560343e-05
adjacency_spectral_radius,1.2194692302028601e-05,3.1854149552281388e-06
algebraic_connectivity,1.0404554174042038e-05,1.1038733993474615e-05
molecular_weight,9.907966278489808e-06,5.375667736804499e-06
single_bonds,6.885464340403294e-06,3.7945197236485815e-06
graph_diameter,6.102686547272179e-06,7.083409426308658e-06
aromatic_rings,4.890077064085856e-06,1.1814168503931026e-05
mean_shortest_path,4.877141176430468e-06,2.9099886700521906e-06
eccentricity_3d,4.213387508748051e-06,4.192791384230411e-06
conjugated_bonds,3.976035349775634e-06,3.1042930914473106e-06
rotatable_bonds,3.1215007156652244e-06,2.1864624048422376e-06
bonds,2.703514927008637e-06,5.314279904390619e-06
hba,2.6668115104879258e-06,1.0442950548562472e-05
tpsa,2.5077262309243766e-06,4.090315281462938e-06
aromatic_bonds,2.4765178687659405e-06,8.22480603531692e-06
heavy_atoms,2.377659765129643e-06,5.670881929580997e-06
hbd,2.1639596922230516e-06,1.1336016045574896e-05
asphericity_3d,1.4919296182335707e-06,5.5060772334572745e-06
spherocity_index_3d,1.4655329670837074e-06,6.1122295233239886e-06
triple_bonds,1.3205169046727646e-06,3.741434582923701e-06
degree_mean,1.2872267172438288e-06,3.5214739261696265e-06
cyclomatic_number,7.457139036922551e-07,2.192678747982108e-06
graph_density,3.267964399516349e-07,3.049261150924656e-06
ring_bonds,3.200195059144566e-07,2.224661095384701e-06
radius_of_gyration_3d,1.6767138369152295e-07,3.1811745101728928e-06
formal_charge,-1.1058862159352145e-19,2.9247345846988895e-19
aromatic_atom_fraction,-4.5186132545883135e-07,3.3582499082539897e-06
rings,-4.527220086825286e-07,1.987664661869482e-06
inertial_shape_factor_3d,-5.261513140474993e-07,3.7170754834187905e-06
heteroatom_fraction,-7.576522536699479e-07,9.538053776250066e-06
fraction_csp3,-1.795995151244211e-06,2.039232316155475e-06
degree_variance,-3.608821523972839e-06,5.7960081389753844e-06
logp,-5.18879317583439e-06,2.490441902912027e-06
